#VERSION 2
#CUTPLANS
{d271df71-15c5-4eef-9df6-7cc5bda16114};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{d271df71-15c5-4eef-9df6-7cc5bda16114};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{d271df71-15c5-4eef-9df6-7cc5bda16114};2;P;3215;MAT-CM-011;{34c2d2ef-ccc3-43e3-bb27-4075b3a1ca9c};223
{d271df71-15c5-4eef-9df6-7cc5bda16114};3;K;3.2;KERF;{34c2d2ef-ccc3-43e3-bb27-4075b3a1ca9c};223
{d271df71-15c5-4eef-9df6-7cc5bda16114};4;P;1350;MAT-CM-012;{57c3dcea-35b4-4b64-bb7e-44041deb17d0};230
{d271df71-15c5-4eef-9df6-7cc5bda16114};5;K;3.2;KERF;{57c3dcea-35b4-4b64-bb7e-44041deb17d0};230
{d271df71-15c5-4eef-9df6-7cc5bda16114};6;P;1300;MAT-CM-013;{c28ded84-fd27-4974-a679-43908de1c326};231
{d271df71-15c5-4eef-9df6-7cc5bda16114};7;K;3.2;KERF;{c28ded84-fd27-4974-a679-43908de1c326};231
{700b2a58-f4e1-4402-8cb1-c641828d47fe};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{700b2a58-f4e1-4402-8cb1-c641828d47fe};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{700b2a58-f4e1-4402-8cb1-c641828d47fe};2;P;2462;MAT-CM-016;{073cbf06-3624-4923-a679-e0778278a06f};230
{700b2a58-f4e1-4402-8cb1-c641828d47fe};3;K;3.2;KERF;{073cbf06-3624-4923-a679-e0778278a06f};230
{700b2a58-f4e1-4402-8cb1-c641828d47fe};4;P;2462;MAT-CM-017;{636f86c2-df3e-4fb7-9544-338c2377758f};231
{700b2a58-f4e1-4402-8cb1-c641828d47fe};5;K;3.2;KERF;{636f86c2-df3e-4fb7-9544-338c2377758f};231
{31944549-e5ed-4cfb-bbdb-3724016c3ac5};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{31944549-e5ed-4cfb-bbdb-3724016c3ac5};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{31944549-e5ed-4cfb-bbdb-3724016c3ac5};2;P;2462;MAT-CM-019;{a46125bc-5469-4d24-913e-cd0d15e5733e};232
{31944549-e5ed-4cfb-bbdb-3724016c3ac5};3;K;3.2;KERF;{a46125bc-5469-4d24-913e-cd0d15e5733e};232
{8105d1ce-8cc6-45fd-8aae-0506db03e335};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{8105d1ce-8cc6-45fd-8aae-0506db03e335};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{8105d1ce-8cc6-45fd-8aae-0506db03e335};2;P;2462;MAT-CM-022;{8cee0897-8d8b-4959-8c2d-edddc3737e8a};230
{8105d1ce-8cc6-45fd-8aae-0506db03e335};3;K;3.2;KERF;{8cee0897-8d8b-4959-8c2d-edddc3737e8a};230
{8105d1ce-8cc6-45fd-8aae-0506db03e335};4;P;2462;MAT-CM-023;{5949881d-2889-49f4-8f78-8286064b294d};231
