#VERSION 2
#CUTPLANS
{c7db6a84-d7e5-40f3-98d0-e8745b0245bf};34;NOT_STARTED;Rod-B;NP-BAR22-3000;CM1;0;REUSABLE;RST-C-061;11379328;;RST-C-061;1525
{b364f804-dbb5-46d0-aa24-4ccffbf9ecd6};3;K;2;KERF;{e11fb32c-9149-46bb-a89b-db8262482c6d};290
{b364f804-dbb5-46d0-aa24-4ccffbf9ecd6};4;P;1055;MAT-S-767;{ac90c3be-9b61-4301-92f5-2132dcc0162f};292
{b364f804-dbb5-46d0-aa24-4ccffbf9ecd6};5;K;2;KERF;{ac90c3be-9b61-4301-92f5-2132dcc0162f};292
{b364f804-dbb5-46d0-aa24-4ccffbf9ecd6};6;P;2295;MAT-S-768;{ded9f1e3-55b1-4005-82bb-59e1b6291d00};293
{b364f804-dbb5-46d0-aa24-4ccffbf9ecd6};7;K;2;KERF;{ded9f1e3-55b1-4005-82bb-59e1b6291d00};293
{b364f804-dbb5-46d0-aa24-4ccffbf9ecd6};8;P;950;MAT-S-769;{7b8cea70-e85c-4b3f-bc67-cfd09baace80};294
{b364f804-dbb5-46d0-aa24-4ccffbf9ecd6};9;K;2;KERF;{7b8cea70-e85c-4b3f-bc67-cfd09baace80};294
{b364f804-dbb5-46d0-aa24-4ccffbf9ecd6};10;P;205;MAT-S-770;{27cf481f-5565-4cdf-ad6b-2fa321495527};297
{b364f804-dbb5-46d0-aa24-4ccffbf9ecd6};11;K;2;KERF;{27cf481f-5565-4cdf-ad6b-2fa321495527};297
{b364f804-dbb5-46d0-aa24-4ccffbf9ecd6};12;P;605;MAT-S-771;{9745d703-9bf1-466b-9466-580240c0ea44};298
{b364f804-dbb5-46d0-aa24-4ccffbf9ecd6};13;K;2;KERF;{9745d703-9bf1-466b-9466-580240c0ea44};298
{01f00686-1825-4423-9d4e-1d9da35ef301};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{01f00686-1825-4423-9d4e-1d9da35ef301};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{01f00686-1825-4423-9d4e-1d9da35ef301};2;P;970;MAT-S-774;{cc574e72-9964-4449-be61-b594f8553bce};290
{01f00686-1825-4423-9d4e-1d9da35ef301};3;K;3.2;KERF;{cc574e72-9964-4449-be61-b594f8553bce};290
{01f00686-1825-4423-9d4e-1d9da35ef301};4;P;1200;MAT-S-775;{69c603b0-4e45-4fae-9152-231977bbc2fc};292
{01f00686-1825-4423-9d4e-1d9da35ef301};5;K;3.2;KERF;{69c603b0-4e45-4fae-9152-231977bbc2fc};292
{01f00686-1825-4423-9d4e-1d9da35ef301};6;P;2440;MAT-S-776;{b142b105-a9b9-40c1-a52c-4a7aa677c026};293
{01f00686-1825-4423-9d4e-1d9da35ef301};7;K;3.2;KERF;{b142b105-a9b9-40c1-a52c-4a7aa677c026};293
{01f00686-1825-4423-9d4e-1d9da35ef301};8;P;1095;MAT-S-777;{51fa340a-35c1-4db9-90c1-f2465df56a35};294
{01f00686-1825-4423-9d4e-1d9da35ef301};9;K;3.2;KERF;{51fa340a-35c1-4db9-90c1-f2465df56a35};294
{c9fd9662-e6c2-4b5b-bc09-e90f5429448d};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{c9fd9662-e6c2-4b5b-bc09-e90f5429448d};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{c9fd9662-e6c2-4b5b-bc09-e90f5429448d};2;P;889;MAT-S-780;{459a2866-8bf9-4309-9686-73c33edb6e4a};290
{c9fd9662-e6c2-4b5b-bc09-e90f5429448d};3;K;2;KERF;{459a2866-8bf9-4309-9686-73c33edb6e4a};290
{c9fd9662-e6c2-4b5b-bc09-e90f5429448d};4;P;1119;MAT-S-781;{062ab4ea-e542-4a70-8c64-2f38735970ea};292
{c9fd9662-e6c2-4b5b-bc09-e90f5429448d};5;K;2;KERF;{062ab4ea-e542-4a70-8c64-2f38735970ea};292
