#VERSION 2
#CUTPLANS
{bd2c270f-f945-4c58-bcfc-5bddd1dd1176};2;P;2181;MAT-Q-370;{a079eb60-850b-4f16-abe6-564f41928d05};236
{bd2c270f-f945-4c58-bcfc-5bddd1dd1176};3;K;2;KERF;{a079eb60-850b-4f16-abe6-564f41928d05};236
{bd2c270f-f945-4c58-bcfc-5bddd1dd1176};4;P;2591;MAT-Q-371;{fcee31c8-865a-4fc4-ba18-9bc5dc2516f3};237
{bd2c270f-f945-4c58-bcfc-5bddd1dd1176};5;K;2;KERF;{fcee31c8-865a-4fc4-ba18-9bc5dc2516f3};237
{25d64c1d-ca17-4616-8217-ad4473e452ee};0;P;1888;MAT-Q-373;{d0176021-20d4-4c6c-ba1c-cb191f610df5};244
{25d64c1d-ca17-4616-8217-ad4473e452ee};1;K;3.2;KERF;{d0176021-20d4-4c6c-ba1c-cb191f610df5};244
{5b6a3895-da25-41b0-a499-7fc6f8eee3c8};0;P;2515;MAT-Q-375;{13b93240-b092-414f-a48f-d28342c2eba8};235
{5b6a3895-da25-41b0-a499-7fc6f8eee3c8};1;K;3.2;KERF;{13b93240-b092-414f-a48f-d28342c2eba8};235
{5b6a3895-da25-41b0-a499-7fc6f8eee3c8};2;P;605;MAT-Q-376;{f4f2a455-3bc6-4b1c-8ee1-ea7aeb733472};238
{5b6a3895-da25-41b0-a499-7fc6f8eee3c8};3;K;3.2;KERF;{f4f2a455-3bc6-4b1c-8ee1-ea7aeb733472};238
{79f58d25-247d-47a8-ba83-173cb2007854};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{79f58d25-247d-47a8-ba83-173cb2007854};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{79f58d25-247d-47a8-ba83-173cb2007854};2;P;2520;MAT-Q-379;{9ea8278c-e9b6-4dd8-b69f-9e84e06e7394};237
{79f58d25-247d-47a8-ba83-173cb2007854};3;K;2;KERF;{9ea8278c-e9b6-4dd8-b69f-9e84e06e7394};237
{58545d67-984a-453e-8c38-d77984020540};0;P;1780;MAT-Q-381;{28f660a3-f248-47cb-9fcd-e139f660abb2};241
{58545d67-984a-453e-8c38-d77984020540};1;K;2;KERF;{28f660a3-f248-47cb-9fcd-e139f660abb2};241
{61766a8b-8e33-473d-8223-1d6a86ac01d9};0;P;1913;MAT-Q-383;{ed45ed09-3070-41b6-b7b9-48a06a540cbc};244
{61766a8b-8e33-473d-8223-1d6a86ac01d9};1;K;3.2;KERF;{ed45ed09-3070-41b6-b7b9-48a06a540cbc};244
{4c7aac96-d729-49e8-b481-071105ae2a0b};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{4c7aac96-d729-49e8-b481-071105ae2a0b};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
