#VERSION 2
#CUTPLANS
{757395d6-b93b-45d1-ab30-f362d42ab0f4};23;NOT_STARTED;Rod-B;NP-BAR12-4000;CM1;0;REUSABLE;RSM-561;37287716;;RSM-561;1305
{19e9d4f6-9d93-4942-b8d4-dad1d29e7e4a};3;K;3.2;KERF;{6db77ee7-9c44-4d72-be63-4d2bc06c5c24};192
{19e9d4f6-9d93-4942-b8d4-dad1d29e7e4a};4;P;2915;MAT-P-047;{59b38f29-efcd-4f44-8776-688eca3e3e94};209
{19e9d4f6-9d93-4942-b8d4-dad1d29e7e4a};5;K;3.2;KERF;{59b38f29-efcd-4f44-8776-688eca3e3e94};209
{a9d391ab-9473-4730-946e-ae941b51409a};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{a9d391ab-9473-4730-946e-ae941b51409a};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{a9d391ab-9473-4730-946e-ae941b51409a};2;P;1640;MAT-P-050;{e8f03c8a-8c2e-4963-8057-616ab7ea8e9f};204
{a9d391ab-9473-4730-946e-ae941b51409a};3;K;3.2;KERF;{e8f03c8a-8c2e-4963-8057-616ab7ea8e9f};204
{a9d391ab-9473-4730-946e-ae941b51409a};4;P;1510;MAT-P-051;{7baa7054-1457-4d02-84b5-315759b04850};206
{a9d391ab-9473-4730-946e-ae941b51409a};5;K;3.2;KERF;{7baa7054-1457-4d02-84b5-315759b04850};206
{4c0a1252-539b-4056-a293-6a7c21c4a82e};0;P;2822;MAT-P-053;{e3c705b5-0a6e-42f7-971f-0b8d940432ec};209
{4c0a1252-539b-4056-a293-6a7c21c4a82e};1;K;3.2;KERF;{e3c705b5-0a6e-42f7-971f-0b8d940432ec};209
{3200dd3c-0fb3-482e-9fd9-6935185fc758};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{3200dd3c-0fb3-482e-9fd9-6935185fc758};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{3200dd3c-0fb3-482e-9fd9-6935185fc758};2;P;2770;MAT-P-056;{69db8ccc-47d4-4033-be32-70259420b5ef};209
{3200dd3c-0fb3-482e-9fd9-6935185fc758};3;K;2;KERF;{69db8ccc-47d4-4033-be32-70259420b5ef};209
{4b8ec267-f28c-4de7-9389-ac15ec9b637a};0;P;1510;MAT-P-058;{356482fc-464c-434b-a2b0-8239ef8d6fd2};206
