#VERSION 2
#CUTPLANS
{2fcfcb16-9be4-445a-9f64-a6dc08e907dd};0;NOT_STARTED;Rod-B;NP-BAR12-4000;CM1;0;REUSABLE;RSM-483;20454660;;RSM-483;1730
{1f18dd0f-5354-4d23-b8f7-31c7f6a8e4c5};6;P;675;MAT-Q-635;{7e2a7df2-aada-4c4c-847b-23333508fa9a};238
{1f18dd0f-5354-4d23-b8f7-31c7f6a8e4c5};7;K;3.2;KERF;{7e2a7df2-aada-4c4c-847b-23333508fa9a};238
{c737768c-b1f2-477b-8870-cf20664f3f43};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{c737768c-b1f2-477b-8870-cf20664f3f43};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{c737768c-b1f2-477b-8870-cf20664f3f43};2;P;2181;MAT-Q-637;{c6b676fd-a8ed-4a73-b9fa-7915bd833704};236
{c737768c-b1f2-477b-8870-cf20664f3f43};3;K;2;KERF;{c6b676fd-a8ed-4a73-b9fa-7915bd833704};236
{c737768c-b1f2-477b-8870-cf20664f3f43};4;P;2591;MAT-Q-638;{a66c7655-732d-4793-bd13-a74d5cd770dd};237
{c737768c-b1f2-477b-8870-cf20664f3f43};5;K;2;KERF;{a66c7655-732d-4793-bd13-a74d5cd770dd};237
{49425377-9d15-48cb-acc3-da716bec8435};0;P;1835;MAT-Q-640;{32fc2fbb-3f88-43e8-9c11-c95c2d5a5864};245
{49425377-9d15-48cb-acc3-da716bec8435};1;K;2;KERF;{32fc2fbb-3f88-43e8-9c11-c95c2d5a5864};245
{54de0445-18f2-499a-a593-1ca2aa092db4};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{54de0445-18f2-499a-a593-1ca2aa092db4};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{54de0445-18f2-499a-a593-1ca2aa092db4};2;P;2248;MAT-Q-643;{f64b1c44-c838-49c6-829d-2bb428efed32};237
{54de0445-18f2-499a-a593-1ca2aa092db4};3;K;3.2;KERF;{f64b1c44-c838-49c6-829d-2bb428efed32};237
{54de0445-18f2-499a-a593-1ca2aa092db4};4;P;2508;MAT-Q-644;{67b2a3af-4b8e-4c67-9ab0-1035b6eeb84c};238
{54de0445-18f2-499a-a593-1ca2aa092db4};5;K;3.2;KERF;{67b2a3af-4b8e-4c67-9ab0-1035b6eeb84c};238
{10e47e4a-9ba9-45b0-b718-b502e1ba8970};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{10e47e4a-9ba9-45b0-b718-b502e1ba8970};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{10e47e4a-9ba9-45b0-b718-b502e1ba8970};2;P;2520;MAT-Q-647;{4062363f-8659-4b39-ac51-75145392da24};237
{10e47e4a-9ba9-45b0-b718-b502e1ba8970};3;K;2;KERF;{4062363f-8659-4b39-ac51-75145392da24};237
{86c9a45b-c88b-428b-8a88-fb1c29bf1e2f};0;P;2515;MAT-Q-649;{c7cd613f-098c-47f0-b0ba-9cd76f7df162};235
{86c9a45b-c88b-428b-8a88-fb1c29bf1e2f};1;K;3.2;KERF;{c7cd613f-098c-47f0-b0ba-9cd76f7df162};235
{86c9a45b-c88b-428b-8a88-fb1c29bf1e2f};2;P;605;MAT-Q-650;{6c403ed0-796d-41bf-ba40-85a80016399e};238
{86c9a45b-c88b-428b-8a88-fb1c29bf1e2f};3;K;3.2;KERF;{6c403ed0-796d-41bf-ba40-85a80016399e};238
{2c6a09b2-c287-48ed-bb23-75f5c70ef84f};0;P;1888;MAT-Q-652;{05d28168-2e0c-4f0c-a388-53f3a3eb788b};244
{2c6a09b2-c287-48ed-bb23-75f5c70ef84f};1;K;3.2;KERF;{05d28168-2e0c-4f0c-a388-53f3a3eb788b};244
{ecedccad-ad73-4c07-8a2b-12c7378ad07b};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{ecedccad-ad73-4c07-8a2b-12c7378ad07b};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{ecedccad-ad73-4c07-8a2b-12c7378ad07b};2;P;2225;MAT-Q-655;{4d2c7536-428c-4d9a-869b-ee7c0801c462};236
{ecedccad-ad73-4c07-8a2b-12c7378ad07b};3;K;3.2;KERF;{4d2c7536-428c-4d9a-869b-ee7c0801c462};236
{ecedccad-ad73-4c07-8a2b-12c7378ad07b};4;P;1925;MAT-Q-656;{fdda17ba-a631-48fe-84eb-4a16ee1dc148};241
{ecedccad-ad73-4c07-8a2b-12c7378ad07b};5;K;3.2;KERF;{fdda17ba-a631-48fe-84eb-4a16ee1dc148};241
{70c85ef1-e764-4809-a69e-95e96f66d996};0;P;1795;MAT-Q-658;{b54c6b99-df7b-49fd-aa7f-cd9dbde2caa1};244
{70c85ef1-e764-4809-a69e-95e96f66d996};1;K;3.2;KERF;{b54c6b99-df7b-49fd-aa7f-cd9dbde2caa1};244
{3fc197f8-b140-449d-87fe-e9f999c31d57};0;P;1780;MAT-Q-660;{84584027-8fee-4b9b-aec3-fd8df5a81c27};241
{3fc197f8-b140-449d-87fe-e9f999c31d57};1;K;2;KERF;{84584027-8fee-4b9b-aec3-fd8df5a81c27};241
{bd5396b1-c34b-4614-99c7-3b30d0a2163d};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{bd5396b1-c34b-4614-99c7-3b30d0a2163d};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{bd5396b1-c34b-4614-99c7-3b30d0a2163d};2;P;1795;MAT-Q-663;{b0ad3212-a75c-4937-ac0e-bc01807576f4};244
{bd5396b1-c34b-4614-99c7-3b30d0a2163d};3;K;3.2;KERF;{b0ad3212-a75c-4937-ac0e-bc01807576f4};244
