#VERSION 2
#CUTPLANS
{cd5fc827-8a4f-4044-92fe-32e02719c594};46;NOT_STARTED;Rod-B;NP-BAR22-3000;CM1;0;STOCK;;48994844;;;3000
{b35ccf64-9504-4ebd-8b8c-b636adcab40a};4;P;1350;MAT-P-318;{fb6e576e-99ea-4ecc-a5f9-81146f68ec3e};230
{b35ccf64-9504-4ebd-8b8c-b636adcab40a};5;K;3.2;KERF;{fb6e576e-99ea-4ecc-a5f9-81146f68ec3e};230
{b35ccf64-9504-4ebd-8b8c-b636adcab40a};6;P;1300;MAT-P-319;{5379b065-8f7c-4e35-8de0-7895561fa288};231
{b35ccf64-9504-4ebd-8b8c-b636adcab40a};7;K;3.2;KERF;{5379b065-8f7c-4e35-8de0-7895561fa288};231
{264580ad-085e-46ec-ac5b-b661403f0515};0;P;1244;MAT-P-321;{7bf2d125-2cfe-4e76-a6df-c01afa6bbad6};230
{264580ad-085e-46ec-ac5b-b661403f0515};1;K;2;KERF;{7bf2d125-2cfe-4e76-a6df-c01afa6bbad6};230
{264580ad-085e-46ec-ac5b-b661403f0515};2;P;1569;MAT-P-322;{48522e90-d74f-49e1-b7d4-ae9d08589820};232
{264580ad-085e-46ec-ac5b-b661403f0515};3;K;2;KERF;{48522e90-d74f-49e1-b7d4-ae9d08589820};232
{e5047a32-33fe-407c-8143-d99a8fe934b2};0;P;1647;MAT-P-324;{e6ef1328-137a-43cb-bdb6-88391c606436};223
{e5047a32-33fe-407c-8143-d99a8fe934b2};1;K;3.2;KERF;{e6ef1328-137a-43cb-bdb6-88391c606436};223
{fa393544-107e-4aa5-9fbf-c0365f451b11};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{fa393544-107e-4aa5-9fbf-c0365f451b11};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{fa393544-107e-4aa5-9fbf-c0365f451b11};2;P;2462;MAT-P-327;{698f1743-81ab-48e4-9564-aa9b13c8cccf};230
{fa393544-107e-4aa5-9fbf-c0365f451b11};3;K;3.2;KERF;{698f1743-81ab-48e4-9564-aa9b13c8cccf};230
{fa393544-107e-4aa5-9fbf-c0365f451b11};4;P;2462;MAT-P-328;{6b4e20c4-998d-46ec-853c-999874d02435};231
{fa393544-107e-4aa5-9fbf-c0365f451b11};5;K;3.2;KERF;{6b4e20c4-998d-46ec-853c-999874d02435};231
{5530441c-acb9-41be-bac3-1fa81a9249fd};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{5530441c-acb9-41be-bac3-1fa81a9249fd};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{5530441c-acb9-41be-bac3-1fa81a9249fd};2;P;2462;MAT-P-330;{d5520580-98a8-4c23-a392-a5eb053ba0df};232
{5530441c-acb9-41be-bac3-1fa81a9249fd};3;K;3.2;KERF;{d5520580-98a8-4c23-a392-a5eb053ba0df};232
{87fe1428-c5e0-431e-9df2-e4383d9a9845};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{87fe1428-c5e0-431e-9df2-e4383d9a9845};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{87fe1428-c5e0-431e-9df2-e4383d9a9845};2;P;2462;MAT-P-333;{0f284aca-1afe-4a19-958f-a8c41d26e0ab};230
{87fe1428-c5e0-431e-9df2-e4383d9a9845};3;K;3.2;KERF;{0f284aca-1afe-4a19-958f-a8c41d26e0ab};230
{87fe1428-c5e0-431e-9df2-e4383d9a9845};4;P;2462;MAT-P-334;{e9911d26-fb60-4331-a617-511b36ef1242};231
{87fe1428-c5e0-431e-9df2-e4383d9a9845};5;K;3.2;KERF;{e9911d26-fb60-4331-a617-511b36ef1242};231
