#VERSION 2
#CUTPLANS
{fc1a2637-7161-4e21-8349-3c183d91226b};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{fc1a2637-7161-4e21-8349-3c183d91226b};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{fc1a2637-7161-4e21-8349-3c183d91226b};2;P;2895;MAT-U-885;{fd0edd2c-acd1-4833-bfab-6517bdca0cd3};325 1/2
{fc1a2637-7161-4e21-8349-3c183d91226b};3;K;3.2;KERF;{fd0edd2c-acd1-4833-bfab-6517bdca0cd3};325 1/2
{fc1a2637-7161-4e21-8349-3c183d91226b};4;P;2895;MAT-U-886;{f053c1d6-329c-49b6-959b-a83815af41fc};325 2/2
{fc1a2637-7161-4e21-8349-3c183d91226b};5;K;3.2;KERF;{f053c1d6-329c-49b6-959b-a83815af41fc};325 2/2
{c33e4155-af59-4752-81b5-9967cfd7d439};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{c33e4155-af59-4752-81b5-9967cfd7d439};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{c33e4155-af59-4752-81b5-9967cfd7d439};2;P;2780;MAT-U-889;{c21fee12-b8ba-49fd-9af4-bd8dbdf342a0};325 1/2
{c33e4155-af59-4752-81b5-9967cfd7d439};3;K;2;KERF;{c21fee12-b8ba-49fd-9af4-bd8dbdf342a0};325 1/2
{5ce62ab4-fb21-4d2c-88fa-2acf0eee6082};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{5ce62ab4-fb21-4d2c-88fa-2acf0eee6082};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{5ce62ab4-fb21-4d2c-88fa-2acf0eee6082};2;P;2735;MAT-U-892;{91899c41-f50f-4a8c-9d5d-98969748cca9};311 1/2
{5ce62ab4-fb21-4d2c-88fa-2acf0eee6082};3;K;2;KERF;{91899c41-f50f-4a8c-9d5d-98969748cca9};311 1/2
{19996193-f2dc-49f6-a59d-c08146460f98};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{19996193-f2dc-49f6-a59d-c08146460f98};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{19996193-f2dc-49f6-a59d-c08146460f98};2;P;2780;MAT-U-895;{69818cdb-8e8e-4f0a-b373-bd11002e11e1};325 2/2
{19996193-f2dc-49f6-a59d-c08146460f98};3;K;2;KERF;{69818cdb-8e8e-4f0a-b373-bd11002e11e1};325 2/2
{85c24621-ee2b-4a1c-8de6-779e02563c7a};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{85c24621-ee2b-4a1c-8de6-779e02563c7a};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{85c24621-ee2b-4a1c-8de6-779e02563c7a};2;P;2735;MAT-U-898;{3cc94481-311a-4240-8961-65317fb619d4};311 2/2
{85c24621-ee2b-4a1c-8de6-779e02563c7a};3;K;2;KERF;{3cc94481-311a-4240-8961-65317fb619d4};311 2/2
