#VERSION 2
#CUTPLANS
{aa8780fd-c83b-4b06-8ae8-f11315eac75d};5;K;3.2;KERF;{4b1dd7b7-1c30-4893-a78c-1cec5268d524};302
{aa8780fd-c83b-4b06-8ae8-f11315eac75d};6;P;2267;MAT-U-523;{2f6c7499-cf70-411d-89b2-0e4bb77d583d};304
{aa8780fd-c83b-4b06-8ae8-f11315eac75d};7;K;3.2;KERF;{2f6c7499-cf70-411d-89b2-0e4bb77d583d};304
{b94298ee-a583-4483-8b86-58a1d46750cd};0;P;1389;MAT-U-525;{d879aeed-f95b-47f0-9061-49fc8df46aca};301
{b94298ee-a583-4483-8b86-58a1d46750cd};1;K;2;KERF;{d879aeed-f95b-47f0-9061-49fc8df46aca};301
{81e5a331-62c6-42a5-a82c-e533e43b6f3c};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{81e5a331-62c6-42a5-a82c-e533e43b6f3c};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{81e5a331-62c6-42a5-a82c-e533e43b6f3c};2;P;1495;MAT-U-528;{45bbee80-8df0-4c43-b99c-4573d99cf7a2};301
{81e5a331-62c6-42a5-a82c-e533e43b6f3c};3;K;3.2;KERF;{45bbee80-8df0-4c43-b99c-4573d99cf7a2};301
{81e5a331-62c6-42a5-a82c-e533e43b6f3c};4;P;2085;MAT-U-529;{0ff1f896-e13c-4482-96bb-62aba3e5a680};302
{81e5a331-62c6-42a5-a82c-e533e43b6f3c};5;K;3.2;KERF;{0ff1f896-e13c-4482-96bb-62aba3e5a680};302
{81e5a331-62c6-42a5-a82c-e533e43b6f3c};6;P;2135;MAT-U-530;{7fbebc8b-bae6-4aca-89a1-5e7d0618dacd};303
{81e5a331-62c6-42a5-a82c-e533e43b6f3c};7;K;3.2;KERF;{7fbebc8b-bae6-4aca-89a1-5e7d0618dacd};303
{f800e2eb-a149-4606-b5d5-9ab5f1747fbd};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{f800e2eb-a149-4606-b5d5-9ab5f1747fbd};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{f800e2eb-a149-4606-b5d5-9ab5f1747fbd};2;P;2445;MAT-U-533;{92524dc0-d11c-4f33-9094-bc4ca8e28a19};304
{f800e2eb-a149-4606-b5d5-9ab5f1747fbd};3;K;2;KERF;{92524dc0-d11c-4f33-9094-bc4ca8e28a19};304
{f800e2eb-a149-4606-b5d5-9ab5f1747fbd};4;P;2545;MAT-U-534;{0ca4b9a0-2fda-4a6a-ab1e-01c8703f5a4f};305
{f800e2eb-a149-4606-b5d5-9ab5f1747fbd};5;K;2;KERF;{0ca4b9a0-2fda-4a6a-ab1e-01c8703f5a4f};305
{e757c083-b815-4e4c-a53a-dd00a106c300};0;P;2029;MAT-U-536;{bd4422ac-ed2b-4a4e-83f0-e64562faf5cd};303
{e757c083-b815-4e4c-a53a-dd00a106c300};1;K;2;KERF;{bd4422ac-ed2b-4a4e-83f0-e64562faf5cd};303
{824c9b23-fba6-42d8-869f-b3a071836497};0;P;1979;MAT-U-538;{08385126-7b8c-45c0-934a-0aeebb92239d};302
{824c9b23-fba6-42d8-869f-b3a071836497};1;K;2;KERF;{08385126-7b8c-45c0-934a-0aeebb92239d};302
{11aecc34-cb59-48ad-bea7-6c9e4d915b76};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{11aecc34-cb59-48ad-bea7-6c9e4d915b76};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{11aecc34-cb59-48ad-bea7-6c9e4d915b76};2;P;2590;MAT-U-541;{48c7a6e4-a1bf-47c8-bd5b-714bd4708232};304
{11aecc34-cb59-48ad-bea7-6c9e4d915b76};3;K;3.2;KERF;{48c7a6e4-a1bf-47c8-bd5b-714bd4708232};304
{11aecc34-cb59-48ad-bea7-6c9e4d915b76};4;P;2690;MAT-U-542;{ec64d9a0-12ba-4279-9d2d-dff147ba40cf};305
{11aecc34-cb59-48ad-bea7-6c9e4d915b76};5;K;3.2;KERF;{ec64d9a0-12ba-4279-9d2d-dff147ba40cf};305
{be2cbd30-6580-4f5c-8c4a-aad6519238b2};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{be2cbd30-6580-4f5c-8c4a-aad6519238b2};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{be2cbd30-6580-4f5c-8c4a-aad6519238b2};2;P;1377;MAT-U-545;{20c3e21d-a3fd-4139-bc42-7cd7ab8dcdf6};301
{be2cbd30-6580-4f5c-8c4a-aad6519238b2};3;K;3.2;KERF;{20c3e21d-a3fd-4139-bc42-7cd7ab8dcdf6};301
{be2cbd30-6580-4f5c-8c4a-aad6519238b2};4;P;2497;MAT-U-546;{031dd75c-8f80-41b2-b566-b16ab7454595};304
{be2cbd30-6580-4f5c-8c4a-aad6519238b2};5;K;3.2;KERF;{031dd75c-8f80-41b2-b566-b16ab7454595};304
{7c94fadd-fe94-45ca-b558-ad0a267f7c42};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{7c94fadd-fe94-45ca-b558-ad0a267f7c42};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{7c94fadd-fe94-45ca-b558-ad0a267f7c42};2;P;1915;MAT-U-549;{3c5cb562-8d32-44db-83ed-8a21c56ce1d2};302
{7c94fadd-fe94-45ca-b558-ad0a267f7c42};3;K;2;KERF;{3c5cb562-8d32-44db-83ed-8a21c56ce1d2};302
{7c94fadd-fe94-45ca-b558-ad0a267f7c42};4;P;1965;MAT-U-550;{6272121c-3f89-458b-a521-a5abbb4de71c};303
{7c94fadd-fe94-45ca-b558-ad0a267f7c42};5;K;2;KERF;{6272121c-3f89-458b-a521-a5abbb4de71c};303
{b82cbebb-8c4b-472e-ba3e-51c111c5ad4c};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{b82cbebb-8c4b-472e-ba3e-51c111c5ad4c};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{b82cbebb-8c4b-472e-ba3e-51c111c5ad4c};2;P;2252;MAT-U-553;{dc7c8b0a-04da-4fe0-93fb-22b6536a7082};303
{b82cbebb-8c4b-472e-ba3e-51c111c5ad4c};3;K;3.2;KERF;{dc7c8b0a-04da-4fe0-93fb-22b6536a7082};303
{b82cbebb-8c4b-472e-ba3e-51c111c5ad4c};4;P;2252;MAT-U-554;{85c06e0c-f690-4966-bbb8-4a74bc498cd7};305
{b82cbebb-8c4b-472e-ba3e-51c111c5ad4c};5;K;3.2;KERF;{85c06e0c-f690-4966-bbb8-4a74bc498cd7};305
{3eccad4e-b7a2-49c2-9371-3a97f1d04505};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{3eccad4e-b7a2-49c2-9371-3a97f1d04505};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{3eccad4e-b7a2-49c2-9371-3a97f1d04505};2;P;2509;MAT-U-557;{0e5f2d22-85e7-4961-b253-ff7308ae6680};304
{3eccad4e-b7a2-49c2-9371-3a97f1d04505};3;K;2;KERF;{0e5f2d22-85e7-4961-b253-ff7308ae6680};304
{3eccad4e-b7a2-49c2-9371-3a97f1d04505};4;P;2609;MAT-U-558;{716e4e39-5ff0-4cb5-a19b-b1f1f10e1b73};305
