#VERSION 2
#CUTPLANS
{4636ed15-1b56-4284-8344-63e1a712845e};2;P;100;MAT-CM-274;{237d83e7-603b-4523-a29f-2a69d03a527e};231
{4636ed15-1b56-4284-8344-63e1a712845e};3;K;2;KERF;{237d83e7-603b-4523-a29f-2a69d03a527e};231
{4636ed15-1b56-4284-8344-63e1a712845e};4;P;145;MAT-CM-275;{0cc31694-065c-4e22-bd95-d1fff91cad7b};232
{4636ed15-1b56-4284-8344-63e1a712845e};5;K;2;KERF;{0cc31694-065c-4e22-bd95-d1fff91cad7b};232
{a2bda0a5-b014-4aee-ac64-e92a4edb3377};0;P;1647;MAT-CM-277;{606508a4-6d59-4d22-ab8b-a65ccbf3ecd1};223
{a2bda0a5-b014-4aee-ac64-e92a4edb3377};1;K;3.2;KERF;{606508a4-6d59-4d22-ab8b-a65ccbf3ecd1};223
{ad5fae9c-53c2-4d4a-a118-7e5c522f1a74};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{ad5fae9c-53c2-4d4a-a118-7e5c522f1a74};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{ad5fae9c-53c2-4d4a-a118-7e5c522f1a74};2;P;2462;MAT-CM-280;{4a649777-9de4-427d-91ea-7d489302473c};230
{ad5fae9c-53c2-4d4a-a118-7e5c522f1a74};3;K;3.2;KERF;{4a649777-9de4-427d-91ea-7d489302473c};230
{ad5fae9c-53c2-4d4a-a118-7e5c522f1a74};4;P;2462;MAT-CM-281;{018e6ea2-10c4-4d29-bdc8-d305430a8639};231
{ad5fae9c-53c2-4d4a-a118-7e5c522f1a74};5;K;3.2;KERF;{018e6ea2-10c4-4d29-bdc8-d305430a8639};231
{9a648c8f-e771-4d28-b313-5f6a9d292d17};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{9a648c8f-e771-4d28-b313-5f6a9d292d17};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{9a648c8f-e771-4d28-b313-5f6a9d292d17};2;P;2462;MAT-CM-284;{5721937e-8297-4e6b-9978-1cc7fb440e23};230
{9a648c8f-e771-4d28-b313-5f6a9d292d17};3;K;3.2;KERF;{5721937e-8297-4e6b-9978-1cc7fb440e23};230
{9a648c8f-e771-4d28-b313-5f6a9d292d17};4;P;2462;MAT-CM-285;{9b084a43-2f1f-4dbd-a68f-c9130a822502};231
{9a648c8f-e771-4d28-b313-5f6a9d292d17};5;K;3.2;KERF;{9b084a43-2f1f-4dbd-a68f-c9130a822502};231
{84946a27-72b0-41f2-b0c9-7af60d6bca69};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{84946a27-72b0-41f2-b0c9-7af60d6bca69};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{84946a27-72b0-41f2-b0c9-7af60d6bca69};2;P;2462;MAT-CM-287;{cbb01621-adec-4f0a-b6f5-6473876a2fc7};232
{84946a27-72b0-41f2-b0c9-7af60d6bca69};3;K;3.2;KERF;{cbb01621-adec-4f0a-b6f5-6473876a2fc7};232
{153fbaba-f330-4900-99b0-02000188dd20};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{153fbaba-f330-4900-99b0-02000188dd20};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{153fbaba-f330-4900-99b0-02000188dd20};2;P;2462;MAT-CM-290;{97f55243-1b59-4af4-86d8-6efc2c7c323a};230
{153fbaba-f330-4900-99b0-02000188dd20};3;K;3.2;KERF;{97f55243-1b59-4af4-86d8-6efc2c7c323a};230
{153fbaba-f330-4900-99b0-02000188dd20};4;P;2462;MAT-CM-291;{c9bc8a36-9d38-4a1d-bb7b-8ad78bd36f5b};231
{153fbaba-f330-4900-99b0-02000188dd20};5;K;3.2;KERF;{c9bc8a36-9d38-4a1d-bb7b-8ad78bd36f5b};231
{cc77e7a3-bf84-467d-a02c-da64fe88bd1f};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{cc77e7a3-bf84-467d-a02c-da64fe88bd1f};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{cc77e7a3-bf84-467d-a02c-da64fe88bd1f};2;P;2462;MAT-CM-293;{983b6b53-d610-4a27-926a-6424143de98e};232
{cc77e7a3-bf84-467d-a02c-da64fe88bd1f};3;K;3.2;KERF;{983b6b53-d610-4a27-926a-6424143de98e};232
{97358684-775e-45f7-92e8-9a78202f197f};0;P;1182;MAT-CM-295;{d9d45c54-2f2c-421b-a98e-7c25f48e7b58};231
{97358684-775e-45f7-92e8-9a78202f197f};1;K;3.2;KERF;{d9d45c54-2f2c-421b-a98e-7c25f48e7b58};231
{717a2204-b5d9-454b-836a-eb9ad9b7b536};0;P;1194;MAT-CM-297;{47e8c54a-cf8a-4fd4-b180-730fa0af7343};231
{717a2204-b5d9-454b-836a-eb9ad9b7b536};1;K;2;KERF;{47e8c54a-cf8a-4fd4-b180-730fa0af7343};231
{6df21bd8-e25a-47db-bcee-46817802daab};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{6df21bd8-e25a-47db-bcee-46817802daab};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{6df21bd8-e25a-47db-bcee-46817802daab};2;P;3097;MAT-CM-300;{977f6c22-b6f6-4627-b487-ba12e7c65cc5};223
{6df21bd8-e25a-47db-bcee-46817802daab};3;K;3.2;KERF;{977f6c22-b6f6-4627-b487-ba12e7c65cc5};223
{a475f3f7-b65f-4c25-90ea-e9d3c9f7a41d};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{a475f3f7-b65f-4c25-90ea-e9d3c9f7a41d};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{a475f3f7-b65f-4c25-90ea-e9d3c9f7a41d};2;P;1650;MAT-CM-303;{4d97875b-d5b5-4ef4-892e-a5cdd2f6b617};232
{a475f3f7-b65f-4c25-90ea-e9d3c9f7a41d};3;K;3.2;KERF;{4d97875b-d5b5-4ef4-892e-a5cdd2f6b617};232
{dbe2fbd8-02a6-42e9-a9cc-b93046e0070d};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{dbe2fbd8-02a6-42e9-a9cc-b93046e0070d};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{dbe2fbd8-02a6-42e9-a9cc-b93046e0070d};2;P;3109;MAT-CM-306;{3989de69-e10c-4940-91c9-ce72f698a100};223
{dbe2fbd8-02a6-42e9-a9cc-b93046e0070d};3;K;2;KERF;{3989de69-e10c-4940-91c9-ce72f698a100};223
{6408836c-8b00-4b3c-918f-9a83698cc3c6};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{6408836c-8b00-4b3c-918f-9a83698cc3c6};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{6408836c-8b00-4b3c-918f-9a83698cc3c6};2;P;2462;MAT-CM-309;{45792853-6c65-4828-a465-8f0c36e57125};232
{6408836c-8b00-4b3c-918f-9a83698cc3c6};3;K;3.2;KERF;{45792853-6c65-4828-a465-8f0c36e57125};232
{f1e110da-34bf-463a-b552-d8b2ba9ffe01};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{f1e110da-34bf-463a-b552-d8b2ba9ffe01};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{f1e110da-34bf-463a-b552-d8b2ba9ffe01};2;P;1675;MAT-CM-312;{9792fe2b-13fa-452a-8eb2-36199bfbc522};232
{f1e110da-34bf-463a-b552-d8b2ba9ffe01};3;K;3.2;KERF;{9792fe2b-13fa-452a-8eb2-36199bfbc522};232
{baeb5cf0-2425-4e4c-96dc-8e94c16fd513};0;P;1180;MAT-CM-314;{1dd17e6f-705b-4d97-9f8f-b1006bef72a5};230
{baeb5cf0-2425-4e4c-96dc-8e94c16fd513};1;K;2;KERF;{1dd17e6f-705b-4d97-9f8f-b1006bef72a5};230
#PIECES
{8be0064c-bc3a-4138-bc89-b910de8a806d};{4fa402e1-8870-47d1-97a2-949c9cc6e1bf};3000;NP-BAR22-3000;223
{f4abd294-3b6a-4790-9145-29be75db9a61};{a90c51ae-2171-4b0c-a6b2-c2f16615ee54};1000;NP-BAR22-3000;231
{56afe5b1-9475-41af-a1fa-5e3edd4d6b28};{477f2313-50ed-4287-9367-f172389ff71c};1330;NP-BAR22-3000;232
{8339e4a6-b6d7-4b53-ac6b-940b0df66899};{fe0b2428-a865-4137-a19a-83d3888d0a0f};1232;NP-CZ;230
{8339e4a6-b6d7-4b53-ac6b-940b0df66899};{8f010404-5504-4853-acdc-4b609e1618bd};1557;NP-CZ;232
{0106fa31-f9c6-4d79-9360-38b3c43244c3};{60defe13-77b3-4880-b7ef-c34149f56f50};3190;NP-T;223
{0106fa31-f9c6-4d79-9360-38b3c43244c3};{ca0179f9-38dd-4e83-b0ac-39f0ae225d04};1325;NP-T;230
{0106fa31-f9c6-4d79-9360-38b3c43244c3};{9772f392-bc47-4b96-9561-154a9034e42e};1275;NP-T;231
{eb67a502-dab1-46a6-8179-27fb02679ccb};{7268d760-7ce9-49fd-b218-ef6fc6314d90};1244;NP-ROLL70-5000;230
{eb67a502-dab1-46a6-8179-27fb02679ccb};{0141c897-dac6-4d5b-a99f-a7795016298a};1569;NP-ROLL70-5000;232
{07cebc1c-8de0-46de-b985-ff181f22e918};{09da6483-7891-4463-acb3-0a6eae71cc58};1647;NP-CLB;223
{c2659c2e-c10d-4093-affb-afe455ba8067};{4b6bd0cd-ee67-4649-beea-463f61f7716f};3215;NP-TF;223
{c2659c2e-c10d-4093-affb-afe455ba8067};{c7b39126-ef15-4ff7-a247-6a6f1a5f81f0};1350;NP-TF;230
{c2659c2e-c10d-4093-affb-afe455ba8067};{033e2a24-27ba-471c-bf94-c4b922763706};1300;NP-TF;231
{e2f932ab-ebe5-42e4-8b2c-4b6b9e9c4c3d};{f51f0b3c-faf6-4c15-9471-eb760e776bb3};1647;NP-CLT;223
{4636ed15-1b56-4284-8344-63e1a712845e};{ce3f9f6b-110d-47ae-8966-006558642bd8};45;NP-BAR22-3000;223
{4636ed15-1b56-4284-8344-63e1a712845e};{237d83e7-603b-4523-a29f-2a69d03a527e};100;NP-BAR22-3000;231
{4636ed15-1b56-4284-8344-63e1a712845e};{0cc31694-065c-4e22-bd95-d1fff91cad7b};145;NP-BAR22-3000;232
{a2bda0a5-b014-4aee-ac64-e92a4edb3377};{606508a4-6d59-4d22-ab8b-a65ccbf3ecd1};1647;NP-CL;223
{ad5fae9c-53c2-4d4a-a118-7e5c522f1a74};{4a649777-9de4-427d-91ea-7d489302473c};2462;NP-CLB;230
{ad5fae9c-53c2-4d4a-a118-7e5c522f1a74};{018e6ea2-10c4-4d29-bdc8-d305430a8639};2462;NP-CLB;231
{9a648c8f-e771-4d28-b313-5f6a9d292d17};{5721937e-8297-4e6b-9978-1cc7fb440e23};2462;NP-CLT;230
{9a648c8f-e771-4d28-b313-5f6a9d292d17};{9b084a43-2f1f-4dbd-a68f-c9130a822502};2462;NP-CLT;231
{84946a27-72b0-41f2-b0c9-7af60d6bca69};{cbb01621-adec-4f0a-b6f5-6473876a2fc7};2462;NP-CLT;232
{153fbaba-f330-4900-99b0-02000188dd20};{97f55243-1b59-4af4-86d8-6efc2c7c323a};2462;NP-CL;230
{153fbaba-f330-4900-99b0-02000188dd20};{c9bc8a36-9d38-4a1d-bb7b-8ad78bd36f5b};2462;NP-CL;231
{cc77e7a3-bf84-467d-a02c-da64fe88bd1f};{983b6b53-d610-4a27-926a-6424143de98e};2462;NP-CL;232
{97358684-775e-45f7-92e8-9a78202f197f};{d9d45c54-2f2c-421b-a98e-7c25f48e7b58};1182;NP-CZ;231
{717a2204-b5d9-454b-836a-eb9ad9b7b536};{47e8c54a-cf8a-4fd4-b180-730fa0af7343};1194;NP-ROLL70-5000;231
{6df21bd8-e25a-47db-bcee-46817802daab};{977f6c22-b6f6-4627-b487-ba12e7c65cc5};3097;NP-CZ;223
{a475f3f7-b65f-4c25-90ea-e9d3c9f7a41d};{4d97875b-d5b5-4ef4-892e-a5cdd2f6b617};1650;NP-T;232
{dbe2fbd8-02a6-42e9-a9cc-b93046e0070d};{3989de69-e10c-4940-91c9-ce72f698a100};3109;NP-ROLL70-5000;223
{6408836c-8b00-4b3c-918f-9a83698cc3c6};{45792853-6c65-4828-a465-8f0c36e57125};2462;NP-CLB;232
{f1e110da-34bf-463a-b552-d8b2ba9ffe01};{9792fe2b-13fa-452a-8eb2-36199bfbc522};1675;NP-TF;232
{baeb5cf0-2425-4e4c-96dc-8e94c16fd513};{1dd17e6f-705b-4d97-9f8f-b1006bef72a5};1180;NP-BAR22-3000;230
#LEFTOVERS
{8be0064c-bc3a-4138-bc89-b910de8a806d};selejt;0
{f4abd294-3b6a-4790-9145-29be75db9a61};selejt;0
{56afe5b1-9475-41af-a1fa-5e3edd4d6b28};selejt;0
{8339e4a6-b6d7-4b53-ac6b-940b0df66899};RST-J-187;1104.6
{0106fa31-f9c6-4d79-9360-38b3c43244c3};selejt;182.2
{eb67a502-dab1-46a6-8179-27fb02679ccb};RST-J-188;833
{07cebc1c-8de0-46de-b985-ff181f22e918};selejt;124.8
{c2659c2e-c10d-4093-affb-afe455ba8067};selejt;107.2
{e2f932ab-ebe5-42e4-8b2c-4b6b9e9c4c3d};selejt;99.8
{4636ed15-1b56-4284-8344-63e1a712845e};RST-J-189;754
{a2bda0a5-b014-4aee-ac64-e92a4edb3377};RST-J-190;849.8
{ad5fae9c-53c2-4d4a-a118-7e5c522f1a74};RST-J-191;1066.4
{9a648c8f-e771-4d28-b313-5f6a9d292d17};RST-J-192;2051.4
{84946a27-72b0-41f2-b0c9-7af60d6bca69};RST-J-193;4516.6
{153fbaba-f330-4900-99b0-02000188dd20};RST-J-194;2051.4
{cc77e7a3-bf84-467d-a02c-da64fe88bd1f};RST-J-195;4516.6
{97358684-775e-45f7-92e8-9a78202f197f};selejt;589.8
{717a2204-b5d9-454b-836a-eb9ad9b7b536};RST-J-196;824
{6df21bd8-e25a-47db-bcee-46817802daab};RST-J-197;3881.6
{a475f3f7-b65f-4c25-90ea-e9d3c9f7a41d};RST-J-198;4328.6
{dbe2fbd8-02a6-42e9-a9cc-b93046e0070d};RST-J-199;1887
{6408836c-8b00-4b3c-918f-9a83698cc3c6};RST-J-200;3531.6
{f1e110da-34bf-463a-b552-d8b2ba9ffe01};RST-J-201;4303.6
{baeb5cf0-2425-4e4c-96dc-8e94c16fd513};selejt;3
