#VERSION 2
#CUTPLANS
{f4ae61a9-4ba4-410a-83c9-22ce90ea6fe9};2;P;1577;MAT-W-750;{b79a2967-971f-4b03-a2ca-465bf18e7ed1};712 2/2
{f4ae61a9-4ba4-410a-83c9-22ce90ea6fe9};3;K;3.2;KERF;{b79a2967-971f-4b03-a2ca-465bf18e7ed1};712 2/2
{d2e8dea9-81a1-4aa3-bbf9-9b4b24062d9f};0;P;1580;MAT-W-752;{6d8cbc0c-aa61-4378-aecb-b9240a5f8c91};712 1/2
{d2e8dea9-81a1-4aa3-bbf9-9b4b24062d9f};1;K;3.2;KERF;{6d8cbc0c-aa61-4378-aecb-b9240a5f8c91};712 1/2
{d14a2de9-fbe6-4c0a-ad06-49b7bc6ae560};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{d14a2de9-fbe6-4c0a-ad06-49b7bc6ae560};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{d14a2de9-fbe6-4c0a-ad06-49b7bc6ae560};2;P;1580;MAT-W-755;{b5f2b207-89d1-45cd-b154-f5310459defd};712 2/2
{d14a2de9-fbe6-4c0a-ad06-49b7bc6ae560};3;K;3.2;KERF;{b5f2b207-89d1-45cd-b154-f5310459defd};712 2/2
#PIECES
{f649e03e-097e-4c18-a025-c1beb9b1378c};{46e1813e-1f29-4b78-892e-c589cf90c7e6};877;TE-H-32;719
{f649e03e-097e-4c18-a025-c1beb9b1378c};{1f7a661d-3192-4c5b-9a44-1e28dda6ce7d};597;TE-H-32;720 1/2
{f649e03e-097e-4c18-a025-c1beb9b1378c};{ff316f5c-8bc7-4197-8ae4-8ef99f1aa557};1577;TE-H-32;712 1/2
{ab7d4c9a-189a-4013-84ac-92784f30c9bf};{b2f0c3fb-be40-476f-9eb0-795b744d115c};894;SR-T;719
{f17acdff-5681-419c-a527-fe2026229441};{8a0ec3f0-1e6c-4712-92f8-40528fa7abdc};880;SR-Z+P;719
{f17acdff-5681-419c-a527-fe2026229441};{8b9e4904-14c1-48dc-b07e-81546858c98b};600;SR-Z+P;720 1/2
{f17acdff-5681-419c-a527-fe2026229441};{5e219f27-227d-4974-9b44-7ced4b686060};600;SR-Z+P;720 2/2
{f17acdff-5681-419c-a527-fe2026229441};{ff63a3a5-5963-4100-8c62-bdc6e0556c08};1580;SR-Z+P;712 1/2
{f17acdff-5681-419c-a527-fe2026229441};{c537509f-b20b-4b41-ab5f-4fb118bb57cd};1580;SR-Z+P;712 2/2
{4840e347-3948-4ffb-ae4d-fbe51601ea89};{32f2aee7-fb8a-4074-97ed-7ef95f3f1526};614;SR-T;720 1/2
{4840e347-3948-4ffb-ae4d-fbe51601ea89};{d55a9fcc-b824-45c0-a735-c37328cb8b6c};614;SR-T;720 2/2
{b372f425-d33d-4a93-a335-2669e258c6aa};{a879f70c-5bad-42d3-b748-4adf500953e1};597;TE-H-32;720 2/2
{ba159482-3fe7-4774-833a-fa436dc771f8};{92c9a80c-f0da-4ca1-abf7-0e75057223ce};1594;SR-T;712 1/2
{ba159482-3fe7-4774-833a-fa436dc771f8};{cbe573f1-c91e-4c62-9003-c227271bf7c5};1594;SR-T;712 2/2
{f4ae61a9-4ba4-410a-83c9-22ce90ea6fe9};{b79a2967-971f-4b03-a2ca-465bf18e7ed1};1577;TE-H-32;712 2/2
{d2e8dea9-81a1-4aa3-bbf9-9b4b24062d9f};{6d8cbc0c-aa61-4378-aecb-b9240a5f8c91};1580;SR-P-3000;712 1/2
{d14a2de9-fbe6-4c0a-ad06-49b7bc6ae560};{b5f2b207-89d1-45cd-b154-f5310459defd};1580;SR-P-3000;712 2/2
#LEFTOVERS
{f649e03e-097e-4c18-a025-c1beb9b1378c};RST-C-944;564.4
{ab7d4c9a-189a-4013-84ac-92784f30c9bf};RST-C-945;352.8
{f17acdff-5681-419c-a527-fe2026229441};RST-C-946;725.8
{4840e347-3948-4ffb-ae4d-fbe51601ea89};selejt;215.6
{b372f425-d33d-4a93-a335-2669e258c6aa};selejt;99.8
{ba159482-3fe7-4774-833a-fa436dc771f8};RST-C-947;2782.4
{f4ae61a9-4ba4-410a-83c9-22ce90ea6fe9};RST-C-948;4401.6
{d2e8dea9-81a1-4aa3-bbf9-9b4b24062d9f};selejt;89.8
{d14a2de9-fbe6-4c0a-ad06-49b7bc6ae560};RST-C-949;1398.6
