#VERSION 2
#CUTPLANS
{c01cd306-b607-46b2-bc36-917abf910fe0};3;K;3.2;KERF;{afb59ec6-61ba-4178-9e97-96df9afb9d71};127
{c01cd306-b607-46b2-bc36-917abf910fe0};4;P;2497;MAT-M-952;{51b86325-0020-4b4b-806c-f5375dd453aa};139
{c01cd306-b607-46b2-bc36-917abf910fe0};5;K;3.2;KERF;{51b86325-0020-4b4b-806c-f5375dd453aa};139
{d3f4b5de-46b1-4e9c-8b6b-4e93ae85b2c6};0;P;2464;MAT-M-954;{1085e91d-6a99-4f0e-823b-fad887b4d6eb};133
{d3f4b5de-46b1-4e9c-8b6b-4e93ae85b2c6};1;K;2;KERF;{1085e91d-6a99-4f0e-823b-fad887b4d6eb};133
{96688c5e-5863-457b-901d-0697fc6159ff};0;P;2497;MAT-M-956;{3611aa5f-624f-4c1a-ae02-8c2b27d3ab0a};127
{96688c5e-5863-457b-901d-0697fc6159ff};1;K;3.2;KERF;{3611aa5f-624f-4c1a-ae02-8c2b27d3ab0a};127
{6dcd6f98-b4f4-4798-ac77-3cec27e47d57};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{6dcd6f98-b4f4-4798-ac77-3cec27e47d57};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{6dcd6f98-b4f4-4798-ac77-3cec27e47d57};2;P;3845;MAT-M-959;{97cf2723-1d9d-4ea5-a922-b04537bc11c4};127
{6dcd6f98-b4f4-4798-ac77-3cec27e47d57};3;K;3.2;KERF;{97cf2723-1d9d-4ea5-a922-b04537bc11c4};127
{f0ad6d77-e51e-4f7d-87d4-78515e826ea6};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{f0ad6d77-e51e-4f7d-87d4-78515e826ea6};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{f0ad6d77-e51e-4f7d-87d4-78515e826ea6};2;P;3727;MAT-M-962;{249022fc-5f91-416b-97a4-5e82ffd2e4e4};127
{f0ad6d77-e51e-4f7d-87d4-78515e826ea6};3;K;3.2;KERF;{249022fc-5f91-416b-97a4-5e82ffd2e4e4};127
{b8ed713e-9a64-42ab-a085-effb304f21fd};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{b8ed713e-9a64-42ab-a085-effb304f21fd};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{b8ed713e-9a64-42ab-a085-effb304f21fd};2;P;3727;MAT-M-964;{643f51bd-683e-4d9e-9765-dc36f6ce0977};139
{b8ed713e-9a64-42ab-a085-effb304f21fd};3;K;3.2;KERF;{643f51bd-683e-4d9e-9765-dc36f6ce0977};139
{faadee4c-e140-4761-866b-9daea500f2b1};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{faadee4c-e140-4761-866b-9daea500f2b1};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{faadee4c-e140-4761-866b-9daea500f2b1};2;P;3820;MAT-M-967;{f83fe81a-345b-40a0-bca6-8d27dc7ca08a};127
{faadee4c-e140-4761-866b-9daea500f2b1};3;K;3.2;KERF;{f83fe81a-345b-40a0-bca6-8d27dc7ca08a};127
{bb52c8b0-62ad-4a95-b61b-91c816fdc336};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
