#VERSION 2
#CUTPLANS
{d4ffdd46-4311-4260-b8bc-3a922c472be1};0;NOT_STARTED;Rod-A;SR-T;CM2;3.2;REUSABLE;RSM-877;1;;RSM-877;4524
{39c867cc-4229-4146-bf1a-0901d051c6b5};0;P;847;MAT-CR-133;{d8009fc0-6250-4f7b-9fa1-4308e1489adf};632
{39c867cc-4229-4146-bf1a-0901d051c6b5};1;K;3.2;KERF;{d8009fc0-6250-4f7b-9fa1-4308e1489adf};632
{39c867cc-4229-4146-bf1a-0901d051c6b5};2;P;1257;MAT-CR-134;{3d047fe2-21e6-4983-a954-eed993e99994};635
{39c867cc-4229-4146-bf1a-0901d051c6b5};3;K;3.2;KERF;{3d047fe2-21e6-4983-a954-eed993e99994};635
{acea200f-c60f-4c28-ad7d-e20a9ec64cc4};0;P;1594;MAT-CR-135;{8242c854-08f8-4eda-bd1a-bbb3df4f174d};640
{acea200f-c60f-4c28-ad7d-e20a9ec64cc4};1;K;3.2;KERF;{8242c854-08f8-4eda-bd1a-bbb3df4f174d};640
{0f63b06e-0f9c-42d0-a7a2-54d4980c7dab};0;P;894;MAT-CR-141;{ac907cfa-828c-424a-a3c0-13b5c50f20e8};630 1/2
{0f63b06e-0f9c-42d0-a7a2-54d4980c7dab};1;K;3.2;KERF;{ac907cfa-828c-424a-a3c0-13b5c50f20e8};630 1/2
{3b59fa7c-c863-479d-ad25-470f5871b45d};0;P;957;MAT-CR-143;{69264517-a906-400f-a9a9-2c9373e02f79};638
{3b59fa7c-c863-479d-ad25-470f5871b45d};1;K;3.2;KERF;{69264517-a906-400f-a9a9-2c9373e02f79};638
{871fb29d-3573-4617-87b8-c553f449edb2};0;P;894;MAT-CR-145;{a47728c5-555f-409b-a4f3-91539e8c23e9};630 2/2
{871fb29d-3573-4617-87b8-c553f449edb2};1;K;3.2;KERF;{a47728c5-555f-409b-a4f3-91539e8c23e9};630 2/2
{0a353646-8b44-4d78-96db-e48f47c0ef56};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{0a353646-8b44-4d78-96db-e48f47c0ef56};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{0a353646-8b44-4d78-96db-e48f47c0ef56};2;P;877;MAT-CR-148;{d121a89c-1426-47cb-a81f-610559e0a2ea};630 2/2
{0a353646-8b44-4d78-96db-e48f47c0ef56};3;K;3.2;KERF;{d121a89c-1426-47cb-a81f-610559e0a2ea};630 2/2
{0a353646-8b44-4d78-96db-e48f47c0ef56};4;P;2327;MAT-CR-149;{3355c5b2-2ab9-45e2-9519-04e418158ce8};631
{0a353646-8b44-4d78-96db-e48f47c0ef56};5;K;3.2;KERF;{3355c5b2-2ab9-45e2-9519-04e418158ce8};631
{0a353646-8b44-4d78-96db-e48f47c0ef56};6;P;2087;MAT-CR-150;{ff858822-9275-4965-9850-8122c6b37a4d};637
{0a353646-8b44-4d78-96db-e48f47c0ef56};7;K;3.2;KERF;{ff858822-9275-4965-9850-8122c6b37a4d};637
{a2201900-336b-4d81-8ecb-0d4ef32d9ae2};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{a2201900-336b-4d81-8ecb-0d4ef32d9ae2};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{a2201900-336b-4d81-8ecb-0d4ef32d9ae2};2;P;2330;MAT-CR-153;{49626048-0b2b-4a01-b2b4-35303fec03bb};631
{a2201900-336b-4d81-8ecb-0d4ef32d9ae2};3;K;3.2;KERF;{49626048-0b2b-4a01-b2b4-35303fec03bb};631
{a2201900-336b-4d81-8ecb-0d4ef32d9ae2};4;P;1560;MAT-CR-154;{23bcc4a7-cfe9-42b0-a685-0c4465e563bc};639
{a2201900-336b-4d81-8ecb-0d4ef32d9ae2};5;K;3.2;KERF;{23bcc4a7-cfe9-42b0-a685-0c4465e563bc};639
{a2201900-336b-4d81-8ecb-0d4ef32d9ae2};6;P;1580;MAT-CR-155;{6b11918d-76be-4db2-8032-b21eb08adf1b};640
{a2201900-336b-4d81-8ecb-0d4ef32d9ae2};7;K;3.2;KERF;{6b11918d-76be-4db2-8032-b21eb08adf1b};640
{bc21c7a6-5c56-4f0e-ab04-fd3874ed10b1};0;T;20;TECH;{00000000-0000-0000-0000-000000000000};
{bc21c7a6-5c56-4f0e-ab04-fd3874ed10b1};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{bc21c7a6-5c56-4f0e-ab04-fd3874ed10b1};2;P;2344;MAT-CR-158;{90fc7725-36b6-4a49-8793-ef7010c14adf};631
{bc21c7a6-5c56-4f0e-ab04-fd3874ed10b1};3;K;3.2;KERF;{90fc7725-36b6-4a49-8793-ef7010c14adf};631
