#VERSION 2
#CUTPLANS
{b0277377-64a7-43a8-ba6d-835449024595};0;NOT_STARTED;Rod-A;SR-T;CM2;3.2;REUSABLE;RSM-877;1;;RSM-877;4524
{5c32d4b4-95fc-4b18-a0a5-de20d34e9af5};3;K;3.2;KERF;{ca94a45c-e558-440d-b68e-62a208003b7c};636
{5c32d4b4-95fc-4b18-a0a5-de20d34e9af5};4;P;960;MAT-S-053;{a408969d-39f2-4483-b52d-b553eed864f5};638
{5c32d4b4-95fc-4b18-a0a5-de20d34e9af5};5;K;3.2;KERF;{a408969d-39f2-4483-b52d-b553eed864f5};638
{fd0d2d00-d205-4dea-abcf-4f06cb1af482};0;P;847;MAT-S-055;{4f259e90-0689-43aa-b0f2-926749e914fb};632
{fd0d2d00-d205-4dea-abcf-4f06cb1af482};1;K;3.2;KERF;{4f259e90-0689-43aa-b0f2-926749e914fb};632
{fd0d2d00-d205-4dea-abcf-4f06cb1af482};2;P;1257;MAT-S-056;{651f12af-3f76-4ca6-a3cf-210fbf728f17};635
{fd0d2d00-d205-4dea-abcf-4f06cb1af482};3;K;3.2;KERF;{651f12af-3f76-4ca6-a3cf-210fbf728f17};635
{730835ca-86ee-4bfb-a36f-d93eb0fcc989};0;P;880;MAT-S-057;{c51a78db-51e4-4ae7-a0c2-e3a0eab6a81d};630 2/2
{730835ca-86ee-4bfb-a36f-d93eb0fcc989};1;K;3.2;KERF;{c51a78db-51e4-4ae7-a0c2-e3a0eab6a81d};630 2/2
{2e3ca5ad-5984-49be-a33c-ef0ae5f5a4dd};0;P;1594;MAT-S-059;{52253cf3-c6b3-44b6-9452-60d53bc8bec0};640
{2e3ca5ad-5984-49be-a33c-ef0ae5f5a4dd};1;K;3.2;KERF;{52253cf3-c6b3-44b6-9452-60d53bc8bec0};640
{d1a54e7a-b9c8-4124-97fe-ca0265060287};0;P;960;MAT-S-061;{b646d8eb-421d-4716-a4dc-5eadb313a859};636
{d1a54e7a-b9c8-4124-97fe-ca0265060287};1;K;3.2;KERF;{b646d8eb-421d-4716-a4dc-5eadb313a859};636
