#VERSION 2
#CUTPLANS
{d3702fdd-79aa-4268-bb8f-3840578eb55b};0;NOT_STARTED;Rod-D;NP-ROLL70-5000;CM1;2;REUSABLE;RSM-792;3;;RSM-792;2130
{ca72cf2e-7f2a-4f03-b50d-8bcc09c438d2};3;K;3.2;KERF;{d649a2c4-3cf1-4704-a1af-84a11aa67f7f};331
{ca72cf2e-7f2a-4f03-b50d-8bcc09c438d2};4;P;3100;MAT-V-038;{0bc9ef55-204a-464d-902b-f53e26ab86e3};333
{ca72cf2e-7f2a-4f03-b50d-8bcc09c438d2};5;K;3.2;KERF;{0bc9ef55-204a-464d-902b-f53e26ab86e3};333
{f9b6f53e-3229-4301-a8b2-7c0b994a36db};0;P;2157;MAT-V-040;{d7f652b2-a245-4472-8f85-5c8a52454420};332 1/2
{f9b6f53e-3229-4301-a8b2-7c0b994a36db};1;K;3.2;KERF;{d7f652b2-a245-4472-8f85-5c8a52454420};332 1/2
{c55dcfe3-4873-4f40-990b-f59c1c4f0947};0;P;2260;MAT-V-042;{9cd4fba5-4eb4-4cb1-8e71-7955ead1810b};331
{c55dcfe3-4873-4f40-990b-f59c1c4f0947};1;K;2;KERF;{9cd4fba5-4eb4-4cb1-8e71-7955ead1810b};331
{3c3b3f35-f64d-458a-bada-c7e67ffc9fc2};0;P;2247;MAT-V-044;{7eaa5d64-c968-42db-a0b9-5883a2d55674};331
{3c3b3f35-f64d-458a-bada-c7e67ffc9fc2};1;K;3.2;KERF;{7eaa5d64-c968-42db-a0b9-5883a2d55674};331
{797ddb55-a94a-45ba-8b4b-1fa0e6dd815a};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{797ddb55-a94a-45ba-8b4b-1fa0e6dd815a};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{797ddb55-a94a-45ba-8b4b-1fa0e6dd815a};2;P;2170;MAT-V-047;{55ded914-807a-4edc-a2a5-74a8a14d51e5};332 1/2
{797ddb55-a94a-45ba-8b4b-1fa0e6dd815a};3;K;2;KERF;{55ded914-807a-4edc-a2a5-74a8a14d51e5};332 1/2
{797ddb55-a94a-45ba-8b4b-1fa0e6dd815a};4;P;2170;MAT-V-048;{0e51f344-903a-4f42-ab9f-fc5320d97aee};332 2/2
{797ddb55-a94a-45ba-8b4b-1fa0e6dd815a};5;K;2;KERF;{0e51f344-903a-4f42-ab9f-fc5320d97aee};332 2/2
{4dba9a85-dcc7-4013-8177-6ac02fe66fad};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{4dba9a85-dcc7-4013-8177-6ac02fe66fad};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{4dba9a85-dcc7-4013-8177-6ac02fe66fad};2;P;2275;MAT-V-051;{77055af8-ebba-4d72-af31-90265bcd7e2d};332 1/2
{4dba9a85-dcc7-4013-8177-6ac02fe66fad};3;K;3.2;KERF;{77055af8-ebba-4d72-af31-90265bcd7e2d};332 1/2
{4dba9a85-dcc7-4013-8177-6ac02fe66fad};4;P;2275;MAT-V-052;{d625efb2-ea1e-439f-992a-74174b514f64};332 2/2
{4dba9a85-dcc7-4013-8177-6ac02fe66fad};5;K;3.2;KERF;{d625efb2-ea1e-439f-992a-74174b514f64};332 2/2
{477bca36-7f95-46c6-9487-eba8ba322cc0};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{477bca36-7f95-46c6-9487-eba8ba322cc0};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{477bca36-7f95-46c6-9487-eba8ba322cc0};2;P;2250;MAT-V-055;{17487b8d-8a45-4951-823e-7ce35895a3d1};332 1/2
{477bca36-7f95-46c6-9487-eba8ba322cc0};3;K;3.2;KERF;{17487b8d-8a45-4951-823e-7ce35895a3d1};332 1/2
{477bca36-7f95-46c6-9487-eba8ba322cc0};4;P;2250;MAT-V-056;{cb30f4ec-1dd8-4456-9623-e07779424b71};332 2/2
{477bca36-7f95-46c6-9487-eba8ba322cc0};5;K;3.2;KERF;{cb30f4ec-1dd8-4456-9623-e07779424b71};332 2/2
{1bc1c1d7-d847-4e60-ae08-698943837aaf};0;P;3007;MAT-V-058;{c5f53f2b-843f-4631-bfcd-04f58ff5293b};333
{1bc1c1d7-d847-4e60-ae08-698943837aaf};1;K;3.2;KERF;{c5f53f2b-843f-4631-bfcd-04f58ff5293b};333
{24b922df-5cd6-474d-85f8-1cd464aa1164};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{24b922df-5cd6-474d-85f8-1cd464aa1164};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{24b922df-5cd6-474d-85f8-1cd464aa1164};2;P;2105;MAT-V-061;{21b0c3bd-3096-4d54-b997-e2aced0211e2};332 2/2
{24b922df-5cd6-474d-85f8-1cd464aa1164};3;K;2;KERF;{21b0c3bd-3096-4d54-b997-e2aced0211e2};332 2/2
{24b922df-5cd6-474d-85f8-1cd464aa1164};4;P;2955;MAT-V-062;{f3a2f482-1315-4958-b0ec-c375dbeff284};333
{24b922df-5cd6-474d-85f8-1cd464aa1164};5;K;2;KERF;{f3a2f482-1315-4958-b0ec-c375dbeff284};333
{f7ddf81e-c34b-497e-94e0-f4077c5bffa2};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{f7ddf81e-c34b-497e-94e0-f4077c5bffa2};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{f7ddf81e-c34b-497e-94e0-f4077c5bffa2};2;P;2077;MAT-V-065;{56bd4021-3b50-4cc3-9ae3-2323f7374931};332 2/2
{f7ddf81e-c34b-497e-94e0-f4077c5bffa2};3;K;3.2;KERF;{56bd4021-3b50-4cc3-9ae3-2323f7374931};332 2/2
{f7ddf81e-c34b-497e-94e0-f4077c5bffa2};4;P;1982;MAT-V-066;{f8e9203c-2149-4dd9-8ab3-364372b7cd91};333
{f7ddf81e-c34b-497e-94e0-f4077c5bffa2};5;K;3.2;KERF;{f8e9203c-2149-4dd9-8ab3-364372b7cd91};333
{05c3d1a3-34d8-487e-b64f-cbe83f7626c1};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{05c3d1a3-34d8-487e-b64f-cbe83f7626c1};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{05c3d1a3-34d8-487e-b64f-cbe83f7626c1};2;P;1857;MAT-V-069;{e584c64c-c208-4211-832a-1ad17cdb5ea1};330
{05c3d1a3-34d8-487e-b64f-cbe83f7626c1};3;K;3.2;KERF;{e584c64c-c208-4211-832a-1ad17cdb5ea1};330
{05c3d1a3-34d8-487e-b64f-cbe83f7626c1};4;P;2157;MAT-V-070;{5b967da7-70c8-43e3-809a-2cd466d27496};332 2/2
{05c3d1a3-34d8-487e-b64f-cbe83f7626c1};5;K;3.2;KERF;{5b967da7-70c8-43e3-809a-2cd466d27496};332 2/2
{6fdc1fc9-1335-43c8-8db8-ad4072b5382c};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{6fdc1fc9-1335-43c8-8db8-ad4072b5382c};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{6fdc1fc9-1335-43c8-8db8-ad4072b5382c};2;P;3020;MAT-V-073;{be8d9a64-45fc-4c1e-88fb-94e04a973329};333
