#VERSION 2
#CUTPLANS
{33fd1330-eb38-4b78-83d4-24f3e123a2a6};0;P;1244;MAT-CN-695;{45b6ef40-d6d4-4ba0-aa0d-f49c98bb6545};230
{33fd1330-eb38-4b78-83d4-24f3e123a2a6};1;K;2;KERF;{45b6ef40-d6d4-4ba0-aa0d-f49c98bb6545};230
{33fd1330-eb38-4b78-83d4-24f3e123a2a6};2;P;1569;MAT-CN-696;{34807109-7c25-469d-a749-c62f83c47643};232
{33fd1330-eb38-4b78-83d4-24f3e123a2a6};3;K;2;KERF;{34807109-7c25-469d-a749-c62f83c47643};232
{c45ffbf1-8965-4e57-a2c2-0e0d1535cf9d};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{c45ffbf1-8965-4e57-a2c2-0e0d1535cf9d};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{c45ffbf1-8965-4e57-a2c2-0e0d1535cf9d};2;P;3215;MAT-CN-699;{dc9310d3-7266-4475-bddd-fd8f99a3edb4};223
{c45ffbf1-8965-4e57-a2c2-0e0d1535cf9d};3;K;3.2;KERF;{dc9310d3-7266-4475-bddd-fd8f99a3edb4};223
{c45ffbf1-8965-4e57-a2c2-0e0d1535cf9d};4;P;1350;MAT-CN-700;{bda340c4-6f31-4573-bb2d-00b197a2af3a};230
{c45ffbf1-8965-4e57-a2c2-0e0d1535cf9d};5;K;3.2;KERF;{bda340c4-6f31-4573-bb2d-00b197a2af3a};230
{c45ffbf1-8965-4e57-a2c2-0e0d1535cf9d};6;P;1300;MAT-CN-701;{434af2cb-cffe-43cf-b247-38a4cee6905a};231
{c45ffbf1-8965-4e57-a2c2-0e0d1535cf9d};7;K;3.2;KERF;{434af2cb-cffe-43cf-b247-38a4cee6905a};231
{31626248-5968-4399-9fc1-7125d1ee487b};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{31626248-5968-4399-9fc1-7125d1ee487b};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{31626248-5968-4399-9fc1-7125d1ee487b};2;P;2462;MAT-CN-704;{6bcfbc74-e8dd-444d-bfb2-4b4fee80a006};230
{31626248-5968-4399-9fc1-7125d1ee487b};3;K;3.2;KERF;{6bcfbc74-e8dd-444d-bfb2-4b4fee80a006};230
{31626248-5968-4399-9fc1-7125d1ee487b};4;P;2462;MAT-CN-705;{3b40e29f-f62d-49e2-a5e6-ec635646eecf};231
