#VERSION 2
#CUTPLANS
{18871e92-9d0c-4ca5-a7a9-63fc39613197};0;P;1647;MAT-CM-865;{734b31e5-0642-48e5-87b8-aeb89b20bf82};223
{18871e92-9d0c-4ca5-a7a9-63fc39613197};1;K;3.2;KERF;{734b31e5-0642-48e5-87b8-aeb89b20bf82};223
{848f5f15-5f3f-4e52-aca2-3c4e6a3a02b2};0;P;45;MAT-CM-867;{e8cc1012-a3be-45ea-90cd-38d740e54dc0};223
{848f5f15-5f3f-4e52-aca2-3c4e6a3a02b2};1;K;2;KERF;{e8cc1012-a3be-45ea-90cd-38d740e54dc0};223
{848f5f15-5f3f-4e52-aca2-3c4e6a3a02b2};2;P;100;MAT-CM-868;{e3499e1d-e421-4eca-8630-e110c580b38f};231
{848f5f15-5f3f-4e52-aca2-3c4e6a3a02b2};3;K;2;KERF;{e3499e1d-e421-4eca-8630-e110c580b38f};231
{848f5f15-5f3f-4e52-aca2-3c4e6a3a02b2};4;P;145;MAT-CM-869;{a98e85c0-fed5-470c-a1d7-4a7d6a1094af};232
{848f5f15-5f3f-4e52-aca2-3c4e6a3a02b2};5;K;2;KERF;{a98e85c0-fed5-470c-a1d7-4a7d6a1094af};232
{f53798c3-4424-4ac5-96d9-20dab9332c19};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{f53798c3-4424-4ac5-96d9-20dab9332c19};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{f53798c3-4424-4ac5-96d9-20dab9332c19};2;P;2462;MAT-CM-872;{9522aa02-bb9f-4783-9269-0f07812d2708};230
{f53798c3-4424-4ac5-96d9-20dab9332c19};3;K;3.2;KERF;{9522aa02-bb9f-4783-9269-0f07812d2708};230
{f53798c3-4424-4ac5-96d9-20dab9332c19};4;P;2462;MAT-CM-873;{89d0e001-b62c-447d-b56d-a1d52acef7fa};231
{f53798c3-4424-4ac5-96d9-20dab9332c19};5;K;3.2;KERF;{89d0e001-b62c-447d-b56d-a1d52acef7fa};231
{64c725b1-791b-4545-8366-eab2a823ef6d};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{64c725b1-791b-4545-8366-eab2a823ef6d};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{64c725b1-791b-4545-8366-eab2a823ef6d};2;P;2462;MAT-CM-875;{a32fcee0-0682-45da-9091-ac09fd1a68b5};232
{64c725b1-791b-4545-8366-eab2a823ef6d};3;K;3.2;KERF;{a32fcee0-0682-45da-9091-ac09fd1a68b5};232
{9ecbe67b-4a2e-417d-9e16-511a38e8ba77};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{9ecbe67b-4a2e-417d-9e16-511a38e8ba77};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{9ecbe67b-4a2e-417d-9e16-511a38e8ba77};2;P;2462;MAT-CM-878;{ff747c39-3dd4-4f9a-8fbe-360b019640da};230
{9ecbe67b-4a2e-417d-9e16-511a38e8ba77};3;K;3.2;KERF;{ff747c39-3dd4-4f9a-8fbe-360b019640da};230
{9ecbe67b-4a2e-417d-9e16-511a38e8ba77};4;P;2462;MAT-CM-879;{aa929958-732b-41fb-b03e-ddbabe0b75ed};231
{9ecbe67b-4a2e-417d-9e16-511a38e8ba77};5;K;3.2;KERF;{aa929958-732b-41fb-b03e-ddbabe0b75ed};231
{e5ecb6aa-f59c-4916-b4fa-cf7cdb38ece3};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{e5ecb6aa-f59c-4916-b4fa-cf7cdb38ece3};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
