#VERSION 2
#CUTPLANS
{1fa32f08-98be-4c28-b495-e02b7cd25c04};2;P;2497;MAT-M-812;{8eb0e8e7-3cdd-4e20-9e31-53b90317f49e};127
{1fa32f08-98be-4c28-b495-e02b7cd25c04};3;K;3.2;KERF;{8eb0e8e7-3cdd-4e20-9e31-53b90317f49e};127
{1fa32f08-98be-4c28-b495-e02b7cd25c04};4;P;2497;MAT-M-813;{bb334fdf-d3f0-41d8-afc4-92141712c36e};139
{1fa32f08-98be-4c28-b495-e02b7cd25c04};5;K;3.2;KERF;{bb334fdf-d3f0-41d8-afc4-92141712c36e};139
{d090e5e8-8de8-4cbb-9b89-668ed1faa227};0;P;2464;MAT-M-815;{9b89a6bd-87fb-40dc-8f53-35e89b774589};133
{d090e5e8-8de8-4cbb-9b89-668ed1faa227};1;K;2;KERF;{9b89a6bd-87fb-40dc-8f53-35e89b774589};133
{f84af646-608b-4c28-a173-8bde4c9b1743};0;P;2497;MAT-M-817;{f3b85a46-175a-4135-8dee-1f54b92220c0};127
{f84af646-608b-4c28-a173-8bde4c9b1743};1;K;3.2;KERF;{f3b85a46-175a-4135-8dee-1f54b92220c0};127
{48b49ebf-5494-4b74-87aa-5a0a07fe6b78};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{48b49ebf-5494-4b74-87aa-5a0a07fe6b78};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{48b49ebf-5494-4b74-87aa-5a0a07fe6b78};2;P;3727;MAT-M-820;{b00c1ebd-1867-4750-8daa-d0aa57025f96};127
{48b49ebf-5494-4b74-87aa-5a0a07fe6b78};3;K;3.2;KERF;{b00c1ebd-1867-4750-8daa-d0aa57025f96};127
{ce8fe2a5-e87d-40e6-84db-cb6a95e6c764};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{ce8fe2a5-e87d-40e6-84db-cb6a95e6c764};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{ce8fe2a5-e87d-40e6-84db-cb6a95e6c764};2;P;3727;MAT-M-822;{b0373592-f36f-42a5-9263-6f2462027ff0};139
{ce8fe2a5-e87d-40e6-84db-cb6a95e6c764};3;K;3.2;KERF;{b0373592-f36f-42a5-9263-6f2462027ff0};139
{786378c7-b7c8-4486-9719-a70ed49e85cd};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{786378c7-b7c8-4486-9719-a70ed49e85cd};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{786378c7-b7c8-4486-9719-a70ed49e85cd};2;P;3820;MAT-M-825;{7f5e2077-de76-4f65-b003-fe26f850d488};127
{786378c7-b7c8-4486-9719-a70ed49e85cd};3;K;3.2;KERF;{7f5e2077-de76-4f65-b003-fe26f850d488};127
{667693ca-52be-48f0-89f9-88ac5cd90732};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{667693ca-52be-48f0-89f9-88ac5cd90732};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{667693ca-52be-48f0-89f9-88ac5cd90732};2;P;3845;MAT-M-828;{73251b7f-da91-4756-ab63-905f6447406b};127
{667693ca-52be-48f0-89f9-88ac5cd90732};3;K;3.2;KERF;{73251b7f-da91-4756-ab63-905f6447406b};127
{6c7ac836-46af-45dd-ba6f-608393d3ae60};0;P;675;MAT-M-830;{2e33bce9-f7c1-4ffd-bb0b-eb2cf7ed4258};139
{6c7ac836-46af-45dd-ba6f-608393d3ae60};1;K;2;KERF;{2e33bce9-f7c1-4ffd-bb0b-eb2cf7ed4258};139
{56ab11aa-f256-4556-a127-cfeab3feabde};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{56ab11aa-f256-4556-a127-cfeab3feabde};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{56ab11aa-f256-4556-a127-cfeab3feabde};2;P;3739;MAT-M-833;{43cac039-9a67-470f-afb1-0f55537b2f70};139
{56ab11aa-f256-4556-a127-cfeab3feabde};3;K;2;KERF;{43cac039-9a67-470f-afb1-0f55537b2f70};139
{c052cb20-c129-481a-9c60-cf7389ff93e0};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{c052cb20-c129-481a-9c60-cf7389ff93e0};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{c052cb20-c129-481a-9c60-cf7389ff93e0};2;P;2497;MAT-M-836;{eb1d1308-8af8-477f-a610-c732eb7ecdc8};139
{c052cb20-c129-481a-9c60-cf7389ff93e0};3;K;3.2;KERF;{eb1d1308-8af8-477f-a610-c732eb7ecdc8};139
