#VERSION 2
#CUTPLANS
{6bf69403-eb16-47dc-a7a4-20e4c7e0633f};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{6bf69403-eb16-47dc-a7a4-20e4c7e0633f};2;P;1577;MAT-W-713;{714fccc0-a917-46ae-8c3e-b5645963a11d};712 2/2
{6bf69403-eb16-47dc-a7a4-20e4c7e0633f};3;K;3.2;KERF;{714fccc0-a917-46ae-8c3e-b5645963a11d};712 2/2
{864e32ea-d94e-485d-b2da-07a9e897cefa};0;P;1580;MAT-W-715;{1f20d22b-3151-4e6a-af30-9bae59dffe1c};712 1/2
{864e32ea-d94e-485d-b2da-07a9e897cefa};1;K;3.2;KERF;{1f20d22b-3151-4e6a-af30-9bae59dffe1c};712 1/2
{7a12fdad-770e-410b-8778-2fe2fa4b54c9};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{7a12fdad-770e-410b-8778-2fe2fa4b54c9};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{7a12fdad-770e-410b-8778-2fe2fa4b54c9};2;P;1580;MAT-W-718;{8e1dbf6f-7fb8-4444-87c0-fe48b2df0978};712 2/2
{7a12fdad-770e-410b-8778-2fe2fa4b54c9};3;K;3.2;KERF;{8e1dbf6f-7fb8-4444-87c0-fe48b2df0978};712 2/2
#PIECES
{3b3e1a19-3bbc-42b7-8213-0ff17c12f78f};{7a84e465-304b-43f3-b55d-690cf365e674};877;TE-H-32;719
{3b3e1a19-3bbc-42b7-8213-0ff17c12f78f};{5a31505a-ca54-4a65-a435-ce3ce5c707ef};597;TE-H-32;720 1/2
{3b3e1a19-3bbc-42b7-8213-0ff17c12f78f};{06bb3d22-124e-4be8-8888-c3d07d51e1b2};1577;TE-H-32;712 1/2
{35afedb6-6353-4e82-a8c8-806572e0344a};{5a9a4753-97e1-4f8a-8950-07280dd22f93};894;SR-T;719
{3ba2cdf3-8946-4928-a142-617cfde087fe};{c1d7a916-fbac-43fa-a365-0feeba7f502d};880;SR-Z+P;719
{3ba2cdf3-8946-4928-a142-617cfde087fe};{e5a61a99-277f-4d12-a788-eb7336249960};600;SR-Z+P;720 1/2
{3ba2cdf3-8946-4928-a142-617cfde087fe};{f035fd42-0140-4038-84fc-2a8acdaf15ae};600;SR-Z+P;720 2/2
{3ba2cdf3-8946-4928-a142-617cfde087fe};{85b3eba3-8d1e-41cf-8bdc-2b7f6e14f3e5};1580;SR-Z+P;712 1/2
{3ba2cdf3-8946-4928-a142-617cfde087fe};{0395e054-1ada-46d4-993e-483b7b974a4b};1580;SR-Z+P;712 2/2
{6100ddda-aba5-491d-8fd2-3feec1bd37cc};{57b1de2f-d8b1-4cd3-a43f-387162450721};614;SR-T;720 1/2
{6100ddda-aba5-491d-8fd2-3feec1bd37cc};{3a61c9c2-0149-440b-99ac-8846b1c66f98};614;SR-T;720 2/2
{252f814f-23a1-431c-b664-ab9e99512797};{5384e627-9c4b-4eca-a7bc-62df8108a802};597;TE-H-32;720 2/2
{60c5def7-f48d-490b-abee-1a693eb67eb8};{f0c4503e-52ae-4160-a862-9bab17d076f7};1594;SR-T;712 1/2
{60c5def7-f48d-490b-abee-1a693eb67eb8};{3bb9e01b-82bf-4cdf-929a-192db54abc31};1594;SR-T;712 2/2
{6bf69403-eb16-47dc-a7a4-20e4c7e0633f};{714fccc0-a917-46ae-8c3e-b5645963a11d};1577;TE-H-32;712 2/2
{864e32ea-d94e-485d-b2da-07a9e897cefa};{1f20d22b-3151-4e6a-af30-9bae59dffe1c};1580;SR-P-3000;712 1/2
{7a12fdad-770e-410b-8778-2fe2fa4b54c9};{8e1dbf6f-7fb8-4444-87c0-fe48b2df0978};1580;SR-P-3000;712 2/2
#LEFTOVERS
{3b3e1a19-3bbc-42b7-8213-0ff17c12f78f};RST-C-938;564.4
{35afedb6-6353-4e82-a8c8-806572e0344a};RST-C-939;352.8
{3ba2cdf3-8946-4928-a142-617cfde087fe};RST-C-940;725.8
{6100ddda-aba5-491d-8fd2-3feec1bd37cc};selejt;215.6
{252f814f-23a1-431c-b664-ab9e99512797};selejt;99.8
{60c5def7-f48d-490b-abee-1a693eb67eb8};RST-C-941;2782.4
{6bf69403-eb16-47dc-a7a4-20e4c7e0633f};RST-C-942;4401.6
{864e32ea-d94e-485d-b2da-07a9e897cefa};selejt;89.8
{7a12fdad-770e-410b-8778-2fe2fa4b54c9};RST-C-943;1398.6
