#VERSION 2
#CUTPLANS
{03df81a8-9e07-4c0a-b505-9a1fb724e79d};3;K;3.2;KERF;{92c1fe3c-64ba-478e-8c53-64a66d28e6c5};232
{1ced3a56-e5dc-4175-a857-d2ad3226417e};0;P;1647;MAT-CN-898;{c01e321b-aa4b-49cb-90b5-05e802c9ef98};223
{1ced3a56-e5dc-4175-a857-d2ad3226417e};1;K;3.2;KERF;{c01e321b-aa4b-49cb-90b5-05e802c9ef98};223
{a3f31c9f-46e2-40e4-b37e-6835f2c22ea6};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{a3f31c9f-46e2-40e4-b37e-6835f2c22ea6};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{a3f31c9f-46e2-40e4-b37e-6835f2c22ea6};2;P;3215;MAT-CN-901;{1f08e99e-2e0a-4288-a88d-1986b10fda09};223
{a3f31c9f-46e2-40e4-b37e-6835f2c22ea6};3;K;3.2;KERF;{1f08e99e-2e0a-4288-a88d-1986b10fda09};223
{a3f31c9f-46e2-40e4-b37e-6835f2c22ea6};4;P;1350;MAT-CN-902;{f6df057c-ff93-413f-945f-71f7705beac1};230
{a3f31c9f-46e2-40e4-b37e-6835f2c22ea6};5;K;3.2;KERF;{f6df057c-ff93-413f-945f-71f7705beac1};230
{a3f31c9f-46e2-40e4-b37e-6835f2c22ea6};6;P;1300;MAT-CN-903;{6164fe62-4557-469d-baed-5364d583acde};231
{a3f31c9f-46e2-40e4-b37e-6835f2c22ea6};7;K;3.2;KERF;{6164fe62-4557-469d-baed-5364d583acde};231
{6be25d2c-ded6-4f61-95a9-93693b226708};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{6be25d2c-ded6-4f61-95a9-93693b226708};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{6be25d2c-ded6-4f61-95a9-93693b226708};2;P;2462;MAT-CN-906;{9349ac2e-a0b5-4cb1-8c5a-68c005726b95};230
{6be25d2c-ded6-4f61-95a9-93693b226708};3;K;3.2;KERF;{9349ac2e-a0b5-4cb1-8c5a-68c005726b95};230
{6be25d2c-ded6-4f61-95a9-93693b226708};4;P;2462;MAT-CN-907;{242baf8d-d3fd-4477-a32c-ced9e9f01a38};231
{6be25d2c-ded6-4f61-95a9-93693b226708};5;K;3.2;KERF;{242baf8d-d3fd-4477-a32c-ced9e9f01a38};231
{7eae8f52-03b9-4bd4-a49c-f259c4e00d03};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{7eae8f52-03b9-4bd4-a49c-f259c4e00d03};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{7eae8f52-03b9-4bd4-a49c-f259c4e00d03};2;P;2462;MAT-CN-909;{8044a4a8-bdaf-4276-b28e-af72cbb3700a};232
{7eae8f52-03b9-4bd4-a49c-f259c4e00d03};3;K;3.2;KERF;{8044a4a8-bdaf-4276-b28e-af72cbb3700a};232
{b22401dd-7046-48ab-89e8-03757bbf9006};0;P;1194;MAT-CN-911;{33f4ace2-c76f-4b66-ad9a-a989ae3a9719};231
{b22401dd-7046-48ab-89e8-03757bbf9006};1;K;2;KERF;{33f4ace2-c76f-4b66-ad9a-a989ae3a9719};231
{4a5f3c2d-c45f-4b5d-9b9c-c3f85af9cd38};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{4a5f3c2d-c45f-4b5d-9b9c-c3f85af9cd38};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{4a5f3c2d-c45f-4b5d-9b9c-c3f85af9cd38};2;P;3097;MAT-CN-914;{30ea46f0-120d-4bd0-86c4-54c6aa9a265d};223
{4a5f3c2d-c45f-4b5d-9b9c-c3f85af9cd38};3;K;3.2;KERF;{30ea46f0-120d-4bd0-86c4-54c6aa9a265d};223
{4a5f3c2d-c45f-4b5d-9b9c-c3f85af9cd38};4;P;1182;MAT-CN-915;{8365670b-8434-44bf-bcb0-1dee6fca5dcd};231
{4a5f3c2d-c45f-4b5d-9b9c-c3f85af9cd38};5;K;3.2;KERF;{8365670b-8434-44bf-bcb0-1dee6fca5dcd};231
{96df68f9-5df8-4079-ae85-9150750dc1c7};0;P;1180;MAT-CN-917;{7ad7bf6d-8fc9-4dd6-b239-09d39c620569};230
{96df68f9-5df8-4079-ae85-9150750dc1c7};1;K;2;KERF;{7ad7bf6d-8fc9-4dd6-b239-09d39c620569};230
{92591eba-f366-4253-bfaa-bc44d07e433f};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{92591eba-f366-4253-bfaa-bc44d07e433f};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{92591eba-f366-4253-bfaa-bc44d07e433f};2;P;1650;MAT-CN-920;{fd51f8ed-6ce2-45fa-b035-4541f063aac4};232
{92591eba-f366-4253-bfaa-bc44d07e433f};3;K;3.2;KERF;{fd51f8ed-6ce2-45fa-b035-4541f063aac4};232
{5a9eaf4e-a2bb-4a93-a8db-74391ca50130};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{5a9eaf4e-a2bb-4a93-a8db-74391ca50130};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{5a9eaf4e-a2bb-4a93-a8db-74391ca50130};2;P;3109;MAT-CN-923;{1c33ba5d-3e22-48eb-ae42-73314f43ae2e};223
{5a9eaf4e-a2bb-4a93-a8db-74391ca50130};3;K;2;KERF;{1c33ba5d-3e22-48eb-ae42-73314f43ae2e};223
{932d54b0-3274-4049-bff9-ba7a1f334334};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{932d54b0-3274-4049-bff9-ba7a1f334334};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{932d54b0-3274-4049-bff9-ba7a1f334334};2;P;1675;MAT-CN-926;{46470713-ecb7-4a44-ade2-86de0f549528};232
{932d54b0-3274-4049-bff9-ba7a1f334334};3;K;3.2;KERF;{46470713-ecb7-4a44-ade2-86de0f549528};232
#PIECES
{16db1952-5c01-4009-93a3-bf6808de4fb4};{56789597-7a4f-4a00-aff7-f6c6599dbbf1};3000;NP-BAR22-3000;223
{b7721112-5b28-48dc-a1a8-17472c7ed32e};{6eacc624-8700-4f95-ae58-0f93c406195a};1000;NP-BAR22-3000;231
{31cf3f17-bbf6-47fc-bcde-de8ef596c090};{0a3dafa9-dd3f-4bb5-97a9-a9680892d01b};1330;NP-BAR22-3000;232
{7ccbc593-4be3-4b93-97b5-554d32ff09a4};{367e1f81-1fb6-4b02-b88d-10e5c828d293};45;NP-BAR22-3000;223
{7ccbc593-4be3-4b93-97b5-554d32ff09a4};{f29ce18d-592e-4040-9350-b338c5a2b729};100;NP-BAR22-3000;231
{7ccbc593-4be3-4b93-97b5-554d32ff09a4};{e589d682-89f2-4a68-9c1d-ca3bdae99f16};145;NP-BAR22-3000;232
{9eb1a327-f249-4167-a572-60d35a889268};{ce77fc7b-8f66-48e4-95e4-1e34f44794e6};3190;NP-T;223
{9eb1a327-f249-4167-a572-60d35a889268};{d2f9e2ee-af50-445d-9560-907b72f1932c};1325;NP-T;230
{9eb1a327-f249-4167-a572-60d35a889268};{2578bd25-10e6-4d22-8cbf-77362d5550f2};1275;NP-T;231
{ba8f8e8b-6671-4d27-83a1-b4d9116228f0};{5ac5a074-4b4c-4737-b709-9cafc09e50d2};1244;NP-ROLL70-5000;230
{ba8f8e8b-6671-4d27-83a1-b4d9116228f0};{aba61b45-0bb8-4eb6-8042-4c752e9ffeb5};1569;NP-ROLL70-5000;232
{03df81a8-9e07-4c0a-b505-9a1fb724e79d};{2aaa223e-3229-461d-8558-cb00419d5d37};1232;NP-CZ;230
{03df81a8-9e07-4c0a-b505-9a1fb724e79d};{92c1fe3c-64ba-478e-8c53-64a66d28e6c5};1557;NP-CZ;232
