#VERSION 2
#CUTPLANS
{4785a3d1-7c0f-4c16-9782-e2ba677de367};1;K;3.2;KERF;{582f093b-df49-4417-817c-4288462119d4};223
{60968dd2-a83f-4a05-88ec-cd02f8efd58e};0;P;1647;MAT-CM-670;{057a6c37-93ed-47e3-9dcb-53febc840f5b};223
{60968dd2-a83f-4a05-88ec-cd02f8efd58e};1;K;3.2;KERF;{057a6c37-93ed-47e3-9dcb-53febc840f5b};223
{97970e85-343b-469b-9806-bc642a622399};0;P;1232;MAT-CM-672;{df7e3655-7fba-41d6-8f21-c42128ccd03d};230
{97970e85-343b-469b-9806-bc642a622399};1;K;3.2;KERF;{df7e3655-7fba-41d6-8f21-c42128ccd03d};230
{97970e85-343b-469b-9806-bc642a622399};2;P;1557;MAT-CM-673;{34ff7984-b0ff-43b2-b756-28f892453f91};232
{97970e85-343b-469b-9806-bc642a622399};3;K;3.2;KERF;{34ff7984-b0ff-43b2-b756-28f892453f91};232
{79af57b1-052f-4eb3-b5f2-2a7624bbcef5};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{79af57b1-052f-4eb3-b5f2-2a7624bbcef5};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{79af57b1-052f-4eb3-b5f2-2a7624bbcef5};2;P;2462;MAT-CM-676;{223f4999-2d4b-41b4-9184-5f77c3bbe916};230
{79af57b1-052f-4eb3-b5f2-2a7624bbcef5};3;K;3.2;KERF;{223f4999-2d4b-41b4-9184-5f77c3bbe916};230
{79af57b1-052f-4eb3-b5f2-2a7624bbcef5};4;P;2462;MAT-CM-677;{2a2cdc8c-2207-4c95-93a7-193d89b9519a};231
{79af57b1-052f-4eb3-b5f2-2a7624bbcef5};5;K;3.2;KERF;{2a2cdc8c-2207-4c95-93a7-193d89b9519a};231
{0f30ad65-7794-4d6c-93c0-3978dd3ccde0};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{0f30ad65-7794-4d6c-93c0-3978dd3ccde0};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{0f30ad65-7794-4d6c-93c0-3978dd3ccde0};2;P;2462;MAT-CM-679;{ae2bee86-57f8-4f68-8103-3b44d0c3d567};232
{0f30ad65-7794-4d6c-93c0-3978dd3ccde0};3;K;3.2;KERF;{ae2bee86-57f8-4f68-8103-3b44d0c3d567};232
{6db7fb14-65b7-4cc0-aca3-85a372a0fb8a};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{6db7fb14-65b7-4cc0-aca3-85a372a0fb8a};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{6db7fb14-65b7-4cc0-aca3-85a372a0fb8a};2;P;2462;MAT-CM-682;{19313b7c-a7d3-4959-b317-8ab1f1980ad7};230
{6db7fb14-65b7-4cc0-aca3-85a372a0fb8a};3;K;3.2;KERF;{19313b7c-a7d3-4959-b317-8ab1f1980ad7};230
{6db7fb14-65b7-4cc0-aca3-85a372a0fb8a};4;P;2462;MAT-CM-683;{6deecbc4-c4e5-4170-8427-0af52f3abc75};231
{6db7fb14-65b7-4cc0-aca3-85a372a0fb8a};5;K;3.2;KERF;{6deecbc4-c4e5-4170-8427-0af52f3abc75};231
{9b7e213e-412d-463d-9f53-0ba2c5a3eab5};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{9b7e213e-412d-463d-9f53-0ba2c5a3eab5};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{9b7e213e-412d-463d-9f53-0ba2c5a3eab5};2;P;2462;MAT-CM-686;{643c91a1-dcf3-44de-99e0-6d3418bd203d};230
{9b7e213e-412d-463d-9f53-0ba2c5a3eab5};3;K;3.2;KERF;{643c91a1-dcf3-44de-99e0-6d3418bd203d};230
{9b7e213e-412d-463d-9f53-0ba2c5a3eab5};4;P;2462;MAT-CM-687;{9c600c67-5148-4379-96f2-b49878a04753};231
{9b7e213e-412d-463d-9f53-0ba2c5a3eab5};5;K;3.2;KERF;{9c600c67-5148-4379-96f2-b49878a04753};231
{ef304ab8-7b6e-4aaf-b331-38442f8488ec};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{ef304ab8-7b6e-4aaf-b331-38442f8488ec};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{ef304ab8-7b6e-4aaf-b331-38442f8488ec};2;P;2462;MAT-CM-689;{23d1a4e0-6cee-4d1f-a553-347ad33c2059};232
{ef304ab8-7b6e-4aaf-b331-38442f8488ec};3;K;3.2;KERF;{23d1a4e0-6cee-4d1f-a553-347ad33c2059};232
{b602b482-dae5-4b87-b538-437008ab417c};0;P;1194;MAT-CM-691;{a51524f0-370d-457a-9cd1-256d5e5d75c8};231
{b602b482-dae5-4b87-b538-437008ab417c};1;K;2;KERF;{a51524f0-370d-457a-9cd1-256d5e5d75c8};231
{3f7dffc6-39e6-47b2-8776-0f7898bccf4b};0;P;1182;MAT-CM-693;{c5df6509-224b-41b2-877f-b21ccf91dd86};231
{3f7dffc6-39e6-47b2-8776-0f7898bccf4b};1;K;3.2;KERF;{c5df6509-224b-41b2-877f-b21ccf91dd86};231
{227bf289-e2e3-4738-871c-a6425f4540b9};0;P;1180;MAT-CM-695;{d3226885-ddbd-4530-9dc9-a0a619e5ee52};230
{227bf289-e2e3-4738-871c-a6425f4540b9};1;K;2;KERF;{d3226885-ddbd-4530-9dc9-a0a619e5ee52};230
{8da90dba-f5f6-4735-886b-672e81fa1091};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{8da90dba-f5f6-4735-886b-672e81fa1091};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{8da90dba-f5f6-4735-886b-672e81fa1091};2;P;1675;MAT-CM-698;{60145794-debb-4edb-a177-1635eac85151};232
{8da90dba-f5f6-4735-886b-672e81fa1091};3;K;3.2;KERF;{60145794-debb-4edb-a177-1635eac85151};232
{57baeca7-5d49-42eb-a20e-b238d757f966};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
