#VERSION 2
#CUTPLANS
{294714f1-2ffe-4102-a2f2-54c07ebd98f2};1;K;2;KERF;{d94c0390-9e61-41af-853c-6e7abe958573};230
{294714f1-2ffe-4102-a2f2-54c07ebd98f2};2;P;1569;MAT-CN-308;{86df0772-1100-42d8-8bbb-689df3ff5f1f};232
{294714f1-2ffe-4102-a2f2-54c07ebd98f2};3;K;2;KERF;{86df0772-1100-42d8-8bbb-689df3ff5f1f};232
{abfe970f-10c2-4cb2-897c-60fda57aa74f};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{abfe970f-10c2-4cb2-897c-60fda57aa74f};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{abfe970f-10c2-4cb2-897c-60fda57aa74f};2;P;3190;MAT-CN-311;{c1562a0e-db26-4359-9e97-2cf5541422e4};223
{abfe970f-10c2-4cb2-897c-60fda57aa74f};3;K;3.2;KERF;{c1562a0e-db26-4359-9e97-2cf5541422e4};223
{abfe970f-10c2-4cb2-897c-60fda57aa74f};4;P;1325;MAT-CN-312;{7c69bc3f-0203-4cae-8145-28df93d3fa01};230
{abfe970f-10c2-4cb2-897c-60fda57aa74f};5;K;3.2;KERF;{7c69bc3f-0203-4cae-8145-28df93d3fa01};230
{abfe970f-10c2-4cb2-897c-60fda57aa74f};6;P;1275;MAT-CN-313;{ae90a7d4-3ada-4a10-973c-ed3ac730febd};231
{abfe970f-10c2-4cb2-897c-60fda57aa74f};7;K;3.2;KERF;{ae90a7d4-3ada-4a10-973c-ed3ac730febd};231
{835a2dc3-58df-408e-a8c8-01e639961941};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{835a2dc3-58df-408e-a8c8-01e639961941};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{835a2dc3-58df-408e-a8c8-01e639961941};2;P;2462;MAT-CN-316;{192dd07b-abf4-4dd3-b5eb-d8b221871717};230
{835a2dc3-58df-408e-a8c8-01e639961941};3;K;3.2;KERF;{192dd07b-abf4-4dd3-b5eb-d8b221871717};230
{835a2dc3-58df-408e-a8c8-01e639961941};4;P;2462;MAT-CN-317;{1e5f9518-45a0-449c-ad90-ea1319ef4b5c};231
{835a2dc3-58df-408e-a8c8-01e639961941};5;K;3.2;KERF;{1e5f9518-45a0-449c-ad90-ea1319ef4b5c};231
{124c62db-a712-4654-af2f-9a7d21d336cc};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{124c62db-a712-4654-af2f-9a7d21d336cc};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{124c62db-a712-4654-af2f-9a7d21d336cc};2;P;2462;MAT-CN-319;{b9bba2a1-5aee-4fb4-be0a-23d62ccad257};232
{124c62db-a712-4654-af2f-9a7d21d336cc};3;K;3.2;KERF;{b9bba2a1-5aee-4fb4-be0a-23d62ccad257};232
{03cb3638-107d-4489-a850-69fd25f1bafb};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{03cb3638-107d-4489-a850-69fd25f1bafb};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{03cb3638-107d-4489-a850-69fd25f1bafb};2;P;3097;MAT-CN-322;{26fcff0c-10fb-4aeb-8f68-1017e322fb56};223
