#VERSION 2
#CUTPLANS
{d11b1457-fc30-47e9-92a6-f20f18f4414a};3;K;2;KERF;{18d4dae3-f981-4492-a58d-1777f60883e4};127
{18b8e033-a472-4488-8d16-96f0c8d9908e};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{18b8e033-a472-4488-8d16-96f0c8d9908e};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{18b8e033-a472-4488-8d16-96f0c8d9908e};2;P;3845;MAT-N-089;{b3a991f7-8aaa-43ee-b14d-b7c02fbb60dc};127
{18b8e033-a472-4488-8d16-96f0c8d9908e};3;K;3.2;KERF;{b3a991f7-8aaa-43ee-b14d-b7c02fbb60dc};127
{7601660c-61ed-4b1f-9fb1-29960596ee43};0;P;2464;MAT-N-091;{82df2a1d-694d-444a-89bd-ce29085300b4};133
{7601660c-61ed-4b1f-9fb1-29960596ee43};1;K;2;KERF;{82df2a1d-694d-444a-89bd-ce29085300b4};133
{7a6296e7-90fb-4917-bead-ef43d3de7dab};0;P;2497;MAT-N-093;{d6412931-9c6a-4017-92ef-66e89b20e26f};127
{7a6296e7-90fb-4917-bead-ef43d3de7dab};1;K;3.2;KERF;{d6412931-9c6a-4017-92ef-66e89b20e26f};127
{57c9e9ab-2610-4785-afe1-d21218aeabd6};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{57c9e9ab-2610-4785-afe1-d21218aeabd6};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{57c9e9ab-2610-4785-afe1-d21218aeabd6};2;P;3727;MAT-N-096;{c0e90ade-63ce-4e27-9a06-ff8a75ed1659};127
{57c9e9ab-2610-4785-afe1-d21218aeabd6};3;K;3.2;KERF;{c0e90ade-63ce-4e27-9a06-ff8a75ed1659};127
{024985f8-720c-4287-89e3-43342ffe9141};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{024985f8-720c-4287-89e3-43342ffe9141};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{024985f8-720c-4287-89e3-43342ffe9141};2;P;3727;MAT-N-098;{60569d1c-94c4-4815-aadd-b7f117483549};139
{024985f8-720c-4287-89e3-43342ffe9141};3;K;3.2;KERF;{60569d1c-94c4-4815-aadd-b7f117483549};139
{67b2e930-f48e-41a6-9078-7da8db6405bc};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{67b2e930-f48e-41a6-9078-7da8db6405bc};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{67b2e930-f48e-41a6-9078-7da8db6405bc};2;P;3675;MAT-N-101;{b3cfa0c6-5bf6-4591-a85d-14d25e457a58};139
{67b2e930-f48e-41a6-9078-7da8db6405bc};3;K;2;KERF;{b3cfa0c6-5bf6-4591-a85d-14d25e457a58};139
{887814c1-ecd2-4816-9c99-3ebe0d4d6ce5};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{887814c1-ecd2-4816-9c99-3ebe0d4d6ce5};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{887814c1-ecd2-4816-9c99-3ebe0d4d6ce5};2;P;3820;MAT-N-104;{a321b852-9f33-4195-83e7-1e975950cd46};127
{887814c1-ecd2-4816-9c99-3ebe0d4d6ce5};3;K;3.2;KERF;{a321b852-9f33-4195-83e7-1e975950cd46};127
{eca06882-d182-49ed-a159-0f3f7a53be6e};0;P;180;MAT-N-106;{e3ad3f3a-0589-48db-8894-9623a633b24a};133
{eca06882-d182-49ed-a159-0f3f7a53be6e};1;K;2;KERF;{e3ad3f3a-0589-48db-8894-9623a633b24a};133
{96dc94f6-9d63-4eb8-beca-eb4dbb05f7fc};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{96dc94f6-9d63-4eb8-beca-eb4dbb05f7fc};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{96dc94f6-9d63-4eb8-beca-eb4dbb05f7fc};2;P;3845;MAT-N-109;{8c6f0f95-3603-4a72-8219-a5aa3528bcf6};139
{96dc94f6-9d63-4eb8-beca-eb4dbb05f7fc};3;K;3.2;KERF;{8c6f0f95-3603-4a72-8219-a5aa3528bcf6};139
{6eecbb60-30fa-4064-886a-9cf91898750c};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{6eecbb60-30fa-4064-886a-9cf91898750c};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{6eecbb60-30fa-4064-886a-9cf91898750c};2;P;3739;MAT-N-112;{0cf07d1a-3fad-40db-9673-2dccffc55d38};139
{6eecbb60-30fa-4064-886a-9cf91898750c};3;K;2;KERF;{0cf07d1a-3fad-40db-9673-2dccffc55d38};139
{4ee30cb2-75f5-4cb1-be3f-b045f9bb91dc};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{4ee30cb2-75f5-4cb1-be3f-b045f9bb91dc};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{4ee30cb2-75f5-4cb1-be3f-b045f9bb91dc};2;P;2497;MAT-N-115;{13029cff-295f-40d5-ac92-09ea46e3d863};139
{4ee30cb2-75f5-4cb1-be3f-b045f9bb91dc};3;K;3.2;KERF;{13029cff-295f-40d5-ac92-09ea46e3d863};139
{b2682b19-b603-49d0-9df2-f0c97d921919};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{b2682b19-b603-49d0-9df2-f0c97d921919};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{b2682b19-b603-49d0-9df2-f0c97d921919};2;P;2445;MAT-N-118;{8f72255b-2f7f-41f3-bcd4-28fda06d86d4};133
{b2682b19-b603-49d0-9df2-f0c97d921919};3;K;3.2;KERF;{8f72255b-2f7f-41f3-bcd4-28fda06d86d4};133
{f6d75af3-c9c0-4bc3-89f6-269268471984};0;P;2448;MAT-N-120;{dc2f0fc1-1e99-499d-bfe6-03689d7d6425};133
{f6d75af3-c9c0-4bc3-89f6-269268471984};1;K;3.2;KERF;{dc2f0fc1-1e99-499d-bfe6-03689d7d6425};133
{48ff33ce-4f44-4e48-8a51-6e584bef0ed7};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{48ff33ce-4f44-4e48-8a51-6e584bef0ed7};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{48ff33ce-4f44-4e48-8a51-6e584bef0ed7};2;P;2125;MAT-N-123;{94e4daab-af0b-4438-aca8-d36f0bd30d48};148
{48ff33ce-4f44-4e48-8a51-6e584bef0ed7};3;K;2;KERF;{94e4daab-af0b-4438-aca8-d36f0bd30d48};148
{9662d621-f195-4599-8654-b09395de1199};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{9662d621-f195-4599-8654-b09395de1199};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{9662d621-f195-4599-8654-b09395de1199};2;P;3820;MAT-N-126;{bbd0eb21-1c62-40f1-a7fd-6be9be37488c};139
{9662d621-f195-4599-8654-b09395de1199};3;K;3.2;KERF;{bbd0eb21-1c62-40f1-a7fd-6be9be37488c};139
#PIECES
{92566fa7-907b-40c1-83a0-b9e91a9ad0e2};{9a9b536e-8668-4d04-8022-82d86f955c8c};2195;NP-BAR12-4000;133
{0a9b0cc5-e714-4ced-9828-e4e31cf55a44};{85341b76-bde9-451d-98be-8794b02bd290};2295;NP-TF-7016;148
{920e26b3-d0e9-4e06-bab0-2eb70ab263dc};{1aaabef2-8068-44ee-9475-09c6e85ef80d};3739;NP-ROLL70-6000;127
{920e26b3-d0e9-4e06-bab0-2eb70ab263dc};{4bc58257-17de-47ba-aff3-5a169799050e};2189;NP-ROLL70-6000;148
{4f23f80a-224f-4f7a-b666-21c0658693c8};{7e803ad0-7b4c-42b0-b9c6-e842e1c2625b};2515;NP-T-7016;133
{4f23f80a-224f-4f7a-b666-21c0658693c8};{b366ab84-d74a-42f2-9790-cb16932864b0};2270;NP-T-7016;148
{d8cc4d8a-5df1-449e-8b62-59ac6018a142};{4cf65033-9e6d-40c0-a596-ab81f806d27b};2515;NP-TF-7016;133
{30ce2a61-002c-4d1d-9d72-4bd07229e485};{addcbdc4-13e5-4555-8c8d-6099af46c566};2597;NP-CLB;148
{12ed8344-049d-4840-ac80-fa455e7d1a96};{d0db1106-ccb6-4307-acab-a4d0100361ae};2177;NP-CZ-7016;148
{17d5a283-8ae5-44af-b4e3-2fe453e4c467};{4e70d223-089a-405f-9f03-c7f354f4ad3b};2497;NP-CLT-7016;127
{17d5a283-8ae5-44af-b4e3-2fe453e4c467};{9e9d6d6d-225c-46e0-8554-ad53552f06eb};2597;NP-CLT-7016;148
{389cc838-bd51-422d-9421-d3accd5dc490};{9f8ca385-9e97-4778-8d7b-a98f55fc72ff};2497;NP-CLT-7016;139
{2dac33fd-e55b-422f-8515-ace9da9c0ff0};{74d0cc94-af62-4119-8928-b7754a6a9819};2597;NP-CL-7016;148
{1566516a-9b6f-4a4c-913c-8788f55a7e0f};{8bfaa7a7-7358-41cf-9f76-e4075dc7b883};2497;NP-CL-7016;127
{1566516a-9b6f-4a4c-913c-8788f55a7e0f};{eed6354a-2eba-4524-8eeb-ed5b907db1c0};2497;NP-CL-7016;139
{d11b1457-fc30-47e9-92a6-f20f18f4414a};{18d4dae3-f981-4492-a58d-1777f60883e4};3675;NP-BAR22-4000;127
{18b8e033-a472-4488-8d16-96f0c8d9908e};{b3a991f7-8aaa-43ee-b14d-b7c02fbb60dc};3845;NP-TF-7016;127
{7601660c-61ed-4b1f-9fb1-29960596ee43};{82df2a1d-694d-444a-89bd-ce29085300b4};2464;NP-ROLL70-6000;133
{7a6296e7-90fb-4917-bead-ef43d3de7dab};{d6412931-9c6a-4017-92ef-66e89b20e26f};2497;NP-CLB;127
{57c9e9ab-2610-4785-afe1-d21218aeabd6};{c0e90ade-63ce-4e27-9a06-ff8a75ed1659};3727;NP-CZ-7016;127
{024985f8-720c-4287-89e3-43342ffe9141};{60569d1c-94c4-4815-aadd-b7f117483549};3727;NP-CZ-7016;139
{67b2e930-f48e-41a6-9078-7da8db6405bc};{b3cfa0c6-5bf6-4591-a85d-14d25e457a58};3675;NP-BAR22-4000;139
{887814c1-ecd2-4816-9c99-3ebe0d4d6ce5};{a321b852-9f33-4195-83e7-1e975950cd46};3820;NP-T-7016;127
{eca06882-d182-49ed-a159-0f3f7a53be6e};{e3ad3f3a-0589-48db-8894-9623a633b24a};180;NP-BAR12-4000;133
{96dc94f6-9d63-4eb8-beca-eb4dbb05f7fc};{8c6f0f95-3603-4a72-8219-a5aa3528bcf6};3845;NP-TF-7016;139
{6eecbb60-30fa-4064-886a-9cf91898750c};{0cf07d1a-3fad-40db-9673-2dccffc55d38};3739;NP-ROLL70-6000;139
{4ee30cb2-75f5-4cb1-be3f-b045f9bb91dc};{13029cff-295f-40d5-ac92-09ea46e3d863};2497;NP-CLB;139
{b2682b19-b603-49d0-9df2-f0c97d921919};{8f72255b-2f7f-41f3-bcd4-28fda06d86d4};2445;NP-SZ-7016;133
{f6d75af3-c9c0-4bc3-89f6-269268471984};{dc2f0fc1-1e99-499d-bfe6-03689d7d6425};2448;NP-SL-7016;133
{48ff33ce-4f44-4e48-8a51-6e584bef0ed7};{94e4daab-af0b-4438-aca8-d36f0bd30d48};2125;NP-BAR22-4000;148
{9662d621-f195-4599-8654-b09395de1199};{bbd0eb21-1c62-40f1-a7fd-6be9be37488c};3820;NP-T-7016;139
#LEFTOVERS
{92566fa7-907b-40c1-83a0-b9e91a9ad0e2};selejt;0
{0a9b0cc5-e714-4ced-9828-e4e31cf55a44};selejt;101.8
{920e26b3-d0e9-4e06-bab0-2eb70ab263dc};selejt;66
{4f23f80a-224f-4f7a-b666-21c0658693c8};RST-B-596;1190.4
{d8cc4d8a-5df1-449e-8b62-59ac6018a142};selejt;431.8
{30ce2a61-002c-4d1d-9d72-4bd07229e485};selejt;274.8
{12ed8344-049d-4840-ac80-fa455e7d1a96};RST-B-597;894.8
{17d5a283-8ae5-44af-b4e3-2fe453e4c467};RST-B-598;1881.4
{389cc838-bd51-422d-9421-d3accd5dc490};RST-B-599;4481.6
{2dac33fd-e55b-422f-8515-ace9da9c0ff0};RST-B-600;1549.8
{1566516a-9b6f-4a4c-913c-8788f55a7e0f};RST-B-601;1981.4
{d11b1457-fc30-47e9-92a6-f20f18f4414a};selejt;321
{18b8e033-a472-4488-8d16-96f0c8d9908e};RST-B-602;2133.6
{7601660c-61ed-4b1f-9fb1-29960596ee43};selejt;550
{7a6296e7-90fb-4917-bead-ef43d3de7dab};RST-B-603;879.8
{57c9e9ab-2610-4785-afe1-d21218aeabd6};RST-B-604;3251.6
{024985f8-720c-4287-89e3-43342ffe9141};RST-B-605;3251.6
{67b2e930-f48e-41a6-9078-7da8db6405bc};selejt;321
{887814c1-ecd2-4816-9c99-3ebe0d4d6ce5};RST-B-606;2158.6
{eca06882-d182-49ed-a159-0f3f7a53be6e};RST-B-607;903
{96dc94f6-9d63-4eb8-beca-eb4dbb05f7fc};RST-B-608;2133.6
{6eecbb60-30fa-4064-886a-9cf91898750c};RST-B-609;1257
{4ee30cb2-75f5-4cb1-be3f-b045f9bb91dc};RST-B-610;3496.6
{b2682b19-b603-49d0-9df2-f0c97d921919};RST-B-611;4533.6
{f6d75af3-c9c0-4bc3-89f6-269268471984};RST-B-612;773.8
{48ff33ce-4f44-4e48-8a51-6e584bef0ed7};RST-B-613;871
{9662d621-f195-4599-8654-b09395de1199};RST-B-614;2158.6
