#VERSION 2
#CUTPLANS
{0e7c858a-aeb7-4cd4-9021-bbb331d195db};3;K;3.2;KERF;{df716ee1-c572-4b00-a6ad-3a75d5a15331};223
{0e7c858a-aeb7-4cd4-9021-bbb331d195db};4;P;1325;MAT-CN-547;{fc30028b-27e4-465e-b37c-493938b25430};230
{0e7c858a-aeb7-4cd4-9021-bbb331d195db};5;K;3.2;KERF;{fc30028b-27e4-465e-b37c-493938b25430};230
{0e7c858a-aeb7-4cd4-9021-bbb331d195db};6;P;1275;MAT-CN-548;{e678243a-182d-4cca-b30c-b9403160e7f6};231
{0e7c858a-aeb7-4cd4-9021-bbb331d195db};7;K;3.2;KERF;{e678243a-182d-4cca-b30c-b9403160e7f6};231
{8fd6aee5-6946-4feb-978b-743f5e8fd374};0;P;1232;MAT-CN-550;{ad071712-065f-43f0-b433-1035efc1434e};230
{8fd6aee5-6946-4feb-978b-743f5e8fd374};1;K;3.2;KERF;{ad071712-065f-43f0-b433-1035efc1434e};230
{8fd6aee5-6946-4feb-978b-743f5e8fd374};2;P;1557;MAT-CN-551;{9dfc697b-aa3f-4915-bb61-5cffcdb75133};232
{8fd6aee5-6946-4feb-978b-743f5e8fd374};3;K;3.2;KERF;{9dfc697b-aa3f-4915-bb61-5cffcdb75133};232
{937dab88-b59e-4887-8bd3-3259552987c2};0;P;1647;MAT-CN-553;{9a09a68d-a967-473a-8415-9d79a5639c5c};223
{937dab88-b59e-4887-8bd3-3259552987c2};1;K;3.2;KERF;{9a09a68d-a967-473a-8415-9d79a5639c5c};223
{1bf8c16d-5a41-421c-bcca-d1105e71397f};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{1bf8c16d-5a41-421c-bcca-d1105e71397f};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{1bf8c16d-5a41-421c-bcca-d1105e71397f};2;P;2462;MAT-CN-556;{d6d830af-66e1-43b8-a6b2-70476b3af021};230
{1bf8c16d-5a41-421c-bcca-d1105e71397f};3;K;3.2;KERF;{d6d830af-66e1-43b8-a6b2-70476b3af021};230
