#VERSION 2
#CUTPLANS
{dcd96333-5965-48bd-9510-be9aa7f70003};0;NOT_STARTED;Rod-D;NP-ROLL70-5000;CM1;2;REUSABLE;RSM-792;4;;RSM-792;2130
{b7a9e3f8-2471-469e-931b-d133b0c56c52};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{b7a9e3f8-2471-469e-931b-d133b0c56c52};2;P;2340;MAT-V-104;{5cc635a1-1896-4406-8e34-bb764b613c38};331
{b7a9e3f8-2471-469e-931b-d133b0c56c52};3;K;3.2;KERF;{5cc635a1-1896-4406-8e34-bb764b613c38};331
{b7a9e3f8-2471-469e-931b-d133b0c56c52};4;P;3100;MAT-V-105;{f4603bbe-954d-4cb1-81ea-af6072376e0b};333
{b7a9e3f8-2471-469e-931b-d133b0c56c52};5;K;3.2;KERF;{f4603bbe-954d-4cb1-81ea-af6072376e0b};333
{68a793ad-1d8b-4881-af6e-8b242f0fe550};0;P;2157;MAT-V-107;{6bcf52af-0904-4fe7-a321-3a0174b481d8};332 1/2
{68a793ad-1d8b-4881-af6e-8b242f0fe550};1;K;3.2;KERF;{6bcf52af-0904-4fe7-a321-3a0174b481d8};332 1/2
{adf95530-5c96-4dff-ae2f-732f1cb1841d};0;P;2260;MAT-V-109;{f6ee93da-d95d-4b1b-a056-455ca2be8644};331
{adf95530-5c96-4dff-ae2f-732f1cb1841d};1;K;2;KERF;{f6ee93da-d95d-4b1b-a056-455ca2be8644};331
{b1095939-2f59-432b-8181-f63f360bdf0c};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{b1095939-2f59-432b-8181-f63f360bdf0c};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{b1095939-2f59-432b-8181-f63f360bdf0c};2;P;1857;MAT-V-112;{4e9e3b21-7cdf-427e-b667-cce0635f66a5};330
{b1095939-2f59-432b-8181-f63f360bdf0c};3;K;3.2;KERF;{4e9e3b21-7cdf-427e-b667-cce0635f66a5};330
{b1095939-2f59-432b-8181-f63f360bdf0c};4;P;2247;MAT-V-113;{6e226c62-b7bc-4c65-97d0-93ae2d25b8ad};331
