#VERSION 2
#CUTPLANS
{232336e4-972c-4ecd-af10-e085245f0734};3;K;3.2;KERF;{c78b92ed-8f68-466c-9417-64be22b628b0};223
{232336e4-972c-4ecd-af10-e085245f0734};4;P;1325;MAT-CN-997;{84574e08-06d2-45d2-bb5d-5171ce1fdf68};230
{232336e4-972c-4ecd-af10-e085245f0734};5;K;3.2;KERF;{84574e08-06d2-45d2-bb5d-5171ce1fdf68};230
{232336e4-972c-4ecd-af10-e085245f0734};6;P;1275;MAT-CN-998;{9b2da4ee-2960-4b30-80bd-299c2be5a500};231
{232336e4-972c-4ecd-af10-e085245f0734};7;K;3.2;KERF;{9b2da4ee-2960-4b30-80bd-299c2be5a500};231
{b1cb95d7-2974-4f52-ae30-ca07fbc62069};0;P;1244;MAT-CP-000;{e7ab8bd9-bd03-4637-be43-1c162781eec4};230
{b1cb95d7-2974-4f52-ae30-ca07fbc62069};1;K;2;KERF;{e7ab8bd9-bd03-4637-be43-1c162781eec4};230
{b1cb95d7-2974-4f52-ae30-ca07fbc62069};2;P;1569;MAT-CP-001;{5358825f-ee71-434d-af05-b0b17ac4499d};232
{b1cb95d7-2974-4f52-ae30-ca07fbc62069};3;K;2;KERF;{5358825f-ee71-434d-af05-b0b17ac4499d};232
{9a9ab272-62e0-48a1-b888-871d3343a7da};0;P;1647;MAT-CP-003;{d55173a0-7e00-4e47-80ad-3fce7eaa6ca6};223
{9a9ab272-62e0-48a1-b888-871d3343a7da};1;K;3.2;KERF;{d55173a0-7e00-4e47-80ad-3fce7eaa6ca6};223
{6c5b009c-1d6f-48da-9459-003fd3df2271};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{6c5b009c-1d6f-48da-9459-003fd3df2271};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{6c5b009c-1d6f-48da-9459-003fd3df2271};2;P;2462;MAT-CP-006;{06b8fb9f-c6ac-45cf-877c-03ea7b479e6e};230
{6c5b009c-1d6f-48da-9459-003fd3df2271};3;K;3.2;KERF;{06b8fb9f-c6ac-45cf-877c-03ea7b479e6e};230
{6c5b009c-1d6f-48da-9459-003fd3df2271};4;P;2462;MAT-CP-007;{f26fb98f-eaba-4754-8bd0-f6735640d491};231
{6c5b009c-1d6f-48da-9459-003fd3df2271};5;K;3.2;KERF;{f26fb98f-eaba-4754-8bd0-f6735640d491};231
{9148b427-cd08-4347-a1e8-e069d2938111};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{9148b427-cd08-4347-a1e8-e069d2938111};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{9148b427-cd08-4347-a1e8-e069d2938111};2;P;2462;MAT-CP-009;{b2283a82-5a80-4727-ba53-b7381d4f78e3};232
