#VERSION 2
#CUTPLANS
{820f54ea-612f-4964-97de-af6b4ea6401a};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{820f54ea-612f-4964-97de-af6b4ea6401a};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{820f54ea-612f-4964-97de-af6b4ea6401a};2;P;2181;MAT-Q-722;{5ce37a14-4867-4d72-b7f3-c62f532ccbad};236
{820f54ea-612f-4964-97de-af6b4ea6401a};3;K;2;KERF;{5ce37a14-4867-4d72-b7f3-c62f532ccbad};236
{820f54ea-612f-4964-97de-af6b4ea6401a};4;P;2591;MAT-Q-723;{1cf3f85f-85f2-4292-93b6-110b74d054ef};237
{820f54ea-612f-4964-97de-af6b4ea6401a};5;K;2;KERF;{1cf3f85f-85f2-4292-93b6-110b74d054ef};237
{951ad68d-70dc-4c1a-8a12-1937ef3f0d7c};0;P;1835;MAT-Q-725;{393a2848-4b12-4235-b8a3-821ee267b913};245
{951ad68d-70dc-4c1a-8a12-1937ef3f0d7c};1;K;2;KERF;{393a2848-4b12-4235-b8a3-821ee267b913};245
{9ebcb61f-2e4c-414e-a525-78ce60d9c394};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{9ebcb61f-2e4c-414e-a525-78ce60d9c394};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{9ebcb61f-2e4c-414e-a525-78ce60d9c394};2;P;2225;MAT-Q-728;{803ec0ec-fb98-47cd-aabc-2320e7610d86};236
{9ebcb61f-2e4c-414e-a525-78ce60d9c394};3;K;3.2;KERF;{803ec0ec-fb98-47cd-aabc-2320e7610d86};236
{9ebcb61f-2e4c-414e-a525-78ce60d9c394};4;P;1925;MAT-Q-729;{95deb811-7db3-46a2-8c2c-4c8c233cb20c};241
{9ebcb61f-2e4c-414e-a525-78ce60d9c394};5;K;3.2;KERF;{95deb811-7db3-46a2-8c2c-4c8c233cb20c};241
{8e83f1dc-e49b-4c2d-8901-d3fb72e1ff47};0;P;1913;MAT-Q-731;{6411094e-4b75-4e1b-9442-10246fbd4a7c};244
{8e83f1dc-e49b-4c2d-8901-d3fb72e1ff47};1;K;3.2;KERF;{6411094e-4b75-4e1b-9442-10246fbd4a7c};244
{4df5ec69-313c-4e83-823d-01c92f73b0da};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{4df5ec69-313c-4e83-823d-01c92f73b0da};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{4df5ec69-313c-4e83-823d-01c92f73b0da};2;P;2520;MAT-Q-734;{ca4a881a-0b29-4566-b47a-0d5ce2d8385f};237
{4df5ec69-313c-4e83-823d-01c92f73b0da};3;K;2;KERF;{ca4a881a-0b29-4566-b47a-0d5ce2d8385f};237
{360318d6-dde2-45a9-92ec-5f268547808c};0;P;1888;MAT-Q-736;{7d3939eb-5ffe-4b29-a333-e448ac66db41};244
{360318d6-dde2-45a9-92ec-5f268547808c};1;K;3.2;KERF;{7d3939eb-5ffe-4b29-a333-e448ac66db41};244
{5e259ffe-7004-430f-a745-455e1cea325f};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{5e259ffe-7004-430f-a745-455e1cea325f};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{5e259ffe-7004-430f-a745-455e1cea325f};2;P;2225;MAT-Q-739;{f7b49b37-de66-4cfb-ac85-15b4514348c4};236
{5e259ffe-7004-430f-a745-455e1cea325f};3;K;3.2;KERF;{f7b49b37-de66-4cfb-ac85-15b4514348c4};236
{5e259ffe-7004-430f-a745-455e1cea325f};4;P;1950;MAT-Q-740;{fb07709a-2bc6-4755-a7b2-eb2e3a5daff8};241
{5e259ffe-7004-430f-a745-455e1cea325f};5;K;3.2;KERF;{fb07709a-2bc6-4755-a7b2-eb2e3a5daff8};241
{97a33dd6-5a90-40b1-8fb1-9d79577a136d};0;P;1795;MAT-Q-742;{1d29d0fb-8cd0-47fc-a4de-0c05e8981531};244
{97a33dd6-5a90-40b1-8fb1-9d79577a136d};1;K;3.2;KERF;{1d29d0fb-8cd0-47fc-a4de-0c05e8981531};244
