#VERSION 2
#CUTPLANS
{30841118-f210-480b-bf51-e283d0f7e14e};5;K;2;KERF;{a8a1baf3-ef9c-427d-8ef1-23ef34b4367a};232
{8524c5af-8824-47b6-8ae2-8edef051260d};0;P;1647;MAT-CN-748;{2f94174f-1ff2-45a1-b92f-6d88c34273ac};223
{8524c5af-8824-47b6-8ae2-8edef051260d};1;K;3.2;KERF;{2f94174f-1ff2-45a1-b92f-6d88c34273ac};223
{1ab1091f-d9b9-4f75-9b20-942ce9b9a31a};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{1ab1091f-d9b9-4f75-9b20-942ce9b9a31a};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{1ab1091f-d9b9-4f75-9b20-942ce9b9a31a};2;P;3215;MAT-CN-751;{46338028-fddd-43a9-a2c0-4dea3cfc49b8};223
{1ab1091f-d9b9-4f75-9b20-942ce9b9a31a};3;K;3.2;KERF;{46338028-fddd-43a9-a2c0-4dea3cfc49b8};223
{1ab1091f-d9b9-4f75-9b20-942ce9b9a31a};4;P;1350;MAT-CN-752;{1dd086fa-32ae-48d3-b1a6-fdf0c58e1aca};230
{1ab1091f-d9b9-4f75-9b20-942ce9b9a31a};5;K;3.2;KERF;{1dd086fa-32ae-48d3-b1a6-fdf0c58e1aca};230
{1ab1091f-d9b9-4f75-9b20-942ce9b9a31a};6;P;1300;MAT-CN-753;{4a47c090-c215-484e-8b7d-b99d3de60b07};231
{1ab1091f-d9b9-4f75-9b20-942ce9b9a31a};7;K;3.2;KERF;{4a47c090-c215-484e-8b7d-b99d3de60b07};231
{9f67e690-913a-4a34-84f5-8badd8cddcc2};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{9f67e690-913a-4a34-84f5-8badd8cddcc2};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{9f67e690-913a-4a34-84f5-8badd8cddcc2};2;P;2462;MAT-CN-756;{e13ef44b-49d8-4963-b21b-c344887ab4bf};230
{9f67e690-913a-4a34-84f5-8badd8cddcc2};3;K;3.2;KERF;{e13ef44b-49d8-4963-b21b-c344887ab4bf};230
{9f67e690-913a-4a34-84f5-8badd8cddcc2};4;P;2462;MAT-CN-757;{f2e19f9b-be8e-4138-928e-07abf2bc2b8e};231
{9f67e690-913a-4a34-84f5-8badd8cddcc2};5;K;3.2;KERF;{f2e19f9b-be8e-4138-928e-07abf2bc2b8e};231
{95d7d150-ed6a-4daf-8fb8-6d45d20c4895};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{95d7d150-ed6a-4daf-8fb8-6d45d20c4895};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{95d7d150-ed6a-4daf-8fb8-6d45d20c4895};2;P;2462;MAT-CN-759;{8ccc642c-d0e1-4180-84e9-6bb36a033702};232
{95d7d150-ed6a-4daf-8fb8-6d45d20c4895};3;K;3.2;KERF;{8ccc642c-d0e1-4180-84e9-6bb36a033702};232
{4024ef7b-52cc-4c9e-8dfb-f5ccc7cdf9f7};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{4024ef7b-52cc-4c9e-8dfb-f5ccc7cdf9f7};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{4024ef7b-52cc-4c9e-8dfb-f5ccc7cdf9f7};2;P;3097;MAT-CN-762;{e9d7cd22-34f3-4687-b337-0ed8c668a699};223
{4024ef7b-52cc-4c9e-8dfb-f5ccc7cdf9f7};3;K;3.2;KERF;{e9d7cd22-34f3-4687-b337-0ed8c668a699};223
{4024ef7b-52cc-4c9e-8dfb-f5ccc7cdf9f7};4;P;1182;MAT-CN-763;{c6656b51-e9c5-4535-9e76-eb890e7c7a2e};231
{4024ef7b-52cc-4c9e-8dfb-f5ccc7cdf9f7};5;K;3.2;KERF;{c6656b51-e9c5-4535-9e76-eb890e7c7a2e};231
{f5107add-dd69-4991-b149-13fbdae39439};0;P;1194;MAT-CN-765;{e2ba1cc7-6941-43d0-9fc0-30db2fdf783d};231
{f5107add-dd69-4991-b149-13fbdae39439};1;K;2;KERF;{e2ba1cc7-6941-43d0-9fc0-30db2fdf783d};231
{8df95930-850a-4466-ba65-5a371a1e0925};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{8df95930-850a-4466-ba65-5a371a1e0925};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{8df95930-850a-4466-ba65-5a371a1e0925};2;P;3109;MAT-CN-768;{071df305-44e5-428b-9161-ae752235a2a5};223
{8df95930-850a-4466-ba65-5a371a1e0925};3;K;2;KERF;{071df305-44e5-428b-9161-ae752235a2a5};223
{1d02c316-c2ac-4744-b47d-293f38ad51f0};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{1d02c316-c2ac-4744-b47d-293f38ad51f0};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{1d02c316-c2ac-4744-b47d-293f38ad51f0};2;P;1650;MAT-CN-771;{e9bcf2b9-a2bc-45ab-a487-7b5a549aaa00};232
{1d02c316-c2ac-4744-b47d-293f38ad51f0};3;K;3.2;KERF;{e9bcf2b9-a2bc-45ab-a487-7b5a549aaa00};232
{a76e0f28-4147-4903-a0dc-91bf7b57d18e};0;P;1180;MAT-CN-773;{dc6a9cfd-a3f1-4354-9d9d-b9986b6d98e7};230
{a76e0f28-4147-4903-a0dc-91bf7b57d18e};1;K;2;KERF;{dc6a9cfd-a3f1-4354-9d9d-b9986b6d98e7};230
{b4ee5596-271c-435f-8930-e9045c1bc4a2};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{b4ee5596-271c-435f-8930-e9045c1bc4a2};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{b4ee5596-271c-435f-8930-e9045c1bc4a2};2;P;1675;MAT-CN-776;{76f62b15-c9ea-44d0-bf86-1aed83316498};232
{b4ee5596-271c-435f-8930-e9045c1bc4a2};3;K;3.2;KERF;{76f62b15-c9ea-44d0-bf86-1aed83316498};232
#PIECES
{7b90166b-5436-48ec-8584-32012bfb8bab};{6ed232fc-ef0f-4c0d-bf06-ccef5a2bcb4a};3000;NP-BAR22-3000;223
{d04eb326-80b5-47bf-a6ab-178ad13671a4};{d1c71703-0b93-4ba1-b241-dae4ff9aaacf};1000;NP-BAR22-3000;231
{c873c49c-75cf-48d4-b48f-833138d82731};{9603a4a1-cf0d-43d4-89e4-8e228c6b01f6};1330;NP-BAR22-3000;232
{beb0c688-17dd-485f-aa1a-ce209dd58998};{ed97a064-9531-4dc6-afca-d3ff0578036e};1232;NP-CZ;230
{beb0c688-17dd-485f-aa1a-ce209dd58998};{4d9781ca-84ee-4e85-bdab-f8734ef96e27};1557;NP-CZ;232
{372e4721-6ab5-425d-afde-74948205182a};{886b181b-e2f1-41a0-aec2-bfa8c1d09f7d};1244;NP-ROLL70-5000;230
{372e4721-6ab5-425d-afde-74948205182a};{2171848b-6cf4-4bf6-868f-099290a91b05};1569;NP-ROLL70-5000;232
{4a23c960-475c-4816-a0b1-df01d206ab0c};{571eb14a-159c-4cb3-abbf-7ac40b9828a5};3190;NP-T;223
{4a23c960-475c-4816-a0b1-df01d206ab0c};{828b7c25-472c-49aa-b943-622ab3cb4e87};1325;NP-T;230
{4a23c960-475c-4816-a0b1-df01d206ab0c};{4e91629f-249e-406a-9e14-9149fea51138};1275;NP-T;231
{30841118-f210-480b-bf51-e283d0f7e14e};{80a56e22-76fe-4c39-9ee5-97ccb5fec73c};45;NP-BAR22-3000;223
{30841118-f210-480b-bf51-e283d0f7e14e};{1675a0cc-ff6e-4261-9ae0-94004bb1cb92};100;NP-BAR22-3000;231
{30841118-f210-480b-bf51-e283d0f7e14e};{a8a1baf3-ef9c-427d-8ef1-23ef34b4367a};145;NP-BAR22-3000;232
{8524c5af-8824-47b6-8ae2-8edef051260d};{2f94174f-1ff2-45a1-b92f-6d88c34273ac};1647;NP-CL2+CLT2+CLB2;223
{1ab1091f-d9b9-4f75-9b20-942ce9b9a31a};{46338028-fddd-43a9-a2c0-4dea3cfc49b8};3215;NP-TF;223
{1ab1091f-d9b9-4f75-9b20-942ce9b9a31a};{1dd086fa-32ae-48d3-b1a6-fdf0c58e1aca};1350;NP-TF;230
{1ab1091f-d9b9-4f75-9b20-942ce9b9a31a};{4a47c090-c215-484e-8b7d-b99d3de60b07};1300;NP-TF;231
{9f67e690-913a-4a34-84f5-8badd8cddcc2};{e13ef44b-49d8-4963-b21b-c344887ab4bf};2462;NP-CL2+CLT2+CLB2;230
{9f67e690-913a-4a34-84f5-8badd8cddcc2};{f2e19f9b-be8e-4138-928e-07abf2bc2b8e};2462;NP-CL2+CLT2+CLB2;231
{95d7d150-ed6a-4daf-8fb8-6d45d20c4895};{8ccc642c-d0e1-4180-84e9-6bb36a033702};2462;NP-CL2+CLT2+CLB2;232
{4024ef7b-52cc-4c9e-8dfb-f5ccc7cdf9f7};{e9d7cd22-34f3-4687-b337-0ed8c668a699};3097;NP-CZ;223
{4024ef7b-52cc-4c9e-8dfb-f5ccc7cdf9f7};{c6656b51-e9c5-4535-9e76-eb890e7c7a2e};1182;NP-CZ;231
{f5107add-dd69-4991-b149-13fbdae39439};{e2ba1cc7-6941-43d0-9fc0-30db2fdf783d};1194;NP-ROLL70-5000;231
{8df95930-850a-4466-ba65-5a371a1e0925};{071df305-44e5-428b-9161-ae752235a2a5};3109;NP-ROLL70-5000;223
{1d02c316-c2ac-4744-b47d-293f38ad51f0};{e9bcf2b9-a2bc-45ab-a487-7b5a549aaa00};1650;NP-T;232
{a76e0f28-4147-4903-a0dc-91bf7b57d18e};{dc6a9cfd-a3f1-4354-9d9d-b9986b6d98e7};1180;NP-BAR22-3000;230
{b4ee5596-271c-435f-8930-e9045c1bc4a2};{76f62b15-c9ea-44d0-bf86-1aed83316498};1675;NP-TF;232
#LEFTOVERS
{7b90166b-5436-48ec-8584-32012bfb8bab};selejt;0
{d04eb326-80b5-47bf-a6ab-178ad13671a4};selejt;0
{c873c49c-75cf-48d4-b48f-833138d82731};selejt;0
{beb0c688-17dd-485f-aa1a-ce209dd58998};RST-J-504;1104.6
{372e4721-6ab5-425d-afde-74948205182a};RST-J-505;833
{4a23c960-475c-4816-a0b1-df01d206ab0c};selejt;182.2
{30841118-f210-480b-bf51-e283d0f7e14e};RST-J-506;754
{8524c5af-8824-47b6-8ae2-8edef051260d};selejt;149.8
{1ab1091f-d9b9-4f75-9b20-942ce9b9a31a};selejt;107.2
{9f67e690-913a-4a34-84f5-8badd8cddcc2};RST-J-507;2051.4
{95d7d150-ed6a-4daf-8fb8-6d45d20c4895};RST-J-508;4516.6
{4024ef7b-52cc-4c9e-8dfb-f5ccc7cdf9f7};RST-J-509;2696.4
{f5107add-dd69-4991-b149-13fbdae39439};RST-J-510;824
{8df95930-850a-4466-ba65-5a371a1e0925};RST-J-511;1887
{1d02c316-c2ac-4744-b47d-293f38ad51f0};RST-J-512;4328.6
{a76e0f28-4147-4903-a0dc-91bf7b57d18e};selejt;3
{b4ee5596-271c-435f-8930-e9045c1bc4a2};RST-J-513;4303.6
