#VERSION 2
#CUTPLANS
{9791c531-fc12-414e-88c7-ab64521e2085};0;NOT_STARTED;Rod-A;SR-T;CM2;3.2;REUSABLE;RSM-871;1;;RSM-871;1875
{b3ed2b99-2b3c-44df-8398-e6ac87c257fd};1;NOT_STARTED;Rod-B;SR-Z+P;CM2;3.2;STOCK;MAT-CR-579;1;;MAT-CR-579;6000
{d6e3d9bd-23d3-427c-be00-abe219a68a51};2;NOT_STARTED;Rod-C;TE-H-32;CM2;3.2;STOCK;MAT-CR-587;1;;MAT-CR-587;6000
{5560534c-28eb-4fd9-9c2e-f7ae3cd5e253};3;NOT_STARTED;Rod-F;SR-T;CM2;3.2;REUSABLE;RSM-866;1;;RSM-866;1000
{a5b634d8-726d-4c38-b009-3ae4ddfb3394};4;NOT_STARTED;Rod-H;SR-T;CM2;3.2;REUSABLE;RSM-872;1;;RSM-872;1150
{b3f660b7-dc01-44f9-a9d5-77db98d0dd13};5;NOT_STARTED;Rod-J;SR-T;CM2;3.2;STOCK;MAT-CR-602;1;;MAT-CR-602;6000
{c90724ae-355a-4f21-b5da-8148c4eec60b};6;NOT_STARTED;Rod-K;SR-Z+P;CM2;3.2;STOCK;MAT-CR-609;1;;MAT-CR-609;6000
{90549c8a-e707-4dcf-8e3f-26fe3936d801};7;NOT_STARTED;Rod-M;TE-H-32;CM2;3.2;STOCK;MAT-CR-614;1;;MAT-CR-614;6000
{222bba0f-7256-4c72-9da1-ed36550322b9};8;NOT_STARTED;Rod-N;SR-T;CM2;3.2;STOCK;MAT-CR-619;1;;MAT-CR-619;6000
{33a0a916-5ebe-45be-ac8e-66536e68551d};9;NOT_STARTED;Rod-P;SR-Z+P;CM2;3.2;STOCK;MAT-CR-623;1;;MAT-CR-623;6000
{484fafc2-6c34-4686-af10-7fa26f7f4336};10;NOT_STARTED;Rod-Q;TE-H-32;CM2;3.2;STOCK;MAT-CR-626;1;;MAT-CR-626;6000
#SEGMENTS
{5560534c-28eb-4fd9-9c2e-f7ae3cd5e253};0;P;864;MAT-CR-597;{9bae88c1-da0c-46f0-94ee-e95e4b0294ea};632
{5560534c-28eb-4fd9-9c2e-f7ae3cd5e253};1;K;3.2;KERF;{9bae88c1-da0c-46f0-94ee-e95e4b0294ea};632
{a5b634d8-726d-4c38-b009-3ae4ddfb3394};0;P;974;MAT-CR-600;{34243f52-7be3-4678-80a8-ba9ae99366b2};636
{a5b634d8-726d-4c38-b009-3ae4ddfb3394};1;K;3.2;KERF;{34243f52-7be3-4678-80a8-ba9ae99366b2};636
{b3f660b7-dc01-44f9-a9d5-77db98d0dd13};0;T;20;TECH;{00000000-0000-0000-0000-000000000000};
{b3f660b7-dc01-44f9-a9d5-77db98d0dd13};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{b3f660b7-dc01-44f9-a9d5-77db98d0dd13};2;P;894;MAT-CR-603;{5322b6cc-f0b3-4b00-96f4-e249e2057449};630 1/2
{b3f660b7-dc01-44f9-a9d5-77db98d0dd13};3;K;3.2;KERF;{5322b6cc-f0b3-4b00-96f4-e249e2057449};630 1/2
{b3f660b7-dc01-44f9-a9d5-77db98d0dd13};4;P;894;MAT-CR-604;{d8cf861d-51d7-4100-ba2b-73d8f9c8cd67};630 2/2
{b3f660b7-dc01-44f9-a9d5-77db98d0dd13};5;K;3.2;KERF;{d8cf861d-51d7-4100-ba2b-73d8f9c8cd67};630 2/2
{b3f660b7-dc01-44f9-a9d5-77db98d0dd13};6;P;1274;MAT-CR-605;{18456805-66e5-4fa4-b79f-4811f08c088e};635
{b3f660b7-dc01-44f9-a9d5-77db98d0dd13};7;K;3.2;KERF;{18456805-66e5-4fa4-b79f-4811f08c088e};635
{b3f660b7-dc01-44f9-a9d5-77db98d0dd13};8;P;974;MAT-CR-606;{11f44604-033b-4327-996a-539fb9043214};638
{b3f660b7-dc01-44f9-a9d5-77db98d0dd13};9;K;3.2;KERF;{11f44604-033b-4327-996a-539fb9043214};638
{b3f660b7-dc01-44f9-a9d5-77db98d0dd13};10;P;1574;MAT-CR-607;{f3c929b5-babd-4996-8eb3-c9fcbce3e261};639
{b3f660b7-dc01-44f9-a9d5-77db98d0dd13};11;K;3.2;KERF;{f3c929b5-babd-4996-8eb3-c9fcbce3e261};639
{c90724ae-355a-4f21-b5da-8148c4eec60b};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{c90724ae-355a-4f21-b5da-8148c4eec60b};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{c90724ae-355a-4f21-b5da-8148c4eec60b};2;P;2330;MAT-CR-610;{65531b4a-ea55-476c-9c5b-2beae0249db4};631
{c90724ae-355a-4f21-b5da-8148c4eec60b};3;K;3.2;KERF;{65531b4a-ea55-476c-9c5b-2beae0249db4};631
{c90724ae-355a-4f21-b5da-8148c4eec60b};4;P;1560;MAT-CR-611;{8c71125f-88b3-4866-aa28-afc9d4e4b43a};639
{c90724ae-355a-4f21-b5da-8148c4eec60b};5;K;3.2;KERF;{8c71125f-88b3-4866-aa28-afc9d4e4b43a};639
