#VERSION 2
#CUTPLANS
{7a37ae2d-8079-4b32-a1f0-b4d442d497b6};5;K;3.2;KERF;{9aa82bf9-0051-409c-871d-62d292218974};230
{7a37ae2d-8079-4b32-a1f0-b4d442d497b6};6;P;1275;MAT-CP-197;{7373900e-581d-4a12-8931-57c713cffcda};231
{7a37ae2d-8079-4b32-a1f0-b4d442d497b6};7;K;3.2;KERF;{7373900e-581d-4a12-8931-57c713cffcda};231
{e569b81b-d940-43c6-967d-8ae4524871db};0;P;1232;MAT-CP-199;{308e2765-f9fb-4e3b-938b-e73b33bad6fa};230
{e569b81b-d940-43c6-967d-8ae4524871db};1;K;3.2;KERF;{308e2765-f9fb-4e3b-938b-e73b33bad6fa};230
{e569b81b-d940-43c6-967d-8ae4524871db};2;P;1557;MAT-CP-200;{964c3100-80ae-4f1f-9169-55e16458574a};232
{e569b81b-d940-43c6-967d-8ae4524871db};3;K;3.2;KERF;{964c3100-80ae-4f1f-9169-55e16458574a};232
{6cadca91-b541-481f-85b0-e9c79404cd3d};0;P;1244;MAT-CP-202;{38a58e81-f7c9-4160-a07f-8eee5327c62d};230
{6cadca91-b541-481f-85b0-e9c79404cd3d};1;K;2;KERF;{38a58e81-f7c9-4160-a07f-8eee5327c62d};230
{6cadca91-b541-481f-85b0-e9c79404cd3d};2;P;1569;MAT-CP-203;{7735a704-593e-46f9-a4be-f53a661e2e1e};232
{6cadca91-b541-481f-85b0-e9c79404cd3d};3;K;2;KERF;{7735a704-593e-46f9-a4be-f53a661e2e1e};232
{230638e9-cee3-4599-90fd-b5c83e78269f};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{230638e9-cee3-4599-90fd-b5c83e78269f};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{230638e9-cee3-4599-90fd-b5c83e78269f};2;P;2462;MAT-CP-206;{e31d0eb9-20d5-4b59-878d-cc183edcaf21};230
{230638e9-cee3-4599-90fd-b5c83e78269f};3;K;3.2;KERF;{e31d0eb9-20d5-4b59-878d-cc183edcaf21};230
{230638e9-cee3-4599-90fd-b5c83e78269f};4;P;2462;MAT-CP-207;{e676608c-b103-4e40-9d3e-090b668d6541};231
{230638e9-cee3-4599-90fd-b5c83e78269f};5;K;3.2;KERF;{e676608c-b103-4e40-9d3e-090b668d6541};231
{dad10c5a-d8f2-4d58-9b17-0e1c728a8899};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{dad10c5a-d8f2-4d58-9b17-0e1c728a8899};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{dad10c5a-d8f2-4d58-9b17-0e1c728a8899};2;P;2462;MAT-CP-209;{a4fa1387-61df-48ee-9a89-6cb85f7ce1fd};232
{dad10c5a-d8f2-4d58-9b17-0e1c728a8899};3;K;3.2;KERF;{a4fa1387-61df-48ee-9a89-6cb85f7ce1fd};232
{d8f010ea-575b-44cf-954d-9ac6c8624bfd};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{d8f010ea-575b-44cf-954d-9ac6c8624bfd};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{d8f010ea-575b-44cf-954d-9ac6c8624bfd};2;P;3097;MAT-CP-212;{520280fd-8085-445b-ac00-b7ba28186cef};223
{d8f010ea-575b-44cf-954d-9ac6c8624bfd};3;K;3.2;KERF;{520280fd-8085-445b-ac00-b7ba28186cef};223
{d8f010ea-575b-44cf-954d-9ac6c8624bfd};4;P;1182;MAT-CP-213;{172759e2-c1e2-44f8-927d-555de331b42c};231
{d8f010ea-575b-44cf-954d-9ac6c8624bfd};5;K;3.2;KERF;{172759e2-c1e2-44f8-927d-555de331b42c};231
{bdd5aa38-e513-4245-a2da-825d8ba8fed8};0;P;1194;MAT-CP-215;{baf46cf2-8aa9-4382-bbfb-02c1db8864b8};231
{bdd5aa38-e513-4245-a2da-825d8ba8fed8};1;K;2;KERF;{baf46cf2-8aa9-4382-bbfb-02c1db8864b8};231
{a9139c20-2b8e-4f09-aabe-8846ece146f2};0;P;1180;MAT-CP-217;{954b6f7e-038c-4e22-b568-c4f161655d65};230
{a9139c20-2b8e-4f09-aabe-8846ece146f2};1;K;2;KERF;{954b6f7e-038c-4e22-b568-c4f161655d65};230
{ca2c0470-8466-49a0-96e5-67ccec426ce8};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{ca2c0470-8466-49a0-96e5-67ccec426ce8};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{ca2c0470-8466-49a0-96e5-67ccec426ce8};2;P;1675;MAT-CP-220;{c0074976-4ac6-4ece-98a8-59ef0e24ba0b};232
{ca2c0470-8466-49a0-96e5-67ccec426ce8};3;K;3.2;KERF;{c0074976-4ac6-4ece-98a8-59ef0e24ba0b};232
{f7a1a60e-d05c-4c80-8de6-52ffebf417b0};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{f7a1a60e-d05c-4c80-8de6-52ffebf417b0};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{f7a1a60e-d05c-4c80-8de6-52ffebf417b0};2;P;1650;MAT-CP-223;{4751aede-c79a-4760-aa03-777ea275eec7};232
{f7a1a60e-d05c-4c80-8de6-52ffebf417b0};3;K;3.2;KERF;{4751aede-c79a-4760-aa03-777ea275eec7};232
{ce1f9ec6-4028-401a-89d8-ba39cb99ed52};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{ce1f9ec6-4028-401a-89d8-ba39cb99ed52};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{ce1f9ec6-4028-401a-89d8-ba39cb99ed52};2;P;3109;MAT-CP-226;{d371cb9a-48b7-4c3e-8da7-6b24c3e103d1};223
{ce1f9ec6-4028-401a-89d8-ba39cb99ed52};3;K;2;KERF;{d371cb9a-48b7-4c3e-8da7-6b24c3e103d1};223
#PIECES
{f3d9e70a-fb13-48d6-b872-5e510154147c};{695214bd-1d85-4893-a6ca-94ffd6f2d29e};3000;NP-BAR22-3000;223
{8b551b71-c329-4a04-9699-0dbc406d019e};{30552bef-3271-425e-8a79-2df6bc8db005};1000;NP-BAR22-3000;231
{c80b775e-5e33-4b8f-88c3-664b2e7aeead};{2f18ef73-1bfc-4000-ba95-07f5b91ee57c};1330;NP-BAR22-3000;232
{91b1f248-db79-44c3-930a-85d97c6837cb};{bc503972-638c-43c8-af5b-7f4c0a33643b};1647;NP-CL2+CLT2+CLB2;223
{4bc94806-ded8-475e-9793-4c5d7738dccd};{3804dc1c-73ec-46c6-a36d-bc0da27ed11d};45;NP-BAR22-3000;223
{4bc94806-ded8-475e-9793-4c5d7738dccd};{1488ea7c-64cb-4191-8077-d0bbfa000fbb};100;NP-BAR22-3000;231
{4bc94806-ded8-475e-9793-4c5d7738dccd};{a791cd95-f7a4-4054-afeb-c40718e40b73};145;NP-BAR22-3000;232
{89ad1d31-0160-4899-b5a9-314132062024};{cab605e7-9f2f-4481-b769-036d93135d1c};3215;NP-TF;223
