#VERSION 2
#CUTPLANS
{162da5fa-e96f-474e-a8c7-4fa489d043b8};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{162da5fa-e96f-474e-a8c7-4fa489d043b8};2;P;2834;MAT-N-983;{eeabc09a-b281-4e23-814b-130f86244d8e};209
{162da5fa-e96f-474e-a8c7-4fa489d043b8};3;K;2;KERF;{eeabc09a-b281-4e23-814b-130f86244d8e};209
{233a4762-d9de-4be5-a743-0aec5b7c069d};0;P;2940;MAT-N-985;{036da9d8-aea3-4ca1-a1fe-03282ea86442};209
{233a4762-d9de-4be5-a743-0aec5b7c069d};1;K;3.2;KERF;{036da9d8-aea3-4ca1-a1fe-03282ea86442};209
{bc85a9a7-595d-4662-bfb3-14ab15c7d63e};0;P;1560;MAT-N-987;{1c3c26bb-27c1-4765-842c-6ad93d93b3fb};204
{bc85a9a7-595d-4662-bfb3-14ab15c7d63e};1;K;2;KERF;{1c3c26bb-27c1-4765-842c-6ad93d93b3fb};204
{294c5166-a79f-4e53-b6c3-36b0c7e54d56};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{294c5166-a79f-4e53-b6c3-36b0c7e54d56};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{294c5166-a79f-4e53-b6c3-36b0c7e54d56};2;P;2495;MAT-N-990;{90fb6487-4baa-4d5c-9901-fcd96dbfa2bb};192
{294c5166-a79f-4e53-b6c3-36b0c7e54d56};3;K;3.2;KERF;{90fb6487-4baa-4d5c-9901-fcd96dbfa2bb};192
{294c5166-a79f-4e53-b6c3-36b0c7e54d56};4;P;2915;MAT-N-991;{e23082ad-e1fe-4eda-9c2f-037d7674ece4};209
{294c5166-a79f-4e53-b6c3-36b0c7e54d56};5;K;3.2;KERF;{e23082ad-e1fe-4eda-9c2f-037d7674ece4};209
{08cb46d0-17e5-413d-af02-8d48d51ac59f};0;P;2822;MAT-N-993;{4c93a4df-c961-438e-b8cd-f0dcb947c8a2};209
{08cb46d0-17e5-413d-af02-8d48d51ac59f};1;K;3.2;KERF;{4c93a4df-c961-438e-b8cd-f0dcb947c8a2};209
{a303ad86-78e4-48b8-821f-3000329798d9};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{a303ad86-78e4-48b8-821f-3000329798d9};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{a303ad86-78e4-48b8-821f-3000329798d9};2;P;2770;MAT-N-996;{8250f93c-f788-4690-813c-4fcf37cfdb5d};209
{a303ad86-78e4-48b8-821f-3000329798d9};3;K;2;KERF;{8250f93c-f788-4690-813c-4fcf37cfdb5d};209
{d137a3d2-dcd2-4dea-8198-cd9a77efcfda};0;P;1605;MAT-N-998;{79321bc5-473b-4b2a-b67f-6b7949e8b50b};204
{d137a3d2-dcd2-4dea-8198-cd9a77efcfda};1;K;3.2;KERF;{79321bc5-473b-4b2a-b67f-6b7949e8b50b};204
{9da87a32-5f24-4634-9ed6-adb16c007eed};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{9da87a32-5f24-4634-9ed6-adb16c007eed};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{9da87a32-5f24-4634-9ed6-adb16c007eed};2;P;2867;MAT-P-001;{7b67d92b-ad53-45e6-aad2-424d612e3a71};209
{9da87a32-5f24-4634-9ed6-adb16c007eed};3;K;3.2;KERF;{7b67d92b-ad53-45e6-aad2-424d612e3a71};209
{d531f997-4a88-4069-a1f9-74e9ec14f88d};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{d531f997-4a88-4069-a1f9-74e9ec14f88d};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{d531f997-4a88-4069-a1f9-74e9ec14f88d};2;P;2443;MAT-P-004;{9c32c8c0-55cb-4966-b8c6-7e8619de8d27};192
{d531f997-4a88-4069-a1f9-74e9ec14f88d};3;K;2;KERF;{9c32c8c0-55cb-4966-b8c6-7e8619de8d27};192
{f1679a76-509d-46bc-9d05-ab4f6f91a62a};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{f1679a76-509d-46bc-9d05-ab4f6f91a62a};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{f1679a76-509d-46bc-9d05-ab4f6f91a62a};2;P;2495;MAT-P-007;{38945cef-b060-4d96-9951-9cfc5b8ffeaf};192
{f1679a76-509d-46bc-9d05-ab4f6f91a62a};3;K;3.2;KERF;{38945cef-b060-4d96-9951-9cfc5b8ffeaf};192
{4d52364c-6ae9-48c7-b67b-bc2c08fc2714};0;P;2460;MAT-P-009;{1bf6b28e-694f-424c-a01c-600013833d6a};192
{4d52364c-6ae9-48c7-b67b-bc2c08fc2714};1;K;3.2;KERF;{1bf6b28e-694f-424c-a01c-600013833d6a};192
{7104239d-965b-4262-bcc3-e2465e4fcb57};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{7104239d-965b-4262-bcc3-e2465e4fcb57};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{7104239d-965b-4262-bcc3-e2465e4fcb57};2;P;2867;MAT-P-012;{a4a85609-3ffa-4c46-b794-af2f73e9300a};209
{7104239d-965b-4262-bcc3-e2465e4fcb57};3;K;3.2;KERF;{a4a85609-3ffa-4c46-b794-af2f73e9300a};209
{80a49b34-e14f-4f5a-be09-db61f0fb27fc};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{80a49b34-e14f-4f5a-be09-db61f0fb27fc};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{80a49b34-e14f-4f5a-be09-db61f0fb27fc};2;P;2415;MAT-P-015;{70294bcb-edba-480b-be64-9b07a84d39ab};192
{80a49b34-e14f-4f5a-be09-db61f0fb27fc};3;K;2;KERF;{70294bcb-edba-480b-be64-9b07a84d39ab};192
{9d58a895-aafe-4278-ac9d-f899562fbf1c};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{9d58a895-aafe-4278-ac9d-f899562fbf1c};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{9d58a895-aafe-4278-ac9d-f899562fbf1c};2;P;2867;MAT-P-018;{1da71d5f-d4b6-45a9-a088-4f0aee7270ac};209
{9d58a895-aafe-4278-ac9d-f899562fbf1c};3;K;3.2;KERF;{1da71d5f-d4b6-45a9-a088-4f0aee7270ac};209
#PIECES
{facf46fc-aa28-4a71-bd8d-19fcdf57db4f};{8ee49c33-c1bf-4ef3-967f-7f84501db5c4};1305;NP-BAR12-4000;206
{89785965-5793-4017-9ccc-cb074dcde04b};{3f8ad74f-744b-469a-b51f-354ae45507c7};1588;NP-ROLL70-7000;204
{89785965-5793-4017-9ccc-cb074dcde04b};{2f9d3eda-dc3b-4032-84a5-11da03dd3052};1598;NP-ROLL70-7000;205
{e290cae4-1fb2-440e-885e-1e508411f4aa};{941c888a-3420-4d1c-a67f-1a7f5566d2a1};1570;NP-BAR12-4000;205
