#VERSION 2
#CUTPLANS
{b0b498b4-396d-44c4-a6b1-cbfb6c4d4fd8};3;K;3.2;KERF;{c72fc505-7fd8-4e8e-b5db-aeb6ad33c6ae};127
{b0b498b4-396d-44c4-a6b1-cbfb6c4d4fd8};4;P;2497;MAT-M-743;{e39cf12f-e85b-4634-a290-24980d0d4061};139
{b0b498b4-396d-44c4-a6b1-cbfb6c4d4fd8};5;K;3.2;KERF;{e39cf12f-e85b-4634-a290-24980d0d4061};139
{1a80f129-97b5-44d2-88ce-a9614a42e01d};0;P;2464;MAT-M-745;{ad64f784-4047-415d-86e1-2be0e0fdb9c3};133
{1a80f129-97b5-44d2-88ce-a9614a42e01d};1;K;2;KERF;{ad64f784-4047-415d-86e1-2be0e0fdb9c3};133
{0f2ce7ab-8876-4d92-9cda-d242a24378ac};0;P;2497;MAT-M-747;{cca5138d-a369-4ad3-afdd-68b783d06e31};127
{0f2ce7ab-8876-4d92-9cda-d242a24378ac};1;K;3.2;KERF;{cca5138d-a369-4ad3-afdd-68b783d06e31};127
{4665f971-4d9c-4261-b887-54903f85fa3b};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{4665f971-4d9c-4261-b887-54903f85fa3b};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{4665f971-4d9c-4261-b887-54903f85fa3b};2;P;3727;MAT-M-750;{47c5ae9a-279c-4933-ad13-f4fec911b5a3};127
{4665f971-4d9c-4261-b887-54903f85fa3b};3;K;3.2;KERF;{47c5ae9a-279c-4933-ad13-f4fec911b5a3};127
{4c4ccc84-c238-4dfb-bdba-2d2a6a06c480};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{4c4ccc84-c238-4dfb-bdba-2d2a6a06c480};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{4c4ccc84-c238-4dfb-bdba-2d2a6a06c480};2;P;3727;MAT-M-752;{506c707d-0f3d-4885-a2cc-a038b4aef2dc};139
{4c4ccc84-c238-4dfb-bdba-2d2a6a06c480};3;K;3.2;KERF;{506c707d-0f3d-4885-a2cc-a038b4aef2dc};139
{59c25a7f-d3a5-44b4-a71a-be0fe84f3fc1};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{59c25a7f-d3a5-44b4-a71a-be0fe84f3fc1};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{59c25a7f-d3a5-44b4-a71a-be0fe84f3fc1};2;P;3820;MAT-M-755;{6db55b2c-beaa-4635-95aa-750e321d5e0e};127
{59c25a7f-d3a5-44b4-a71a-be0fe84f3fc1};3;K;3.2;KERF;{6db55b2c-beaa-4635-95aa-750e321d5e0e};127
{bfabce8c-10a0-4412-9517-69b41c38c33a};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{bfabce8c-10a0-4412-9517-69b41c38c33a};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{bfabce8c-10a0-4412-9517-69b41c38c33a};2;P;3845;MAT-M-758;{4e651714-8e32-47ba-ae25-5554a553fc5f};127
{bfabce8c-10a0-4412-9517-69b41c38c33a};3;K;3.2;KERF;{4e651714-8e32-47ba-ae25-5554a553fc5f};127
{09c8d8aa-e2d7-4a52-9937-2462bbeb8ca2};0;P;675;MAT-M-760;{bfe24766-049a-4cb7-9307-b2db3b09413b};139
{09c8d8aa-e2d7-4a52-9937-2462bbeb8ca2};1;K;2;KERF;{bfe24766-049a-4cb7-9307-b2db3b09413b};139
{cce8d9f8-5e32-4f6f-80e7-75badaa926a5};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{cce8d9f8-5e32-4f6f-80e7-75badaa926a5};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{cce8d9f8-5e32-4f6f-80e7-75badaa926a5};2;P;3739;MAT-M-763;{0505a56c-a429-47aa-a904-542545ef4e15};139
{cce8d9f8-5e32-4f6f-80e7-75badaa926a5};3;K;2;KERF;{0505a56c-a429-47aa-a904-542545ef4e15};139
{dc577dd0-503f-481d-b817-3f81f72fd263};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{dc577dd0-503f-481d-b817-3f81f72fd263};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{dc577dd0-503f-481d-b817-3f81f72fd263};2;P;2497;MAT-M-766;{e0bfb7dc-5393-4c45-b65a-ea7cbdfbc886};139
{dc577dd0-503f-481d-b817-3f81f72fd263};3;K;3.2;KERF;{e0bfb7dc-5393-4c45-b65a-ea7cbdfbc886};139
{182a2cc8-5cc1-4306-aa81-3a3fb333522e};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{182a2cc8-5cc1-4306-aa81-3a3fb333522e};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{182a2cc8-5cc1-4306-aa81-3a3fb333522e};2;P;2445;MAT-M-769;{058c8b4c-10f0-4ea7-b3aa-0ef517ee7218};133
{182a2cc8-5cc1-4306-aa81-3a3fb333522e};3;K;3.2;KERF;{058c8b4c-10f0-4ea7-b3aa-0ef517ee7218};133
{db9fb201-1b2f-4714-9b20-6002cb32bc6f};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{db9fb201-1b2f-4714-9b20-6002cb32bc6f};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{db9fb201-1b2f-4714-9b20-6002cb32bc6f};2;P;3820;MAT-M-772;{6663c991-d7cf-4ea8-b7ca-b0da953ebd91};139
{db9fb201-1b2f-4714-9b20-6002cb32bc6f};3;K;3.2;KERF;{6663c991-d7cf-4ea8-b7ca-b0da953ebd91};139
{0dafb529-3214-48f8-91f5-e027892d6a50};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{0dafb529-3214-48f8-91f5-e027892d6a50};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{0dafb529-3214-48f8-91f5-e027892d6a50};2;P;3845;MAT-M-775;{53d8e2c9-796a-4283-a929-9088ef52c5c0};139
{0dafb529-3214-48f8-91f5-e027892d6a50};3;K;3.2;KERF;{53d8e2c9-796a-4283-a929-9088ef52c5c0};139
{0a448b5e-79b4-4936-a524-f3dc695fee0e};0;P;180;MAT-M-777;{b52c1d85-0498-47bd-b788-89f56f99cad6};133
{0a448b5e-79b4-4936-a524-f3dc695fee0e};1;K;2;KERF;{b52c1d85-0498-47bd-b788-89f56f99cad6};133
{326e3fc5-66d7-4c72-af5f-dcf39ffd01d5};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{326e3fc5-66d7-4c72-af5f-dcf39ffd01d5};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
