#VERSION 2
#CUTPLANS
{80aa5865-792d-4dd4-84d6-97c59c1a5162};0;P;1232;MAT-CP-047;{20255ded-2ef8-4011-b3e2-8cd8e76df815};230
{80aa5865-792d-4dd4-84d6-97c59c1a5162};1;K;3.2;KERF;{20255ded-2ef8-4011-b3e2-8cd8e76df815};230
{80aa5865-792d-4dd4-84d6-97c59c1a5162};2;P;1557;MAT-CP-048;{28180a9b-b60b-4fbe-b349-767389280d1b};232
{80aa5865-792d-4dd4-84d6-97c59c1a5162};3;K;3.2;KERF;{28180a9b-b60b-4fbe-b349-767389280d1b};232
{5edf2d1b-0efa-489e-b72b-bd26220f8d37};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{5edf2d1b-0efa-489e-b72b-bd26220f8d37};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{5edf2d1b-0efa-489e-b72b-bd26220f8d37};2;P;3190;MAT-CP-051;{b7983d59-55af-4b09-a8ef-eeb74197fe2d};223
{5edf2d1b-0efa-489e-b72b-bd26220f8d37};3;K;3.2;KERF;{b7983d59-55af-4b09-a8ef-eeb74197fe2d};223
{5edf2d1b-0efa-489e-b72b-bd26220f8d37};4;P;1325;MAT-CP-052;{8976174e-2b43-459a-9ce3-a74223b0ad9e};230
{5edf2d1b-0efa-489e-b72b-bd26220f8d37};5;K;3.2;KERF;{8976174e-2b43-459a-9ce3-a74223b0ad9e};230
{5edf2d1b-0efa-489e-b72b-bd26220f8d37};6;P;1275;MAT-CP-053;{e28aebe5-8ca3-4636-a931-037a3d62ec78};231
{5edf2d1b-0efa-489e-b72b-bd26220f8d37};7;K;3.2;KERF;{e28aebe5-8ca3-4636-a931-037a3d62ec78};231
{cc606edc-8217-461d-aa8d-515f7b59b131};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{cc606edc-8217-461d-aa8d-515f7b59b131};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{cc606edc-8217-461d-aa8d-515f7b59b131};2;P;2462;MAT-CP-056;{840e67c6-8961-428a-a76a-bb0f5c311130};230
{cc606edc-8217-461d-aa8d-515f7b59b131};3;K;3.2;KERF;{840e67c6-8961-428a-a76a-bb0f5c311130};230
{cc606edc-8217-461d-aa8d-515f7b59b131};4;P;2462;MAT-CP-057;{dc8dd891-299f-4dc3-ad14-a6221717f852};231
{cc606edc-8217-461d-aa8d-515f7b59b131};5;K;3.2;KERF;{dc8dd891-299f-4dc3-ad14-a6221717f852};231
{c814953d-839e-4d9f-8f90-a22b050b3bfc};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{c814953d-839e-4d9f-8f90-a22b050b3bfc};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{c814953d-839e-4d9f-8f90-a22b050b3bfc};2;P;2462;MAT-CP-059;{62c15b34-599b-4708-b2d0-0eb6db07d916};232
{c814953d-839e-4d9f-8f90-a22b050b3bfc};3;K;3.2;KERF;{62c15b34-599b-4708-b2d0-0eb6db07d916};232
{a74917e9-8ab6-4406-bede-373fcab177c3};0;P;1194;MAT-CP-061;{fc4dd1e9-5665-4f34-8704-d4760dd03a8c};231
{a74917e9-8ab6-4406-bede-373fcab177c3};1;K;2;KERF;{fc4dd1e9-5665-4f34-8704-d4760dd03a8c};231
{46aa412d-f2f0-4913-a520-7e6b1849857e};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{46aa412d-f2f0-4913-a520-7e6b1849857e};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{46aa412d-f2f0-4913-a520-7e6b1849857e};2;P;3097;MAT-CP-064;{a167cc19-d017-4be9-a888-b092487a74e0};223
{46aa412d-f2f0-4913-a520-7e6b1849857e};3;K;3.2;KERF;{a167cc19-d017-4be9-a888-b092487a74e0};223
{46aa412d-f2f0-4913-a520-7e6b1849857e};4;P;1182;MAT-CP-065;{15fc4ba3-48c9-465b-8c5d-931c4f9ca99a};231
{46aa412d-f2f0-4913-a520-7e6b1849857e};5;K;3.2;KERF;{15fc4ba3-48c9-465b-8c5d-931c4f9ca99a};231
{92d23250-cb9f-41d6-bb7b-d4e2d5196393};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{92d23250-cb9f-41d6-bb7b-d4e2d5196393};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{92d23250-cb9f-41d6-bb7b-d4e2d5196393};2;P;3109;MAT-CP-068;{288fabd9-c65a-47fd-99b1-58468aabe7f3};223
{92d23250-cb9f-41d6-bb7b-d4e2d5196393};3;K;2;KERF;{288fabd9-c65a-47fd-99b1-58468aabe7f3};223
{d2af076d-ce53-4c16-9aa5-7abef524e139};0;P;1180;MAT-CP-070;{ead53c16-8a46-4957-a879-a13348aa2c6f};230
{d2af076d-ce53-4c16-9aa5-7abef524e139};1;K;2;KERF;{ead53c16-8a46-4957-a879-a13348aa2c6f};230
{ee07ad91-0dd9-4dff-b920-9f8a211b9bc5};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{ee07ad91-0dd9-4dff-b920-9f8a211b9bc5};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{ee07ad91-0dd9-4dff-b920-9f8a211b9bc5};2;P;1675;MAT-CP-073;{38025d73-598c-45ef-a89d-2b6eca4d606f};232
{ee07ad91-0dd9-4dff-b920-9f8a211b9bc5};3;K;3.2;KERF;{38025d73-598c-45ef-a89d-2b6eca4d606f};232
{e49438e0-4b70-4b7e-a297-728ba1a6f389};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{e49438e0-4b70-4b7e-a297-728ba1a6f389};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{e49438e0-4b70-4b7e-a297-728ba1a6f389};2;P;1650;MAT-CP-076;{12d4d696-1e58-4a03-b33b-87c0ecd63cd8};232
{e49438e0-4b70-4b7e-a297-728ba1a6f389};3;K;3.2;KERF;{12d4d696-1e58-4a03-b33b-87c0ecd63cd8};232
#PIECES
{11d74f05-9cad-4f57-a38d-e78ec9794128};{33ba9064-0f1f-470a-ac13-7b75eb5d644b};3000;NP-BAR22-3000;223
{20b5ec79-be8b-4b3a-b2d3-52213b81f422};{e63a6c34-f909-4d60-9be6-ad3f7a3b0104};1000;NP-BAR22-3000;231
{56fa4211-3292-423b-a648-7807d6a2aec7};{1a8c013b-0dc1-407e-8c4c-c71d38a31dff};1330;NP-BAR22-3000;232
{d0913ce8-adbf-4dcd-aeb6-a5b71d928857};{ca0d9560-22ec-4eec-8764-ade263337c46};1647;NP-CL2+CLT2+CLB2;223
{2e1ae9fb-e68b-46c6-9a6e-999e32daf38e};{c14a90e3-2cbc-42d8-9fee-484bd59ad551};1244;NP-ROLL70-5000;230
{2e1ae9fb-e68b-46c6-9a6e-999e32daf38e};{15af56d1-9a96-4515-8026-2cb7603a6a2c};1569;NP-ROLL70-5000;232
{28586c74-599e-429a-a68a-f447939a5374};{5827c999-e8ab-4749-8ecc-0a98fc9a2807};45;NP-BAR22-3000;223
{28586c74-599e-429a-a68a-f447939a5374};{dca46476-9d04-4124-8c01-4cc9b3851905};100;NP-BAR22-3000;231
{28586c74-599e-429a-a68a-f447939a5374};{871ee2fc-5237-437c-9082-ea57ddfaca2e};145;NP-BAR22-3000;232
{abf5f732-3767-408e-8d9f-5c9e3aea34ac};{f9c8dfb1-7c20-4f6f-a941-d62a9aa6da1e};3215;NP-TF;223
{abf5f732-3767-408e-8d9f-5c9e3aea34ac};{6f094970-3ac8-4d89-9e9a-c8cb16886c0b};1350;NP-TF;230
{abf5f732-3767-408e-8d9f-5c9e3aea34ac};{195e21f0-e958-4224-8970-fdf0b16960c7};1300;NP-TF;231
{80aa5865-792d-4dd4-84d6-97c59c1a5162};{20255ded-2ef8-4011-b3e2-8cd8e76df815};1232;NP-CZ;230
{80aa5865-792d-4dd4-84d6-97c59c1a5162};{28180a9b-b60b-4fbe-b349-767389280d1b};1557;NP-CZ;232
{5edf2d1b-0efa-489e-b72b-bd26220f8d37};{b7983d59-55af-4b09-a8ef-eeb74197fe2d};3190;NP-T;223
{5edf2d1b-0efa-489e-b72b-bd26220f8d37};{8976174e-2b43-459a-9ce3-a74223b0ad9e};1325;NP-T;230
{5edf2d1b-0efa-489e-b72b-bd26220f8d37};{e28aebe5-8ca3-4636-a931-037a3d62ec78};1275;NP-T;231
{cc606edc-8217-461d-aa8d-515f7b59b131};{840e67c6-8961-428a-a76a-bb0f5c311130};2462;NP-CL2+CLT2+CLB2;230
{cc606edc-8217-461d-aa8d-515f7b59b131};{dc8dd891-299f-4dc3-ad14-a6221717f852};2462;NP-CL2+CLT2+CLB2;231
{c814953d-839e-4d9f-8f90-a22b050b3bfc};{62c15b34-599b-4708-b2d0-0eb6db07d916};2462;NP-CL2+CLT2+CLB2;232
