#VERSION 2
#CUTPLANS
{91ada9d3-3bd6-44c6-8dd2-ddc34edfd3e2};0;NOT_STARTED;Rod-A;SR-T;CM2;3.2;REUSABLE;RSM-871;1;;RSM-871;1875
{a1c14d79-ccda-49d3-94b2-8754efc54c5b};1;NOT_STARTED;Rod-B;SR-Z;CM2;3.2;REUSABLE;RST-C-258;1;;RST-C-258;2075
{cc3a7e6a-13e5-42a6-bde1-e0d3b3ac64ce};0;P;864;MAT-CR-407;{5036d6a7-4721-4da8-a5ae-c7386911744c};632
{cc3a7e6a-13e5-42a6-bde1-e0d3b3ac64ce};1;K;3.2;KERF;{5036d6a7-4721-4da8-a5ae-c7386911744c};632
{b648e294-f92d-4d2d-8298-14eef4bd33d4};0;P;974;MAT-CR-410;{6f6c59f4-2e4b-4dee-a59c-5a9a4f52d8e5};636
{b648e294-f92d-4d2d-8298-14eef4bd33d4};1;K;3.2;KERF;{6f6c59f4-2e4b-4dee-a59c-5a9a4f52d8e5};636
{d41c9b20-0b64-4f70-aaec-1dc947e6e06d};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{d41c9b20-0b64-4f70-aaec-1dc947e6e06d};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{d41c9b20-0b64-4f70-aaec-1dc947e6e06d};2;P;880;MAT-CR-413;{de29b41e-8a9a-40e0-9308-4aaaae679928};630 1/2
{d41c9b20-0b64-4f70-aaec-1dc947e6e06d};3;K;3.2;KERF;{de29b41e-8a9a-40e0-9308-4aaaae679928};630 1/2
{d41c9b20-0b64-4f70-aaec-1dc947e6e06d};4;P;880;MAT-CR-414;{ee7e165e-10ad-458e-aec1-6f4e839d7984};630 2/2
{d41c9b20-0b64-4f70-aaec-1dc947e6e06d};5;K;3.2;KERF;{ee7e165e-10ad-458e-aec1-6f4e839d7984};630 2/2
{d41c9b20-0b64-4f70-aaec-1dc947e6e06d};6;P;850;MAT-CR-415;{50f9ddee-eee0-48db-b3bb-23e2a9a0e973};632
{d41c9b20-0b64-4f70-aaec-1dc947e6e06d};7;K;3.2;KERF;{50f9ddee-eee0-48db-b3bb-23e2a9a0e973};632
{d41c9b20-0b64-4f70-aaec-1dc947e6e06d};8;P;1560;MAT-CR-416;{a3eb548a-d181-430a-95b6-10696a9fa573};639
{d41c9b20-0b64-4f70-aaec-1dc947e6e06d};9;K;3.2;KERF;{a3eb548a-d181-430a-95b6-10696a9fa573};639
