#VERSION 2
#CUTPLANS
{541906db-8640-436e-802c-d1bfb0465b70};0;NOT_STARTED;Rod-A;SR-T;CM2;3.2;REUSABLE;RSM-877;1;;RSM-877;4524
{7cfdd4f4-9545-45d3-b1a0-9d7ef410a1ca};1;NOT_STARTED;Rod-B;TE-H-32;CM2;3.2;REUSABLE;RSM-172;1;;RSM-172;3500
{00f7728b-84eb-4180-a277-e217f54a0181};2;NOT_STARTED;Rod-C;SR-Z+P;CM2;3.2;STOCK;MAT-CR-074;1;;MAT-CR-074;6000
{0f74d331-2515-433c-998a-56d6537ea0ff};1;K;3.2;KERF;{23423b3e-4ba5-4c00-b6f8-958f883e65de};632
{0f74d331-2515-433c-998a-56d6537ea0ff};2;P;1257;MAT-CR-083;{4b1bf9f2-f648-43d7-9ff5-e42700763b89};635
{0f74d331-2515-433c-998a-56d6537ea0ff};3;K;3.2;KERF;{4b1bf9f2-f648-43d7-9ff5-e42700763b89};635
{7a505f1f-96c1-4b9a-9222-827859f5912a};0;P;1594;MAT-CR-084;{92c552a8-ada6-4750-8466-f0b0159fd77d};640
{7a505f1f-96c1-4b9a-9222-827859f5912a};1;K;3.2;KERF;{92c552a8-ada6-4750-8466-f0b0159fd77d};640
{c50d4223-8853-48f7-9c75-36802ba96b6d};0;P;894;MAT-CR-090;{356e8165-524d-4e48-9c66-92d4f444e6af};630 1/2
{c50d4223-8853-48f7-9c75-36802ba96b6d};1;K;3.2;KERF;{356e8165-524d-4e48-9c66-92d4f444e6af};630 1/2
{35f6d4f3-c51f-4750-a4c9-c29f5369cdac};0;P;957;MAT-CR-092;{0dff9e6f-f86b-40d3-a1e6-f4df2beaf106};638
{35f6d4f3-c51f-4750-a4c9-c29f5369cdac};1;K;3.2;KERF;{0dff9e6f-f86b-40d3-a1e6-f4df2beaf106};638
{87962236-2e84-47c4-9f11-ffbeb0c98545};0;P;894;MAT-CR-094;{718b64df-b589-4d7e-b359-7e7737740a1a};630 2/2
{87962236-2e84-47c4-9f11-ffbeb0c98545};1;K;3.2;KERF;{718b64df-b589-4d7e-b359-7e7737740a1a};630 2/2
{8fc5acbe-5211-470e-8752-dc1bbb912bd9};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{8fc5acbe-5211-470e-8752-dc1bbb912bd9};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{8fc5acbe-5211-470e-8752-dc1bbb912bd9};2;P;877;MAT-CR-097;{a31876a3-ba32-4796-8955-c940780838af};630 2/2
{8fc5acbe-5211-470e-8752-dc1bbb912bd9};3;K;3.2;KERF;{a31876a3-ba32-4796-8955-c940780838af};630 2/2
{8fc5acbe-5211-470e-8752-dc1bbb912bd9};4;P;2327;MAT-CR-098;{7c2bea87-1fe8-47eb-a673-d60fe37efe5d};631
{8fc5acbe-5211-470e-8752-dc1bbb912bd9};5;K;3.2;KERF;{7c2bea87-1fe8-47eb-a673-d60fe37efe5d};631
{8fc5acbe-5211-470e-8752-dc1bbb912bd9};6;P;2087;MAT-CR-099;{229db2b8-4c6c-4881-8039-89cc06341a32};637
{8fc5acbe-5211-470e-8752-dc1bbb912bd9};7;K;3.2;KERF;{229db2b8-4c6c-4881-8039-89cc06341a32};637
{51b69017-3c47-474b-a3c2-3c01e51c06f8};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{51b69017-3c47-474b-a3c2-3c01e51c06f8};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{51b69017-3c47-474b-a3c2-3c01e51c06f8};2;P;2330;MAT-CR-102;{9097718b-7a63-4f1c-9e0c-2fa1a409bb3b};631
{51b69017-3c47-474b-a3c2-3c01e51c06f8};3;K;3.2;KERF;{9097718b-7a63-4f1c-9e0c-2fa1a409bb3b};631
{51b69017-3c47-474b-a3c2-3c01e51c06f8};4;P;1560;MAT-CR-103;{d643dd4c-1be5-433f-b689-87454bafaa96};639
{51b69017-3c47-474b-a3c2-3c01e51c06f8};5;K;3.2;KERF;{d643dd4c-1be5-433f-b689-87454bafaa96};639
{51b69017-3c47-474b-a3c2-3c01e51c06f8};6;P;1580;MAT-CR-104;{6455be50-accb-4ca6-b9c5-7eada6f15815};640
{51b69017-3c47-474b-a3c2-3c01e51c06f8};7;K;3.2;KERF;{6455be50-accb-4ca6-b9c5-7eada6f15815};640
{55b2c0ad-9791-43f6-98dc-6db1249bc8cb};0;T;20;TECH;{00000000-0000-0000-0000-000000000000};
{55b2c0ad-9791-43f6-98dc-6db1249bc8cb};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{55b2c0ad-9791-43f6-98dc-6db1249bc8cb};2;P;2344;MAT-CR-107;{2e18712c-0773-41d1-8dfc-2f2ea09db995};631
{55b2c0ad-9791-43f6-98dc-6db1249bc8cb};3;K;3.2;KERF;{2e18712c-0773-41d1-8dfc-2f2ea09db995};631
{55b2c0ad-9791-43f6-98dc-6db1249bc8cb};4;P;1274;MAT-CR-108;{3c986865-0c5b-4b08-a389-af156d176c92};635
{55b2c0ad-9791-43f6-98dc-6db1249bc8cb};5;K;3.2;KERF;{3c986865-0c5b-4b08-a389-af156d176c92};635
{55b2c0ad-9791-43f6-98dc-6db1249bc8cb};6;P;2104;MAT-CR-109;{732b9435-c6c8-4b8b-8b37-e3a486d11338};637
{55b2c0ad-9791-43f6-98dc-6db1249bc8cb};7;K;3.2;KERF;{732b9435-c6c8-4b8b-8b37-e3a486d11338};637
{a8ab8b9f-19ee-41ec-bb4e-2e80cb088f34};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{a8ab8b9f-19ee-41ec-bb4e-2e80cb088f34};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{a8ab8b9f-19ee-41ec-bb4e-2e80cb088f34};2;P;1557;MAT-CR-112;{ff6fc97c-3e15-44e8-a7fa-9ff2230f759c};639
{a8ab8b9f-19ee-41ec-bb4e-2e80cb088f34};3;K;3.2;KERF;{ff6fc97c-3e15-44e8-a7fa-9ff2230f759c};639
{be79a144-6f83-45ef-9d43-93a12d157ff1};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{be79a144-6f83-45ef-9d43-93a12d157ff1};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{be79a144-6f83-45ef-9d43-93a12d157ff1};2;P;2090;MAT-CR-115;{a5cb93c1-a1c1-469c-81d8-83cdeb750339};637
{be79a144-6f83-45ef-9d43-93a12d157ff1};3;K;3.2;KERF;{a5cb93c1-a1c1-469c-81d8-83cdeb750339};637
#PIECES
{541906db-8640-436e-802c-d1bfb0465b70};{99947196-0a59-4556-8559-39e9163eaf15};864;SR-T;632
{541906db-8640-436e-802c-d1bfb0465b70};{2a0d74b1-d613-4b32-b305-010559a81f13};974;SR-T;636
{541906db-8640-436e-802c-d1bfb0465b70};{75bb29ac-f1ee-45fd-9f03-e2f5015feeee};974;SR-T;638
{541906db-8640-436e-802c-d1bfb0465b70};{dfcf0fa6-b7d9-4be2-a8b7-883be1e23c0c};1574;SR-T;639
{7cfdd4f4-9545-45d3-b1a0-9d7ef410a1ca};{97ddca5a-ed05-4b37-b78e-757aeefc4e3f};877;TE-H-32;630 1/2
{7cfdd4f4-9545-45d3-b1a0-9d7ef410a1ca};{12719bea-ac4d-4b25-88e9-a6b64538a1d5};957;TE-H-32;636
{7cfdd4f4-9545-45d3-b1a0-9d7ef410a1ca};{6d6e5bf4-eea9-4982-8db0-051b56167567};1577;TE-H-32;640
{00f7728b-84eb-4180-a277-e217f54a0181};{3cb83649-ef13-4c30-ba0d-2024def81faa};880;SR-Z+P;630 1/2
{00f7728b-84eb-4180-a277-e217f54a0181};{43764bcc-ff02-4b5b-af54-d00186845589};880;SR-Z+P;630 2/2
{00f7728b-84eb-4180-a277-e217f54a0181};{14e99b0a-35a1-4929-b5a0-b7cb330dc941};850;SR-Z+P;632
{00f7728b-84eb-4180-a277-e217f54a0181};{d4b3b1e1-1bba-4551-91a9-d229673d8326};1260;SR-Z+P;635
{00f7728b-84eb-4180-a277-e217f54a0181};{5c4b02d1-3ebb-4113-882a-a14fced65af4};960;SR-Z+P;636
{00f7728b-84eb-4180-a277-e217f54a0181};{0bcc6e0c-bc72-4205-b888-8839b3664d39};960;SR-Z+P;638
{0f74d331-2515-433c-998a-56d6537ea0ff};{23423b3e-4ba5-4c00-b6f8-958f883e65de};847;TE-H-32;632
{0f74d331-2515-433c-998a-56d6537ea0ff};{4b1bf9f2-f648-43d7-9ff5-e42700763b89};1257;TE-H-32;635
{7a505f1f-96c1-4b9a-9222-827859f5912a};{92c552a8-ada6-4750-8466-f0b0159fd77d};1594;SR-T;640
{c50d4223-8853-48f7-9c75-36802ba96b6d};{356e8165-524d-4e48-9c66-92d4f444e6af};894;SR-T;630 1/2
{35f6d4f3-c51f-4750-a4c9-c29f5369cdac};{0dff9e6f-f86b-40d3-a1e6-f4df2beaf106};957;TE-H-32;638
{87962236-2e84-47c4-9f11-ffbeb0c98545};{718b64df-b589-4d7e-b359-7e7737740a1a};894;SR-T;630 2/2
{8fc5acbe-5211-470e-8752-dc1bbb912bd9};{a31876a3-ba32-4796-8955-c940780838af};877;TE-H-32;630 2/2
{8fc5acbe-5211-470e-8752-dc1bbb912bd9};{7c2bea87-1fe8-47eb-a673-d60fe37efe5d};2327;TE-H-32;631
{8fc5acbe-5211-470e-8752-dc1bbb912bd9};{229db2b8-4c6c-4881-8039-89cc06341a32};2087;TE-H-32;637
{51b69017-3c47-474b-a3c2-3c01e51c06f8};{9097718b-7a63-4f1c-9e0c-2fa1a409bb3b};2330;SR-Z+P;631
{51b69017-3c47-474b-a3c2-3c01e51c06f8};{d643dd4c-1be5-433f-b689-87454bafaa96};1560;SR-Z+P;639
{51b69017-3c47-474b-a3c2-3c01e51c06f8};{6455be50-accb-4ca6-b9c5-7eada6f15815};1580;SR-Z+P;640
{55b2c0ad-9791-43f6-98dc-6db1249bc8cb};{2e18712c-0773-41d1-8dfc-2f2ea09db995};2344;SR-T;631
{55b2c0ad-9791-43f6-98dc-6db1249bc8cb};{3c986865-0c5b-4b08-a389-af156d176c92};1274;SR-T;635
{55b2c0ad-9791-43f6-98dc-6db1249bc8cb};{732b9435-c6c8-4b8b-8b37-e3a486d11338};2104;SR-T;637
{a8ab8b9f-19ee-41ec-bb4e-2e80cb088f34};{ff6fc97c-3e15-44e8-a7fa-9ff2230f759c};1557;TE-H-32;639
{be79a144-6f83-45ef-9d43-93a12d157ff1};{a5cb93c1-a1c1-469c-81d8-83cdeb750339};2090;SR-Z+P;637
#LEFTOVERS
{541906db-8640-436e-802c-d1bfb0465b70};selejt;125.2
{7cfdd4f4-9545-45d3-b1a0-9d7ef410a1ca};selejt;79.4
{00f7728b-84eb-4180-a277-e217f54a0181};selejt;172.6
{0f74d331-2515-433c-998a-56d6537ea0ff};selejt;79.6
{7a505f1f-96c1-4b9a-9222-827859f5912a};selejt;277.8
{c50d4223-8853-48f7-9c75-36802ba96b6d};selejt;127.8
{35f6d4f3-c51f-4750-a4c9-c29f5369cdac};selejt;273.8
{87962236-2e84-47c4-9f11-ffbeb0c98545};selejt;202.8
{8fc5acbe-5211-470e-8752-dc1bbb912bd9};RST-J-878;681.2
{51b69017-3c47-474b-a3c2-3c01e51c06f8};RST-J-879;502.2
{55b2c0ad-9791-43f6-98dc-6db1249bc8cb};selejt;245.2
{a8ab8b9f-19ee-41ec-bb4e-2e80cb088f34};RST-J-880;4421.6
{be79a144-6f83-45ef-9d43-93a12d157ff1};RST-J-881;3888.6
