#VERSION 2
#CUTPLANS
{87cfa572-0942-4425-b1a0-5f753211699a};3;K;2;KERF;{5b81d15e-4925-4826-b557-b9f490dccb93};232
{44b3b915-01c2-4b2f-b9d6-0fda11b9ffd2};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{44b3b915-01c2-4b2f-b9d6-0fda11b9ffd2};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{44b3b915-01c2-4b2f-b9d6-0fda11b9ffd2};2;P;3190;MAT-CN-453;{3e38deab-f887-405a-b9fa-ae970273ce98};223
{44b3b915-01c2-4b2f-b9d6-0fda11b9ffd2};3;K;3.2;KERF;{3e38deab-f887-405a-b9fa-ae970273ce98};223
{44b3b915-01c2-4b2f-b9d6-0fda11b9ffd2};4;P;1325;MAT-CN-454;{e6a03cbd-32f1-41ed-bb8a-986992af4ffc};230
{44b3b915-01c2-4b2f-b9d6-0fda11b9ffd2};5;K;3.2;KERF;{e6a03cbd-32f1-41ed-bb8a-986992af4ffc};230
{44b3b915-01c2-4b2f-b9d6-0fda11b9ffd2};6;P;1275;MAT-CN-455;{48c3965b-ac27-4ceb-b781-24cb3803bc3a};231
{44b3b915-01c2-4b2f-b9d6-0fda11b9ffd2};7;K;3.2;KERF;{48c3965b-ac27-4ceb-b781-24cb3803bc3a};231
{31c9d7b0-2c6c-4b45-b7b3-22b34452cabe};0;P;1647;MAT-CN-457;{1c1f088b-d31b-4e25-81e6-a6f8ea313793};223
{31c9d7b0-2c6c-4b45-b7b3-22b34452cabe};1;K;3.2;KERF;{1c1f088b-d31b-4e25-81e6-a6f8ea313793};223
{301d4dbe-c393-47ff-87e7-700e05dccdbb};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{301d4dbe-c393-47ff-87e7-700e05dccdbb};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{301d4dbe-c393-47ff-87e7-700e05dccdbb};2;P;2462;MAT-CN-460;{11279832-21cf-417d-92d6-5df8899a770a};230
{301d4dbe-c393-47ff-87e7-700e05dccdbb};3;K;3.2;KERF;{11279832-21cf-417d-92d6-5df8899a770a};230
{301d4dbe-c393-47ff-87e7-700e05dccdbb};4;P;2462;MAT-CN-461;{6be27c53-5af5-47af-adc3-085497496be0};231
{301d4dbe-c393-47ff-87e7-700e05dccdbb};5;K;3.2;KERF;{6be27c53-5af5-47af-adc3-085497496be0};231
{8c493030-92eb-45a0-a3e7-73102edb744f};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{8c493030-92eb-45a0-a3e7-73102edb744f};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{8c493030-92eb-45a0-a3e7-73102edb744f};2;P;2462;MAT-CN-463;{8cb362a5-1101-4bd6-b4df-2076b6d7c980};232
{8c493030-92eb-45a0-a3e7-73102edb744f};3;K;3.2;KERF;{8cb362a5-1101-4bd6-b4df-2076b6d7c980};232
{c0670b8f-2e3a-4da0-93c6-f3b398e12de5};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{c0670b8f-2e3a-4da0-93c6-f3b398e12de5};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{c0670b8f-2e3a-4da0-93c6-f3b398e12de5};2;P;3097;MAT-CN-466;{6a3ad2be-20b1-489f-837d-2980b62a9d69};223
{c0670b8f-2e3a-4da0-93c6-f3b398e12de5};3;K;3.2;KERF;{6a3ad2be-20b1-489f-837d-2980b62a9d69};223
{c0670b8f-2e3a-4da0-93c6-f3b398e12de5};4;P;1182;MAT-CN-467;{45a2e48b-ece9-4b87-8437-d9114c6c84a1};231
{c0670b8f-2e3a-4da0-93c6-f3b398e12de5};5;K;3.2;KERF;{45a2e48b-ece9-4b87-8437-d9114c6c84a1};231
{9fb359d1-74bb-4f79-8167-df196861d54b};0;P;1194;MAT-CN-469;{0dfb4859-665c-4761-b490-737d98869130};231
{9fb359d1-74bb-4f79-8167-df196861d54b};1;K;2;KERF;{0dfb4859-665c-4761-b490-737d98869130};231
{5243c550-fae5-4538-9b74-153d60bacee1};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{5243c550-fae5-4538-9b74-153d60bacee1};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{5243c550-fae5-4538-9b74-153d60bacee1};2;P;1675;MAT-CN-472;{a535c276-7c1a-46ab-85b5-c1f02ced1274};232
{5243c550-fae5-4538-9b74-153d60bacee1};3;K;3.2;KERF;{a535c276-7c1a-46ab-85b5-c1f02ced1274};232
{148a6950-0c81-4ec4-980d-684ed4cd5b55};0;P;1180;MAT-CN-474;{3916be88-c02a-47ec-ba59-4015cdfb43e4};230
{148a6950-0c81-4ec4-980d-684ed4cd5b55};1;K;2;KERF;{3916be88-c02a-47ec-ba59-4015cdfb43e4};230
{c0b2bd3f-ab04-43be-ab52-b4a192f8b86e};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{c0b2bd3f-ab04-43be-ab52-b4a192f8b86e};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{c0b2bd3f-ab04-43be-ab52-b4a192f8b86e};2;P;3109;MAT-CN-477;{8f7b6a7b-886b-47b4-a132-1ead5bfd2091};223
