#VERSION 2
#CUTPLANS
{0b9b599a-08c1-4f66-85fb-1407c203842e};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{0b9b599a-08c1-4f66-85fb-1407c203842e};2;P;3215;MAT-CN-948;{26e486a4-1b8a-4cee-b1b6-9df3f278594b};223
{0b9b599a-08c1-4f66-85fb-1407c203842e};3;K;3.2;KERF;{26e486a4-1b8a-4cee-b1b6-9df3f278594b};223
{0b9b599a-08c1-4f66-85fb-1407c203842e};4;P;1350;MAT-CN-949;{f08c499b-0f6f-45fe-bd93-2f02a8164542};230
{0b9b599a-08c1-4f66-85fb-1407c203842e};5;K;3.2;KERF;{f08c499b-0f6f-45fe-bd93-2f02a8164542};230
{0b9b599a-08c1-4f66-85fb-1407c203842e};6;P;1300;MAT-CN-950;{ab2792ba-5708-4fc8-8e70-fba6599d0e14};231
{0b9b599a-08c1-4f66-85fb-1407c203842e};7;K;3.2;KERF;{ab2792ba-5708-4fc8-8e70-fba6599d0e14};231
{b6763199-47c1-4f4f-bd19-bfd675f3cdbf};0;P;1232;MAT-CN-952;{61b7f468-c7ac-4f33-9358-f9e54361d896};230
{b6763199-47c1-4f4f-bd19-bfd675f3cdbf};1;K;3.2;KERF;{61b7f468-c7ac-4f33-9358-f9e54361d896};230
{b6763199-47c1-4f4f-bd19-bfd675f3cdbf};2;P;1557;MAT-CN-953;{c02e054c-ecbc-491d-a5b4-c81f9b0e02c6};232
{b6763199-47c1-4f4f-bd19-bfd675f3cdbf};3;K;3.2;KERF;{c02e054c-ecbc-491d-a5b4-c81f9b0e02c6};232
{c4b90b49-33de-485a-8792-56fcb9a87c93};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{c4b90b49-33de-485a-8792-56fcb9a87c93};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{c4b90b49-33de-485a-8792-56fcb9a87c93};2;P;2462;MAT-CN-956;{2ac9149a-a23f-4ba1-885d-c7b5b6c978b5};230
