#VERSION 2
#CUTPLANS
{5b3dbf87-e091-4f2c-ae29-b382bc20af62};5;K;3.2;KERF;{879deecb-2fd5-4507-93c4-89396898ae48};230
{5b3dbf87-e091-4f2c-ae29-b382bc20af62};6;P;1275;MAT-CN-800;{dfa8f106-dded-433c-9e9e-beb887e8f00d};231
{5b3dbf87-e091-4f2c-ae29-b382bc20af62};7;K;3.2;KERF;{dfa8f106-dded-433c-9e9e-beb887e8f00d};231
{a2d16080-cae3-4ddb-88a9-2fb71be6f5b0};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{a2d16080-cae3-4ddb-88a9-2fb71be6f5b0};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{a2d16080-cae3-4ddb-88a9-2fb71be6f5b0};2;P;3215;MAT-CN-803;{0675fc5d-1cbc-4d94-888c-820f6908b37a};223
{a2d16080-cae3-4ddb-88a9-2fb71be6f5b0};3;K;3.2;KERF;{0675fc5d-1cbc-4d94-888c-820f6908b37a};223
{a2d16080-cae3-4ddb-88a9-2fb71be6f5b0};4;P;1350;MAT-CN-804;{287edff2-19c0-48ae-87ab-d9ffa2a36ad4};230
{a2d16080-cae3-4ddb-88a9-2fb71be6f5b0};5;K;3.2;KERF;{287edff2-19c0-48ae-87ab-d9ffa2a36ad4};230
{a2d16080-cae3-4ddb-88a9-2fb71be6f5b0};6;P;1300;MAT-CN-805;{95990325-4591-4728-9d4c-00d9970523fa};231
{a2d16080-cae3-4ddb-88a9-2fb71be6f5b0};7;K;3.2;KERF;{95990325-4591-4728-9d4c-00d9970523fa};231
{befdc7dc-0231-40a6-a5cf-f576152fa395};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{befdc7dc-0231-40a6-a5cf-f576152fa395};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{befdc7dc-0231-40a6-a5cf-f576152fa395};2;P;2462;MAT-CN-808;{06c01d22-2924-4b50-8390-ac1f2108938f};230
