#VERSION 2
#CUTPLANS
{381a28e4-dd1a-4c85-9cf5-1b24ea5b5e9b};4;P;2545;MAT-U-404;{5dd49090-ed81-45c5-87d9-2ae69ebfbba8};305
{381a28e4-dd1a-4c85-9cf5-1b24ea5b5e9b};5;K;2;KERF;{5dd49090-ed81-45c5-87d9-2ae69ebfbba8};305
{5ff5156d-5ba6-438d-a18c-5d4d081c8488};0;P;2029;MAT-U-406;{7b07949c-ba56-417c-96da-c920b2a506c0};303
{5ff5156d-5ba6-438d-a18c-5d4d081c8488};1;K;2;KERF;{7b07949c-ba56-417c-96da-c920b2a506c0};303
{531cdfae-5a4d-4421-8153-760a3638aada};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{531cdfae-5a4d-4421-8153-760a3638aada};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{531cdfae-5a4d-4421-8153-760a3638aada};2;P;2110;MAT-U-410;{af939e2f-7a25-4535-8ca7-130b49d669fb};303
{531cdfae-5a4d-4421-8153-760a3638aada};3;K;3.2;KERF;{af939e2f-7a25-4535-8ca7-130b49d669fb};303
{531cdfae-5a4d-4421-8153-760a3638aada};4;P;2690;MAT-U-411;{683138e2-4157-4a5c-89c2-e1c7d5d5c23d};305
{531cdfae-5a4d-4421-8153-760a3638aada};5;K;3.2;KERF;{683138e2-4157-4a5c-89c2-e1c7d5d5c23d};305
{dd98be76-8cd1-4453-ae37-ffa32502ad5b};0;P;2715;MAT-U-413;{04d7ed52-66b5-4d1b-8903-4208b695c0e9};305
{dd98be76-8cd1-4453-ae37-ffa32502ad5b};1;K;3.2;KERF;{04d7ed52-66b5-4d1b-8903-4208b695c0e9};305
{f5e8e6a1-a17f-4ca1-8d61-b6713396d81d};0;P;1377;MAT-U-415;{63720848-cec4-45a0-a88c-b24efe66a9d3};301
{f5e8e6a1-a17f-4ca1-8d61-b6713396d81d};1;K;3.2;KERF;{63720848-cec4-45a0-a88c-b24efe66a9d3};301
{a4061b35-59bf-4658-bfb2-9d9866168b6a};0;P;1979;MAT-U-417;{b33221de-8b9f-4e06-82be-854782ef5352};302
{a4061b35-59bf-4658-bfb2-9d9866168b6a};1;K;2;KERF;{b33221de-8b9f-4e06-82be-854782ef5352};302
{8fd5a302-022c-4a92-98a2-3b3594a519d9};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{8fd5a302-022c-4a92-98a2-3b3594a519d9};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{8fd5a302-022c-4a92-98a2-3b3594a519d9};2;P;1495;MAT-U-420;{8515fc18-808e-43b6-aa74-7ee3c004c6da};301
{8fd5a302-022c-4a92-98a2-3b3594a519d9};3;K;3.2;KERF;{8515fc18-808e-43b6-aa74-7ee3c004c6da};301
{8fd5a302-022c-4a92-98a2-3b3594a519d9};4;P;2615;MAT-U-421;{9a74c58b-5a88-42c2-b070-c47fedd73410};304
{8fd5a302-022c-4a92-98a2-3b3594a519d9};5;K;3.2;KERF;{9a74c58b-5a88-42c2-b070-c47fedd73410};304
{fc518846-098c-4dd8-941b-41408fd5453f};0;P;2497;MAT-U-423;{f845d80a-06d3-4ac0-ac6f-698d3ef82374};304
{fc518846-098c-4dd8-941b-41408fd5453f};1;K;3.2;KERF;{f845d80a-06d3-4ac0-ac6f-698d3ef82374};304
{710b3279-ecde-4262-b5b9-b3f8b06068c7};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{710b3279-ecde-4262-b5b9-b3f8b06068c7};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{710b3279-ecde-4262-b5b9-b3f8b06068c7};2;P;1915;MAT-U-426;{82cdd19b-6e31-4154-ba8c-cde5ecd2c9aa};302
{710b3279-ecde-4262-b5b9-b3f8b06068c7};3;K;2;KERF;{82cdd19b-6e31-4154-ba8c-cde5ecd2c9aa};302
{710b3279-ecde-4262-b5b9-b3f8b06068c7};4;P;1965;MAT-U-427;{b542babb-1c53-47ab-ba2c-4f373e30a924};303
{710b3279-ecde-4262-b5b9-b3f8b06068c7};5;K;2;KERF;{b542babb-1c53-47ab-ba2c-4f373e30a924};303
{6dab4733-8a1d-461a-a8e9-c3635f58ac39};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{6dab4733-8a1d-461a-a8e9-c3635f58ac39};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{6dab4733-8a1d-461a-a8e9-c3635f58ac39};2;P;2252;MAT-U-430;{0e65ad1d-7e06-4e55-89b4-2e09ed7e94e6};303
{6dab4733-8a1d-461a-a8e9-c3635f58ac39};3;K;3.2;KERF;{0e65ad1d-7e06-4e55-89b4-2e09ed7e94e6};303
{6dab4733-8a1d-461a-a8e9-c3635f58ac39};4;P;2252;MAT-U-431;{108d4a57-b0cf-4791-9671-c8406acf391a};305
