#VERSION 2
#CUTPLANS
{129cf3a6-302d-485b-9a67-f840e2b46235};2;P;100;MAT-CN-403;{63bfab88-2eb6-4d21-8a8c-d2b3684e451e};231
{129cf3a6-302d-485b-9a67-f840e2b46235};3;K;2;KERF;{63bfab88-2eb6-4d21-8a8c-d2b3684e451e};231
{129cf3a6-302d-485b-9a67-f840e2b46235};4;P;145;MAT-CN-404;{236283a8-b7a9-4dc7-ab36-9afcf58fd7a6};232
{129cf3a6-302d-485b-9a67-f840e2b46235};5;K;2;KERF;{236283a8-b7a9-4dc7-ab36-9afcf58fd7a6};232
{590cf01a-9fd7-48aa-8dc3-6555495c5c4b};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{590cf01a-9fd7-48aa-8dc3-6555495c5c4b};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{590cf01a-9fd7-48aa-8dc3-6555495c5c4b};2;P;3190;MAT-CN-407;{ff00fb84-cf03-4535-b40e-0ccb3acf93ca};223
{590cf01a-9fd7-48aa-8dc3-6555495c5c4b};3;K;3.2;KERF;{ff00fb84-cf03-4535-b40e-0ccb3acf93ca};223
{590cf01a-9fd7-48aa-8dc3-6555495c5c4b};4;P;1325;MAT-CN-408;{c9d2bb91-6d4f-405c-bdbd-314a06467e78};230
{590cf01a-9fd7-48aa-8dc3-6555495c5c4b};5;K;3.2;KERF;{c9d2bb91-6d4f-405c-bdbd-314a06467e78};230
{590cf01a-9fd7-48aa-8dc3-6555495c5c4b};6;P;1275;MAT-CN-409;{bb49a8f5-3b33-47c7-aadb-4763d03701d5};231
{590cf01a-9fd7-48aa-8dc3-6555495c5c4b};7;K;3.2;KERF;{bb49a8f5-3b33-47c7-aadb-4763d03701d5};231
{dda669ce-b4a1-49c9-9ba0-c44e94679fa8};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{dda669ce-b4a1-49c9-9ba0-c44e94679fa8};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{dda669ce-b4a1-49c9-9ba0-c44e94679fa8};2;P;2462;MAT-CN-412;{66cfce8f-e717-43d6-8371-f35f87196e11};230
{dda669ce-b4a1-49c9-9ba0-c44e94679fa8};3;K;3.2;KERF;{66cfce8f-e717-43d6-8371-f35f87196e11};230
{dda669ce-b4a1-49c9-9ba0-c44e94679fa8};4;P;2462;MAT-CN-413;{53a1f66e-f1ca-48d9-9df1-a69bb36e3215};231
{dda669ce-b4a1-49c9-9ba0-c44e94679fa8};5;K;3.2;KERF;{53a1f66e-f1ca-48d9-9df1-a69bb36e3215};231
{9f53cc7d-e29a-4078-a09b-7e6d9510693f};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{9f53cc7d-e29a-4078-a09b-7e6d9510693f};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{9f53cc7d-e29a-4078-a09b-7e6d9510693f};2;P;2462;MAT-CN-415;{7e0f0df4-45af-49c8-ab3b-20ccfd3680f6};232
{9f53cc7d-e29a-4078-a09b-7e6d9510693f};3;K;3.2;KERF;{7e0f0df4-45af-49c8-ab3b-20ccfd3680f6};232
{e5559391-f770-4ab7-98f3-92c7575be9b3};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{e5559391-f770-4ab7-98f3-92c7575be9b3};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{e5559391-f770-4ab7-98f3-92c7575be9b3};2;P;3097;MAT-CN-418;{24a4a542-254c-417a-8be4-2a239df21ac5};223
{e5559391-f770-4ab7-98f3-92c7575be9b3};3;K;3.2;KERF;{24a4a542-254c-417a-8be4-2a239df21ac5};223
{e5559391-f770-4ab7-98f3-92c7575be9b3};4;P;1182;MAT-CN-419;{b44df593-0d5a-46fd-bdde-e7ce1a339f8f};231
