#VERSION 2
#CUTPLANS
{a6662d0f-f67c-4267-9d45-0cae92b6aece};4;P;2180;MAT-W-920;{a4c6dd3c-65dc-4030-9942-085af6fdafeb};315
{a6662d0f-f67c-4267-9d45-0cae92b6aece};5;K;3.2;KERF;{a4c6dd3c-65dc-4030-9942-085af6fdafeb};315
{5e14ff9a-2bcc-4748-8bb4-636fe294ab49};0;P;897;MAT-W-922;{3e56c66b-e5d7-4bf1-b794-9ee4f9410a84};315
{5e14ff9a-2bcc-4748-8bb4-636fe294ab49};1;K;3.2;KERF;{3e56c66b-e5d7-4bf1-b794-9ee4f9410a84};315
{3bec4708-f21d-4563-818d-996f036432f0};0;P;897;MAT-W-924;{21781b62-ed92-4ebf-93d5-53d10bc6ad92};314
{3bec4708-f21d-4563-818d-996f036432f0};1;K;3.2;KERF;{21781b62-ed92-4ebf-93d5-53d10bc6ad92};314
{a7034893-4c12-4c5c-b517-1b92e9799b61};0;P;897;MAT-W-925;{364e1755-7222-43fc-9284-9a684e09e1c5};315
{a7034893-4c12-4c5c-b517-1b92e9799b61};1;K;3.2;KERF;{364e1755-7222-43fc-9284-9a684e09e1c5};315
#PIECES
{0a973bc1-e5e2-4805-81ae-dc652fc20e92};{b1849757-cfc6-4c88-88d7-801d481b403c};2532;NP-CZ-7016;314
{0a973bc1-e5e2-4805-81ae-dc652fc20e92};{81080c03-9bd3-4388-9380-4594d97ffb26};2087;NP-CZ-7016;315
{9f483430-d79f-4488-891d-4a9a8c4cf1d8};{cd53c3f9-91cb-4b08-b279-fe30bc279a74};2650;NP-TF-7016;314
{9f483430-d79f-4488-891d-4a9a8c4cf1d8};{2ccd833a-8186-4cff-9053-5516eaace5ef};2205;NP-TF-7016;315
{cedd080d-148b-4c1d-b24c-0643692b1530};{7cd7313f-312f-4895-96b3-9c092197e4dc};897;NP-CL2+CLT2+CLB2-7016;314
{6e890980-91fb-41da-8b8f-efcc4cbd2141};{04354b34-fb78-4bf5-955d-791ba4bc6f65};2545;NP-ROLL70-5000;314
{6e890980-91fb-41da-8b8f-efcc4cbd2141};{06e05856-a97d-44ca-baa4-8750c010392b};2100;NP-ROLL70-5000;315
{a87890ec-ef23-4a2d-9f7b-15fed0ae54eb};{6045d39c-8540-4025-a62c-b8cb07bc7090};2480;NP-BAR20-6000;314
{a87890ec-ef23-4a2d-9f7b-15fed0ae54eb};{5b44c2da-b983-4b67-aa1a-12a04ecb616a};2035;NP-BAR20-6000;315
{a6662d0f-f67c-4267-9d45-0cae92b6aece};{d990617e-5053-4aaa-87eb-3b1290b74cc6};2625;NP-T-7016;314
{a6662d0f-f67c-4267-9d45-0cae92b6aece};{a4c6dd3c-65dc-4030-9942-085af6fdafeb};2180;NP-T-7016;315
{5e14ff9a-2bcc-4748-8bb4-636fe294ab49};{3e56c66b-e5d7-4bf1-b794-9ee4f9410a84};897;NP-CL2+CLT2+CLB2-7016;315
{3bec4708-f21d-4563-818d-996f036432f0};{21781b62-ed92-4ebf-93d5-53d10bc6ad92};897;NP-CLB2;314
{a7034893-4c12-4c5c-b517-1b92e9799b61};{364e1755-7222-43fc-9284-9a684e09e1c5};897;NP-CLB2;315
#LEFTOVERS
{0a973bc1-e5e2-4805-81ae-dc652fc20e92};selejt;674.6
{9f483430-d79f-4488-891d-4a9a8c4cf1d8};RST-C-986;1120.4
{cedd080d-148b-4c1d-b24c-0643692b1530};RST-C-987;949.8
{6e890980-91fb-41da-8b8f-efcc4cbd2141};selejt;349
{a87890ec-ef23-4a2d-9f7b-15fed0ae54eb};RST-C-988;1629
{a6662d0f-f67c-4267-9d45-0cae92b6aece};RST-C-989;1170.4
{5e14ff9a-2bcc-4748-8bb4-636fe294ab49};selejt;119.8
{3bec4708-f21d-4563-818d-996f036432f0};RST-C-990;899.8
{a7034893-4c12-4c5c-b517-1b92e9799b61};selejt;99.8
