#VERSION 2
#CUTPLANS
{4aecf1f9-3ceb-4b44-a135-580660fc63f5};5;K;2;KERF;{f59fca2a-0987-4184-bbe9-8f1b27b1af7e};232
{b085eaa6-d1af-4891-8e5f-2f3ce14f5d7e};0;P;1244;MAT-CN-115;{5413929a-e97a-41b6-9c4e-0db5fff4ddae};230
{b085eaa6-d1af-4891-8e5f-2f3ce14f5d7e};1;K;2;KERF;{5413929a-e97a-41b6-9c4e-0db5fff4ddae};230
{b085eaa6-d1af-4891-8e5f-2f3ce14f5d7e};2;P;1569;MAT-CN-116;{62f922a6-b10a-4b66-a8e7-73e8bd93cb79};232
{b085eaa6-d1af-4891-8e5f-2f3ce14f5d7e};3;K;2;KERF;{62f922a6-b10a-4b66-a8e7-73e8bd93cb79};232
{a5bbf345-f1aa-4a95-8b6a-67fee81e20d7};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{a5bbf345-f1aa-4a95-8b6a-67fee81e20d7};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{a5bbf345-f1aa-4a95-8b6a-67fee81e20d7};2;P;3215;MAT-CN-119;{18bd2806-1075-4be6-8e92-7373df661845};223
{a5bbf345-f1aa-4a95-8b6a-67fee81e20d7};3;K;3.2;KERF;{18bd2806-1075-4be6-8e92-7373df661845};223
{a5bbf345-f1aa-4a95-8b6a-67fee81e20d7};4;P;1350;MAT-CN-120;{a0dd32b0-bb6f-4b62-a092-d984f12c472d};230
{a5bbf345-f1aa-4a95-8b6a-67fee81e20d7};5;K;3.2;KERF;{a0dd32b0-bb6f-4b62-a092-d984f12c472d};230
{a5bbf345-f1aa-4a95-8b6a-67fee81e20d7};6;P;1300;MAT-CN-121;{c910f2f9-7fe2-4384-8d0b-1db3dad11049};231
{a5bbf345-f1aa-4a95-8b6a-67fee81e20d7};7;K;3.2;KERF;{c910f2f9-7fe2-4384-8d0b-1db3dad11049};231
{f4617f23-cb80-4bae-8479-d428510c9a8e};0;P;1232;MAT-CN-123;{5fc49805-2d7c-434e-9531-642574ccc4a6};230
{f4617f23-cb80-4bae-8479-d428510c9a8e};1;K;3.2;KERF;{5fc49805-2d7c-434e-9531-642574ccc4a6};230
{f4617f23-cb80-4bae-8479-d428510c9a8e};2;P;1557;MAT-CN-124;{5d266e74-8d83-4c4f-96ba-ffa309e7ac87};232
{f4617f23-cb80-4bae-8479-d428510c9a8e};3;K;3.2;KERF;{5d266e74-8d83-4c4f-96ba-ffa309e7ac87};232
{da6c1b40-9349-42cc-b0a5-b0b66fe6d543};0;P;1194;MAT-CN-126;{2b5c5b16-c3fd-47e6-aee6-54411b09834b};231
