#VERSION 2
#CUTPLANS
{fd73c444-1598-45e9-b481-575bab32770b};3;K;3.2;KERF;{1b438d50-63a7-4db3-9cf6-ac98116e5ae2};139
{c7d4122e-088a-4ad3-9855-8dafdd597744};0;P;2597;MAT-N-154;{a5472277-4931-4b5b-a1c4-11bbaa331e76};148
{c7d4122e-088a-4ad3-9855-8dafdd597744};1;K;3.2;KERF;{a5472277-4931-4b5b-a1c4-11bbaa331e76};148
{19b600ce-18a1-46fa-9134-18543303f34d};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{19b600ce-18a1-46fa-9134-18543303f34d};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{19b600ce-18a1-46fa-9134-18543303f34d};2;P;2497;MAT-N-156;{cadc260b-b9a5-4d72-b8f9-f41a057cf356};127
{19b600ce-18a1-46fa-9134-18543303f34d};3;K;3.2;KERF;{cadc260b-b9a5-4d72-b8f9-f41a057cf356};127
{19b600ce-18a1-46fa-9134-18543303f34d};4;P;2497;MAT-N-157;{6eba8764-9490-4b3a-a6d9-0fd0392d9aea};139
{19b600ce-18a1-46fa-9134-18543303f34d};5;K;3.2;KERF;{6eba8764-9490-4b3a-a6d9-0fd0392d9aea};139
{c6709b40-130b-4fc4-b5f7-5d52d3dfe008};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{c6709b40-130b-4fc4-b5f7-5d52d3dfe008};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{c6709b40-130b-4fc4-b5f7-5d52d3dfe008};2;P;3727;MAT-N-160;{f7e1fffa-f728-4b10-9d4a-18b723129667};127
{c6709b40-130b-4fc4-b5f7-5d52d3dfe008};3;K;3.2;KERF;{f7e1fffa-f728-4b10-9d4a-18b723129667};127
{48e416b0-2a05-4c2f-b6e7-89b629f3218a};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{48e416b0-2a05-4c2f-b6e7-89b629f3218a};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{48e416b0-2a05-4c2f-b6e7-89b629f3218a};2;P;3727;MAT-N-162;{19d31851-c588-4bf8-b9da-89e2926af2e7};139
{48e416b0-2a05-4c2f-b6e7-89b629f3218a};3;K;3.2;KERF;{19d31851-c588-4bf8-b9da-89e2926af2e7};139
{fc5d77c2-3949-49f1-919c-66a231546aac};0;P;2464;MAT-N-164;{4fcc27b4-82b3-4c9d-ba6d-32df8d9b9194};133
{fc5d77c2-3949-49f1-919c-66a231546aac};1;K;2;KERF;{4fcc27b4-82b3-4c9d-ba6d-32df8d9b9194};133
