#VERSION 2
#CUTPLANS
{fefe55bc-392d-4b23-9bce-5e8ee02232fd};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{fefe55bc-392d-4b23-9bce-5e8ee02232fd};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{fefe55bc-392d-4b23-9bce-5e8ee02232fd};2;P;995;MAT-CS-184;{d0656d58-a9f5-4349-b65e-a5c385cb35d6};290
{fefe55bc-392d-4b23-9bce-5e8ee02232fd};3;K;3.2;KERF;{d0656d58-a9f5-4349-b65e-a5c385cb35d6};290
{fefe55bc-392d-4b23-9bce-5e8ee02232fd};4;P;2430;MAT-CS-185;{8c1bdbd7-122a-4666-88b8-51accd580e9b};291
{fefe55bc-392d-4b23-9bce-5e8ee02232fd};5;K;3.2;KERF;{8c1bdbd7-122a-4666-88b8-51accd580e9b};291
{fefe55bc-392d-4b23-9bce-5e8ee02232fd};6;P;2465;MAT-CS-186;{b460c7b9-d7e0-435a-aeba-adca40b40d57};293
{fefe55bc-392d-4b23-9bce-5e8ee02232fd};7;K;3.2;KERF;{b460c7b9-d7e0-435a-aeba-adca40b40d57};293
{4f6cc8e0-6123-4779-9b1d-ae80d6b461c6};0;P;1055;MAT-CS-188;{60f8ed79-9d23-4803-af63-a3d268dc5bd5};292
{4f6cc8e0-6123-4779-9b1d-ae80d6b461c6};1;K;2;KERF;{60f8ed79-9d23-4803-af63-a3d268dc5bd5};292
{329b08e2-e231-4a16-8410-d88cb8413539};0;P;1819;MAT-CS-190;{d38cde74-07c8-4f5c-9592-7de3861d7acc};297
{329b08e2-e231-4a16-8410-d88cb8413539};1;K;2;KERF;{d38cde74-07c8-4f5c-9592-7de3861d7acc};297
{bfe06b66-9af5-444b-b495-79e629e19d48};0;P;1807;MAT-CS-192;{3453baab-4497-41cb-a8bb-ce9ed8a2dd9e};297
{bfe06b66-9af5-444b-b495-79e629e19d48};1;K;3.2;KERF;{3453baab-4497-41cb-a8bb-ce9ed8a2dd9e};297
{2da51632-bcdb-46f1-ad92-2e297fb8a5b3};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{2da51632-bcdb-46f1-ad92-2e297fb8a5b3};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{2da51632-bcdb-46f1-ad92-2e297fb8a5b3};2;P;2162;MAT-CS-195;{8f31ffbd-39f1-4d80-a9f0-d1aa93e153ba};292
{2da51632-bcdb-46f1-ad92-2e297fb8a5b3};3;K;3.2;KERF;{8f31ffbd-39f1-4d80-a9f0-d1aa93e153ba};292
{2da51632-bcdb-46f1-ad92-2e297fb8a5b3};4;P;2162;MAT-CS-196;{749c7854-dac5-4515-a089-6591acb2e461};293
{2da51632-bcdb-46f1-ad92-2e297fb8a5b3};5;K;3.2;KERF;{749c7854-dac5-4515-a089-6591acb2e461};293
{2da51632-bcdb-46f1-ad92-2e297fb8a5b3};6;P;2162;MAT-CS-197;{0a4e6491-2d12-4363-9c8c-dc9b570b81f7};294
{2da51632-bcdb-46f1-ad92-2e297fb8a5b3};7;K;3.2;KERF;{0a4e6491-2d12-4363-9c8c-dc9b570b81f7};294
{6689a76a-aff8-47ed-9ead-85a5aae75608};0;P;605;MAT-CS-199;{71a365b5-4f5f-41e3-819d-2ff89dcad170};298
{6689a76a-aff8-47ed-9ead-85a5aae75608};1;K;2;KERF;{71a365b5-4f5f-41e3-819d-2ff89dcad170};298
{b88eeb13-47da-4ce9-beac-52e8a5324ca4};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{b88eeb13-47da-4ce9-beac-52e8a5324ca4};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{b88eeb13-47da-4ce9-beac-52e8a5324ca4};2;P;2405;MAT-CS-202;{d5ef6af6-d177-4ae4-9017-4953775f5a71};291
