#VERSION 2
#CUTPLANS
{4b7ec862-35d6-48e0-88e5-b01c9434ece2};0;P;1232;MAT-CM-604;{bda0580d-f6a2-4947-9d11-eec917ee637a};230
{4b7ec862-35d6-48e0-88e5-b01c9434ece2};1;K;3.2;KERF;{bda0580d-f6a2-4947-9d11-eec917ee637a};230
{4b7ec862-35d6-48e0-88e5-b01c9434ece2};2;P;1557;MAT-CM-605;{3eb21f35-b548-4487-af84-2a430fbe24a0};232
{4b7ec862-35d6-48e0-88e5-b01c9434ece2};3;K;3.2;KERF;{3eb21f35-b548-4487-af84-2a430fbe24a0};232
{416e0bc4-168a-4bb1-a1fc-996f209a9a05};0;P;1647;MAT-CM-607;{4c430474-73b9-4d1a-84a8-abf7159067ec};223
{416e0bc4-168a-4bb1-a1fc-996f209a9a05};1;K;3.2;KERF;{4c430474-73b9-4d1a-84a8-abf7159067ec};223
{958d4f80-1a27-459a-9a9f-0f6c7df0adb4};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{958d4f80-1a27-459a-9a9f-0f6c7df0adb4};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{958d4f80-1a27-459a-9a9f-0f6c7df0adb4};2;P;2462;MAT-CM-610;{154cfba9-d0bc-4649-8df7-a9cb576114c3};230
{958d4f80-1a27-459a-9a9f-0f6c7df0adb4};3;K;3.2;KERF;{154cfba9-d0bc-4649-8df7-a9cb576114c3};230
{958d4f80-1a27-459a-9a9f-0f6c7df0adb4};4;P;2462;MAT-CM-611;{649545f5-7843-4cb2-b71e-9b89230cb88d};231
{958d4f80-1a27-459a-9a9f-0f6c7df0adb4};5;K;3.2;KERF;{649545f5-7843-4cb2-b71e-9b89230cb88d};231
{92afa54c-12af-4a9b-879a-9941c0b69739};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{92afa54c-12af-4a9b-879a-9941c0b69739};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{92afa54c-12af-4a9b-879a-9941c0b69739};2;P;2462;MAT-CM-613;{b6379d4f-979b-401a-a765-ad96f463c8e2};232
