#VERSION 2
#CUTPLANS
{922ed33a-3d8d-42eb-a911-d5b075f94cd8};0;NOT_STARTED;Rod-B;NP-BAR12-4000;CM1;0;REUSABLE;RSM-481;73159184;;RSM-481;1720
{10eeee1f-40c1-4cd2-ae72-37f1f1e0b028};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{10eeee1f-40c1-4cd2-ae72-37f1f1e0b028};2;P;2895;MAT-U-963;{c0f608bd-1166-4e9d-b632-ed7c72854031};325 1/2
{10eeee1f-40c1-4cd2-ae72-37f1f1e0b028};3;K;3.2;KERF;{c0f608bd-1166-4e9d-b632-ed7c72854031};325 1/2
{10eeee1f-40c1-4cd2-ae72-37f1f1e0b028};4;P;2895;MAT-U-964;{75391abe-8c50-4fe5-bfce-68d32f308000};325 2/2
{10eeee1f-40c1-4cd2-ae72-37f1f1e0b028};5;K;3.2;KERF;{75391abe-8c50-4fe5-bfce-68d32f308000};325 2/2
{f2869bd7-57ed-45db-901e-1e971e51222a};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{f2869bd7-57ed-45db-901e-1e971e51222a};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{f2869bd7-57ed-45db-901e-1e971e51222a};2;P;2780;MAT-U-967;{78ae784f-f99d-469c-94b9-757bda955db4};325 1/2
{f2869bd7-57ed-45db-901e-1e971e51222a};3;K;2;KERF;{78ae784f-f99d-469c-94b9-757bda955db4};325 1/2
{a8d3514d-6ea8-4c78-807a-68f60ec32d48};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{a8d3514d-6ea8-4c78-807a-68f60ec32d48};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{a8d3514d-6ea8-4c78-807a-68f60ec32d48};2;P;2735;MAT-U-970;{6e6cd9ae-3a2f-4ecb-b498-d57fe2734c63};311 1/2
{a8d3514d-6ea8-4c78-807a-68f60ec32d48};3;K;2;KERF;{6e6cd9ae-3a2f-4ecb-b498-d57fe2734c63};311 1/2
{8af634f7-5754-40b5-8733-063db35434cd};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{8af634f7-5754-40b5-8733-063db35434cd};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{8af634f7-5754-40b5-8733-063db35434cd};2;P;2780;MAT-U-973;{07629f97-36f6-42a4-9051-592a808b6920};325 2/2
{8af634f7-5754-40b5-8733-063db35434cd};3;K;2;KERF;{07629f97-36f6-42a4-9051-592a808b6920};325 2/2
{ab8b1293-01af-4d1c-bda7-43264c1b2829};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{ab8b1293-01af-4d1c-bda7-43264c1b2829};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{ab8b1293-01af-4d1c-bda7-43264c1b2829};2;P;2735;MAT-U-976;{fd7f0139-d692-4b13-be54-240e6027f537};311 2/2
{ab8b1293-01af-4d1c-bda7-43264c1b2829};3;K;2;KERF;{fd7f0139-d692-4b13-be54-240e6027f537};311 2/2
{bf662e0d-a9fc-4f37-8e86-dd2586c73140};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{bf662e0d-a9fc-4f37-8e86-dd2586c73140};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{bf662e0d-a9fc-4f37-8e86-dd2586c73140};2;P;2675;MAT-U-979;{b78f9d02-88e3-412e-8a54-f942c7bbaed2};311 1/2
{bf662e0d-a9fc-4f37-8e86-dd2586c73140};3;K;2;KERF;{b78f9d02-88e3-412e-8a54-f942c7bbaed2};311 1/2
{bf662e0d-a9fc-4f37-8e86-dd2586c73140};4;P;2675;MAT-U-980;{b74fd926-2f15-4fee-8cd8-fcc7012d0204};311 2/2
{bf662e0d-a9fc-4f37-8e86-dd2586c73140};5;K;2;KERF;{b74fd926-2f15-4fee-8cd8-fcc7012d0204};311 2/2
{94a1663f-7118-4375-84ff-92af81a504ed};0;P;2727;MAT-U-982;{c70a43e9-46b7-46f6-a696-7e0f52dcacc3};311 1/2
{94a1663f-7118-4375-84ff-92af81a504ed};1;K;3.2;KERF;{c70a43e9-46b7-46f6-a696-7e0f52dcacc3};311 1/2
{d1dd7a07-8c48-4333-973e-189c862c3a9c};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{d1dd7a07-8c48-4333-973e-189c862c3a9c};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{d1dd7a07-8c48-4333-973e-189c862c3a9c};2;P;2145;MAT-U-985;{114f5c4e-a8d2-4e67-98f3-58b9bdc9c650};326
{d1dd7a07-8c48-4333-973e-189c862c3a9c};3;K;3.2;KERF;{114f5c4e-a8d2-4e67-98f3-58b9bdc9c650};326
{d1dd7a07-8c48-4333-973e-189c862c3a9c};4;P;2395;MAT-U-986;{4dc34bd7-c90d-4ce2-99ce-f5105d8de534};327
{d1dd7a07-8c48-4333-973e-189c862c3a9c};5;K;3.2;KERF;{4dc34bd7-c90d-4ce2-99ce-f5105d8de534};327
{6c8aed13-1f21-4366-ac35-188d2b135c71};0;P;2845;MAT-U-988;{37954be6-9c76-4f65-99d1-f5d395710271};311 1/2
{6c8aed13-1f21-4366-ac35-188d2b135c71};1;K;3.2;KERF;{37954be6-9c76-4f65-99d1-f5d395710271};311 1/2
{f3ba0ff0-e22e-41bd-937a-077f8a4d4206};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{f3ba0ff0-e22e-41bd-937a-077f8a4d4206};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{f3ba0ff0-e22e-41bd-937a-077f8a4d4206};2;P;2075;MAT-U-991;{17d64b76-70b2-4327-84ee-1c0a85295752};326
{f3ba0ff0-e22e-41bd-937a-077f8a4d4206};3;K;3.2;KERF;{17d64b76-70b2-4327-84ee-1c0a85295752};326
{f3ba0ff0-e22e-41bd-937a-077f8a4d4206};4;P;2325;MAT-U-992;{08e5561f-c67b-4f85-b6f9-4ac9f0fd9b7b};327
{f3ba0ff0-e22e-41bd-937a-077f8a4d4206};5;K;3.2;KERF;{08e5561f-c67b-4f85-b6f9-4ac9f0fd9b7b};327
{d0e391ea-f559-4920-b209-193e1ed045f9};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{d0e391ea-f559-4920-b209-193e1ed045f9};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{d0e391ea-f559-4920-b209-193e1ed045f9};2;P;2820;MAT-U-995;{b864b9f2-4be1-4c69-94a3-2d83848b9955};311 1/2
{d0e391ea-f559-4920-b209-193e1ed045f9};3;K;3.2;KERF;{b864b9f2-4be1-4c69-94a3-2d83848b9955};311 1/2
{d0e391ea-f559-4920-b209-193e1ed045f9};4;P;2820;MAT-U-996;{19430437-9ba2-4668-85f0-3882194a6a74};311 2/2
{d0e391ea-f559-4920-b209-193e1ed045f9};5;K;3.2;KERF;{19430437-9ba2-4668-85f0-3882194a6a74};311 2/2
{e2c99945-0c1e-4435-bb03-3af545ccf141};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{e2c99945-0c1e-4435-bb03-3af545ccf141};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{e2c99945-0c1e-4435-bb03-3af545ccf141};2;P;2145;MAT-U-999;{83b6a59e-f14d-4110-8c2d-9c378e3cdb97};326
{e2c99945-0c1e-4435-bb03-3af545ccf141};3;K;3.2;KERF;{83b6a59e-f14d-4110-8c2d-9c378e3cdb97};326
{e2c99945-0c1e-4435-bb03-3af545ccf141};4;P;2395;MAT-V-000;{9aac2fe3-73ac-4e0d-883b-cb480ee5097f};327
{e2c99945-0c1e-4435-bb03-3af545ccf141};5;K;3.2;KERF;{9aac2fe3-73ac-4e0d-883b-cb480ee5097f};327
{27534e74-8b85-4d4e-8ce6-20aad1d6be2a};0;P;2997;MAT-V-002;{ee4161b7-49cd-4730-b289-2f4af5e55347};311 1/2
{27534e74-8b85-4d4e-8ce6-20aad1d6be2a};1;K;3.2;KERF;{ee4161b7-49cd-4730-b289-2f4af5e55347};311 1/2
{1f7195ae-a093-4303-86c5-9595300acbe5};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{1f7195ae-a093-4303-86c5-9595300acbe5};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{1f7195ae-a093-4303-86c5-9595300acbe5};2;P;2997;MAT-V-004;{a40c1104-5912-41e7-a49a-7891000a06ce};311 2/2
{1f7195ae-a093-4303-86c5-9595300acbe5};3;K;3.2;KERF;{a40c1104-5912-41e7-a49a-7891000a06ce};311 2/2
{fdebec46-3d5c-4222-a30d-a72b1951f88e};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{fdebec46-3d5c-4222-a30d-a72b1951f88e};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{fdebec46-3d5c-4222-a30d-a72b1951f88e};2;P;2280;MAT-V-007;{3c8f9bbb-67ea-4fde-8f67-ea03d6402331};327
{fdebec46-3d5c-4222-a30d-a72b1951f88e};3;K;2;KERF;{3c8f9bbb-67ea-4fde-8f67-ea03d6402331};327
{b30ef705-4941-44bd-b805-226f01d2b340};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{b30ef705-4941-44bd-b805-226f01d2b340};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{b30ef705-4941-44bd-b805-226f01d2b340};2;P;2356;MAT-V-010;{70c32b0f-dfb1-4562-8662-687595160e2d};327
{b30ef705-4941-44bd-b805-226f01d2b340};3;K;2;KERF;{70c32b0f-dfb1-4562-8662-687595160e2d};327
{0e79cf81-fbc8-4f7f-99c0-91b516d04949};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{0e79cf81-fbc8-4f7f-99c0-91b516d04949};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{0e79cf81-fbc8-4f7f-99c0-91b516d04949};2;P;2727;MAT-V-013;{ae719c3d-620c-453b-b419-03ce35c07924};311 2/2
{0e79cf81-fbc8-4f7f-99c0-91b516d04949};3;K;3.2;KERF;{ae719c3d-620c-453b-b419-03ce35c07924};311 2/2
{2857541f-63cf-439f-8dee-6c771ef67c3c};0;P;2845;MAT-V-015;{96ff5c10-a149-458e-bb56-25631e07e463};311 2/2
{2857541f-63cf-439f-8dee-6c771ef67c3c};1;K;3.2;KERF;{96ff5c10-a149-458e-bb56-25631e07e463};311 2/2
#PIECES
{922ed33a-3d8d-42eb-a911-d5b075f94cd8};{2ac5f00e-3a66-4328-878a-dcaf7d9295c4};1720;NP-BAR12-4000;326
{e2208caa-5b67-446c-801a-f5c5fc925b84};{cfd29a2d-6b1e-4cd5-9eda-1abb69b5d544};2856;NP-ROLL70-5000;325 1/2
{e2208caa-5b67-446c-801a-f5c5fc925b84};{a4141c40-6c28-4268-9c4e-5c344ad2ef94};2106;NP-ROLL70-5000;326
{bd3c8743-6cb4-4fae-9b87-923d0735ea37};{3ef49b00-0f33-447b-84a1-b25c6b510f54};285;NP-BAR12-4000;326
{4ff4ddc2-a7c3-4c96-8bd0-218113029a35};{2261e65f-82a9-4547-b572-434f365f22a3};2856;NP-ROLL70-5000;325 2/2
{54fd5947-5f03-4f84-bc48-f16097177996};{ea83afdb-fc60-4179-bfff-db16a8140157};2048;NP-SL2;325 1/2
{54fd5947-5f03-4f84-bc48-f16097177996};{8706d2ed-23d2-4999-9722-39d63deadc97};2048;NP-SL2;325 2/2
{675229d4-8cac-4bad-a215-1643de18fdff};{d2c4d7ed-a302-45ea-b535-e5977f80e440};2048;NP-SL2;326
{675229d4-8cac-4bad-a215-1643de18fdff};{5c06b8e3-9f95-4a93-b131-035f56ef1c21};2048;NP-SL2;327
{2207bb70-5c88-45fc-bd8e-479d900cc6ab};{47caaf89-c425-483f-84bf-a749a41959e0};2895;NP-TF;325 1/2
{2207bb70-5c88-45fc-bd8e-479d900cc6ab};{6235aeee-8005-4190-a156-75aec6cb2bf2};2895;NP-TF;325 2/2
{0531e03b-de82-40e4-93ad-7eab2a58feab};{0d1c3891-f799-4c3b-a276-15ad188e1fa1};2825;NP-SZ;325 1/2
