#VERSION 2
#CUTPLANS
{b47d219f-6f21-449d-9905-7479eb457da5};0;NOT_STARTED;Rod-B;NP-BAR12-4000;CM1;0;REUSABLE;RSM-481;47387712;;RSM-481;1720
{f62f3f25-f837-43c3-b929-fe875de79996};1;NOT_STARTED;Rod-D;NP-ROLL70-5000;CM1;2;STOCK;MAT-U-709;1;;MAT-U-709;5000
{70d0da7c-fd4d-4e34-9568-2803d04075b8};2;NOT_STARTED;Rod-E;NP-TF;CM2;3.2;STOCK;MAT-U-712;1;;MAT-U-712;6000
{d719a828-da6d-4080-a44b-4d303bb8b1af};3;NOT_STARTED;Rod-F;NP-T;CM2;3.2;STOCK;MAT-U-716;1;;MAT-U-716;6000
{5eee5ff7-3af5-4ce1-bef8-47bd1b7c4af1};4;NOT_STARTED;Rod-G;NP-ROLL70-6000;CM1;2;REUSABLE;L=2990;1;;L=2990;2990
{3ee0cf89-2129-4d6c-ae4c-8deed3fb80ff};5;NOT_STARTED;Rod-H;NP-SZ;CM2;3.2;STOCK;MAT-U-722;1;;MAT-U-722;6000
{fe1d56e3-475f-4807-88e0-aac40556833a};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{fe1d56e3-475f-4807-88e0-aac40556833a};2;P;2048;MAT-U-730;{18d6ab18-ce75-4cd1-b8e0-efa853b413ae};326
{fe1d56e3-475f-4807-88e0-aac40556833a};3;K;3.2;KERF;{18d6ab18-ce75-4cd1-b8e0-efa853b413ae};326
{fe1d56e3-475f-4807-88e0-aac40556833a};4;P;2048;MAT-U-731;{82c10c5c-3ccd-4c7c-8c78-4ca1cb1f8574};327
{fe1d56e3-475f-4807-88e0-aac40556833a};5;K;3.2;KERF;{82c10c5c-3ccd-4c7c-8c78-4ca1cb1f8574};327
{1ba77a6a-1666-4e5f-85a6-873d7c7da797};0;P;285;MAT-U-733;{07215cae-4811-44a5-8554-68d50cf767b4};326
{1ba77a6a-1666-4e5f-85a6-873d7c7da797};1;K;2;KERF;{07215cae-4811-44a5-8554-68d50cf767b4};326
{ef947eea-67f4-4f6d-891d-40de9a430efa};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{ef947eea-67f4-4f6d-891d-40de9a430efa};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{ef947eea-67f4-4f6d-891d-40de9a430efa};2;P;2735;MAT-U-736;{3f947972-511f-4cd5-aea1-8d84c32eb957};311 1/2
