#VERSION 2
#CUTPLANS
{0f771982-a7b2-4d52-ae83-2e7910e3f380};4;P;2180;MAT-W-972;{a1d449d6-f7ac-46ad-b8e2-37a000829946};315
{0f771982-a7b2-4d52-ae83-2e7910e3f380};5;K;3.2;KERF;{a1d449d6-f7ac-46ad-b8e2-37a000829946};315
{1c2ad81f-4f74-4607-900e-80a4bde102e9};0;P;897;MAT-W-974;{fb4e2594-0d4d-4e8b-91b4-115b8f8c0f2d};315
{1c2ad81f-4f74-4607-900e-80a4bde102e9};1;K;3.2;KERF;{fb4e2594-0d4d-4e8b-91b4-115b8f8c0f2d};315
{c1e52469-1f65-4f91-9fd9-440b158bf40b};0;P;897;MAT-W-976;{4b6b5306-9d23-48d7-b02b-c035de64f33a};314
{c1e52469-1f65-4f91-9fd9-440b158bf40b};1;K;3.2;KERF;{4b6b5306-9d23-48d7-b02b-c035de64f33a};314
{ace5a651-697c-4eb6-af21-67b34f798800};0;P;897;MAT-W-977;{1bf70f4e-1f3f-4cb9-88fb-14403f072145};315
{ace5a651-697c-4eb6-af21-67b34f798800};1;K;3.2;KERF;{1bf70f4e-1f3f-4cb9-88fb-14403f072145};315
#PIECES
{ef04b516-cc3e-4b73-b546-6572697593eb};{51dc1aa4-98fd-4510-9a53-ead673445888};2532;NP-CZ-7016;314
{ef04b516-cc3e-4b73-b546-6572697593eb};{b0525617-a973-42a3-a2d4-3fd9b22c37b0};2087;NP-CZ-7016;315
{20508b9a-f6ef-4efd-b4c3-1db808763bdc};{e3289145-0432-4e1b-88fb-52e50696f1a1};2650;NP-TF-7016;314
{20508b9a-f6ef-4efd-b4c3-1db808763bdc};{007dd4cd-80ea-46bd-ae0a-c5b087b6ae73};2205;NP-TF-7016;315
{e887a897-0b36-4e32-ba53-f62186abf792};{75c6b8c9-b7c4-45d2-8ae1-32e19f2106f6};897;NP-CL2+CLT2+CLB2-7016;314
{c1fa4421-c300-43ec-a3e5-1b4573e2a1a7};{d86a3019-a398-45d5-bba0-e5a23cb3310d};2545;NP-ROLL70-5000;314
{c1fa4421-c300-43ec-a3e5-1b4573e2a1a7};{e822dc88-c374-4a05-8d94-4b70a5826f76};2100;NP-ROLL70-5000;315
{9f349f54-1f48-4bb9-99c8-b0bea8893f88};{4ca20c39-5963-4512-a05a-2537dba22e1b};2480;NP-BAR20-6000;314
{9f349f54-1f48-4bb9-99c8-b0bea8893f88};{3e59abce-56fe-4b1b-9903-706735fa7dec};2035;NP-BAR20-6000;315
{0f771982-a7b2-4d52-ae83-2e7910e3f380};{4b71b64b-1b2d-489b-b56a-39a68f5a4e08};2625;NP-T-7016;314
{0f771982-a7b2-4d52-ae83-2e7910e3f380};{a1d449d6-f7ac-46ad-b8e2-37a000829946};2180;NP-T-7016;315
{1c2ad81f-4f74-4607-900e-80a4bde102e9};{fb4e2594-0d4d-4e8b-91b4-115b8f8c0f2d};897;NP-CL2+CLT2+CLB2-7016;315
{c1e52469-1f65-4f91-9fd9-440b158bf40b};{4b6b5306-9d23-48d7-b02b-c035de64f33a};897;NP-CLB2;314
{ace5a651-697c-4eb6-af21-67b34f798800};{1bf70f4e-1f3f-4cb9-88fb-14403f072145};897;NP-CLB2;315
#LEFTOVERS
{ef04b516-cc3e-4b73-b546-6572697593eb};selejt;674.6
{20508b9a-f6ef-4efd-b4c3-1db808763bdc};RST-C-996;1120.4
{e887a897-0b36-4e32-ba53-f62186abf792};RST-C-997;949.8
{c1fa4421-c300-43ec-a3e5-1b4573e2a1a7};selejt;349
{9f349f54-1f48-4bb9-99c8-b0bea8893f88};RST-C-998;1629
{0f771982-a7b2-4d52-ae83-2e7910e3f380};RST-C-999;1170.4
{1c2ad81f-4f74-4607-900e-80a4bde102e9};selejt;119.8
{c1e52469-1f65-4f91-9fd9-440b158bf40b};RST-D-000;899.8
{ace5a651-697c-4eb6-af21-67b34f798800};selejt;99.8
