#VERSION 2
#CUTPLANS
{b8f2640b-3438-4cd9-833d-ebb550b8e7d6};2;P;710;MAT-T-529;{668141be-086b-4707-a9d1-e20776c4f9c0};2311
{b8f2640b-3438-4cd9-833d-ebb550b8e7d6};3;K;3.2;KERF;{668141be-086b-4707-a9d1-e20776c4f9c0};2311
{b8f2640b-3438-4cd9-833d-ebb550b8e7d6};4;P;750;MAT-T-530;{19724ab6-661a-4200-8ade-68452460c9ab};2313
{b8f2640b-3438-4cd9-833d-ebb550b8e7d6};5;K;3.2;KERF;{19724ab6-661a-4200-8ade-68452460c9ab};2313
{0716e93c-2b7a-4e0a-bb13-2abbc9e14bfe};0;P;820;MAT-T-532;{20782555-3912-4482-bed3-b35f0ee3344f};2312
{0716e93c-2b7a-4e0a-bb13-2abbc9e14bfe};1;K;3.2;KERF;{20782555-3912-4482-bed3-b35f0ee3344f};2312
{0716e93c-2b7a-4e0a-bb13-2abbc9e14bfe};2;P;930;MAT-T-533;{2904acfb-7ec0-4c83-baf0-3ffaeb911af4};2313
{0716e93c-2b7a-4e0a-bb13-2abbc9e14bfe};3;K;3.2;KERF;{2904acfb-7ec0-4c83-baf0-3ffaeb911af4};2313
{a8ed0668-6536-400d-9878-b4f458b44820};0;P;675;MAT-T-535;{3910cd55-df88-4b6f-89f7-da4b3ff0123c};2310
{a8ed0668-6536-400d-9878-b4f458b44820};1;K;3.2;KERF;{3910cd55-df88-4b6f-89f7-da4b3ff0123c};2310
{a8ed0668-6536-400d-9878-b4f458b44820};2;P;705;MAT-T-536;{f812551e-6df6-412e-b65b-4143ade2302b};2311
{a8ed0668-6536-400d-9878-b4f458b44820};3;K;3.2;KERF;{f812551e-6df6-412e-b65b-4143ade2302b};2311
{a8ed0668-6536-400d-9878-b4f458b44820};4;P;635;MAT-T-537;{3abb2e33-d26c-48e1-9a8f-ed311a7666a3};2312
{a8ed0668-6536-400d-9878-b4f458b44820};5;K;3.2;KERF;{3abb2e33-d26c-48e1-9a8f-ed311a7666a3};2312
{a8ed0668-6536-400d-9878-b4f458b44820};6;P;745;MAT-T-538;{c21b4988-d81a-4c0e-b2ac-a7db9f6c5999};2313
{a8ed0668-6536-400d-9878-b4f458b44820};7;K;3.2;KERF;{c21b4988-d81a-4c0e-b2ac-a7db9f6c5999};2313
{e8187357-ee5c-4796-a985-35f24c919e24};0;P;1300;MAT-T-541;{2714d5af-a478-4aa0-a4d4-da3e216e51c0};2300
{e8187357-ee5c-4796-a985-35f24c919e24};1;K;3.2;KERF;{2714d5af-a478-4aa0-a4d4-da3e216e51c0};2300
{76dccfc1-3b66-4ebe-9e31-95dd0acc19c8};0;P;955;MAT-T-543;{7849a8bf-47ba-4b37-88fe-2afd8f5465af};2305
{76dccfc1-3b66-4ebe-9e31-95dd0acc19c8};1;K;3.2;KERF;{7849a8bf-47ba-4b37-88fe-2afd8f5465af};2305
{39bbd10a-83ea-49df-9d7b-fdff50c152d6};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{39bbd10a-83ea-49df-9d7b-fdff50c152d6};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{39bbd10a-83ea-49df-9d7b-fdff50c152d6};2;P;960;MAT-T-546;{855bd1eb-ee8a-4840-9490-6840793f5577};2300
{39bbd10a-83ea-49df-9d7b-fdff50c152d6};3;K;3.2;KERF;{855bd1eb-ee8a-4840-9490-6840793f5577};2300
{39bbd10a-83ea-49df-9d7b-fdff50c152d6};4;P;965;MAT-T-547;{c2b90897-4564-4b8d-b85e-1f831da25d70};2305
{39bbd10a-83ea-49df-9d7b-fdff50c152d6};5;K;3.2;KERF;{c2b90897-4564-4b8d-b85e-1f831da25d70};2305
{39bbd10a-83ea-49df-9d7b-fdff50c152d6};6;P;965;MAT-T-548;{1ba5f265-f7c6-4478-99cc-7e2ca32a8f48};2306
{39bbd10a-83ea-49df-9d7b-fdff50c152d6};7;K;3.2;KERF;{1ba5f265-f7c6-4478-99cc-7e2ca32a8f48};2306
{22ea023e-f29a-46f7-85fa-b1170a68516f};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
