#VERSION 2
#CUTPLANS
{d1f86f07-7e67-4ff7-b887-7d6ca25c0523};6;P;2325;MAT-V-592;{6d492ac9-bdf2-44fe-abfe-cd68cae35b4b};354
{d1f86f07-7e67-4ff7-b887-7d6ca25c0523};7;K;2;KERF;{6d492ac9-bdf2-44fe-abfe-cd68cae35b4b};354
{60098f4c-38a4-4281-a3fa-3be72be8d0cf};0;P;1947;MAT-V-594;{2c170b36-30de-4114-99c7-80b400bddec4};344
{60098f4c-38a4-4281-a3fa-3be72be8d0cf};1;K;3.2;KERF;{2c170b36-30de-4114-99c7-80b400bddec4};344
{8381d78c-2d12-408e-9c6c-d02d6dcafb4a};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{8381d78c-2d12-408e-9c6c-d02d6dcafb4a};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{8381d78c-2d12-408e-9c6c-d02d6dcafb4a};2;P;1297;MAT-V-597;{e5e99a39-07c2-4335-8ad8-c59d8c67c1de};345
{8381d78c-2d12-408e-9c6c-d02d6dcafb4a};3;K;3.2;KERF;{e5e99a39-07c2-4335-8ad8-c59d8c67c1de};345
{8381d78c-2d12-408e-9c6c-d02d6dcafb4a};4;P;2362;MAT-V-598;{f05cdb56-5d4f-41aa-a26a-d3a74ad3a77b};352
{8381d78c-2d12-408e-9c6c-d02d6dcafb4a};5;K;3.2;KERF;{f05cdb56-5d4f-41aa-a26a-d3a74ad3a77b};352
{8381d78c-2d12-408e-9c6c-d02d6dcafb4a};6;P;2377;MAT-V-599;{0cc820dd-aa90-4f07-afb4-f7635368c427};354
{8381d78c-2d12-408e-9c6c-d02d6dcafb4a};7;K;3.2;KERF;{0cc820dd-aa90-4f07-afb4-f7635368c427};354
{c8d874c8-4bd8-4f91-90db-9e99a3e370be};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{c8d874c8-4bd8-4f91-90db-9e99a3e370be};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{c8d874c8-4bd8-4f91-90db-9e99a3e370be};2;P;1987;MAT-V-602;{e8023af6-1e73-49c8-abf5-f09cea0cd124};345
{c8d874c8-4bd8-4f91-90db-9e99a3e370be};3;K;3.2;KERF;{e8023af6-1e73-49c8-abf5-f09cea0cd124};345
{c8d874c8-4bd8-4f91-90db-9e99a3e370be};4;P;2097;MAT-V-603;{5f662a7b-76b7-4600-ae84-06db805b52da};351
{c8d874c8-4bd8-4f91-90db-9e99a3e370be};5;K;3.2;KERF;{5f662a7b-76b7-4600-ae84-06db805b52da};351
{c8d874c8-4bd8-4f91-90db-9e99a3e370be};6;P;2097;MAT-V-604;{b35c547a-9fad-4372-a0ba-fac065b55af2};352
{c8d874c8-4bd8-4f91-90db-9e99a3e370be};7;K;3.2;KERF;{b35c547a-9fad-4372-a0ba-fac065b55af2};352
{b8aff96f-5cd5-498c-a435-0f60b4bd056a};0;P;929;MAT-V-606;{603958c8-6c27-4aed-9c45-2bce08f5a0a5};356
{b8aff96f-5cd5-498c-a435-0f60b4bd056a};1;K;2;KERF;{603958c8-6c27-4aed-9c45-2bce08f5a0a5};356
{fd5bef1b-bab7-4ae3-8769-13281901b9ee};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{fd5bef1b-bab7-4ae3-8769-13281901b9ee};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{fd5bef1b-bab7-4ae3-8769-13281901b9ee};2;P;1390;MAT-V-609;{1be92b57-3f10-4f76-bf1e-395c0b0267f8};344
{fd5bef1b-bab7-4ae3-8769-13281901b9ee};3;K;3.2;KERF;{1be92b57-3f10-4f76-bf1e-395c0b0267f8};344
{fd5bef1b-bab7-4ae3-8769-13281901b9ee};4;P;1390;MAT-V-610;{938aca63-a821-48d9-94af-e998424b0a9b};345
{fd5bef1b-bab7-4ae3-8769-13281901b9ee};5;K;3.2;KERF;{938aca63-a821-48d9-94af-e998424b0a9b};345
{fd5bef1b-bab7-4ae3-8769-13281901b9ee};6;P;2455;MAT-V-611;{28953378-8495-47b1-ae19-1f36ba4035cb};352
{fd5bef1b-bab7-4ae3-8769-13281901b9ee};7;K;3.2;KERF;{28953378-8495-47b1-ae19-1f36ba4035cb};352
