#VERSION 2
#CUTPLANS
{f36282a8-c687-4c0e-8b1f-be6d2d98d1ad};1;K;3.2;KERF;{e79cb3be-4b2a-4a72-9ad5-0ebdd27f4724};230
{f36282a8-c687-4c0e-8b1f-be6d2d98d1ad};2;P;1557;MAT-CN-848;{9b443524-4a78-46cc-8b14-423335766c41};232
{f36282a8-c687-4c0e-8b1f-be6d2d98d1ad};3;K;3.2;KERF;{9b443524-4a78-46cc-8b14-423335766c41};232
{8f7266f2-1443-4000-9073-27a7b5993e0e};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{8f7266f2-1443-4000-9073-27a7b5993e0e};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{8f7266f2-1443-4000-9073-27a7b5993e0e};2;P;3190;MAT-CN-851;{e63ab415-cc76-4b9c-b558-ebc29d1e82e6};223
{8f7266f2-1443-4000-9073-27a7b5993e0e};3;K;3.2;KERF;{e63ab415-cc76-4b9c-b558-ebc29d1e82e6};223
{8f7266f2-1443-4000-9073-27a7b5993e0e};4;P;1325;MAT-CN-852;{b68d11f4-dbeb-4597-b551-732c6d5d576c};230
{8f7266f2-1443-4000-9073-27a7b5993e0e};5;K;3.2;KERF;{b68d11f4-dbeb-4597-b551-732c6d5d576c};230
{8f7266f2-1443-4000-9073-27a7b5993e0e};6;P;1275;MAT-CN-853;{78afc3ca-cd12-4d0e-baa6-35d74375c37a};231
{8f7266f2-1443-4000-9073-27a7b5993e0e};7;K;3.2;KERF;{78afc3ca-cd12-4d0e-baa6-35d74375c37a};231
{4f844c5e-d47a-4021-b216-90ecb0b06229};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{4f844c5e-d47a-4021-b216-90ecb0b06229};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{4f844c5e-d47a-4021-b216-90ecb0b06229};2;P;2462;MAT-CN-856;{05ae7fde-1328-41f1-ba0e-02e89e75b193};230
{4f844c5e-d47a-4021-b216-90ecb0b06229};3;K;3.2;KERF;{05ae7fde-1328-41f1-ba0e-02e89e75b193};230
{4f844c5e-d47a-4021-b216-90ecb0b06229};4;P;2462;MAT-CN-857;{3a101214-5fc2-49fb-bdd7-843f534bd0f0};231
{4f844c5e-d47a-4021-b216-90ecb0b06229};5;K;3.2;KERF;{3a101214-5fc2-49fb-bdd7-843f534bd0f0};231
{ea9a0623-91e7-4fc3-9b11-d17b5d9355e2};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{ea9a0623-91e7-4fc3-9b11-d17b5d9355e2};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{ea9a0623-91e7-4fc3-9b11-d17b5d9355e2};2;P;2462;MAT-CN-859;{21ca6f53-057b-459e-ad35-b23eccc330b0};232
{ea9a0623-91e7-4fc3-9b11-d17b5d9355e2};3;K;3.2;KERF;{21ca6f53-057b-459e-ad35-b23eccc330b0};232
{844a5e57-11b0-4ec2-9a77-3e0b0018b369};0;P;1194;MAT-CN-861;{f54187cf-b809-4f25-995d-b5ec6d91a8d1};231
{844a5e57-11b0-4ec2-9a77-3e0b0018b369};1;K;2;KERF;{f54187cf-b809-4f25-995d-b5ec6d91a8d1};231
{da0aab4d-1ff6-47e5-9f7f-e7055df6b9e7};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{da0aab4d-1ff6-47e5-9f7f-e7055df6b9e7};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{da0aab4d-1ff6-47e5-9f7f-e7055df6b9e7};2;P;3097;MAT-CN-864;{5aff936c-3079-4c1f-aed2-bde3eb837574};223
{da0aab4d-1ff6-47e5-9f7f-e7055df6b9e7};3;K;3.2;KERF;{5aff936c-3079-4c1f-aed2-bde3eb837574};223
{da0aab4d-1ff6-47e5-9f7f-e7055df6b9e7};4;P;1182;MAT-CN-865;{29fcc289-90fc-46b8-bed6-2a5b8b929c4c};231
