#VERSION 2
#CUTPLANS
{d07470db-7752-48c4-84f7-3aabd6fa5202};5;K;3.2;KERF;{bb26e8fd-d638-4178-80d0-9b6024430d07};315
{42212898-aa75-4c13-bd24-95ed89fcf744};0;P;897;MAT-W-948;{f9711354-8261-4bcf-b4b1-b2dbc58c2fe2};315
{42212898-aa75-4c13-bd24-95ed89fcf744};1;K;3.2;KERF;{f9711354-8261-4bcf-b4b1-b2dbc58c2fe2};315
{b7111bf2-5f9b-4533-b04a-9249e58e67a6};0;P;897;MAT-W-950;{d714ab04-46b8-4775-a5ee-cf0ff252034d};314
{b7111bf2-5f9b-4533-b04a-9249e58e67a6};1;K;3.2;KERF;{d714ab04-46b8-4775-a5ee-cf0ff252034d};314
{d970e154-3889-460e-8bfc-a37041eefe2b};0;P;897;MAT-W-951;{b8d7bdd3-4210-4dee-aafd-160554b8617d};315
{d970e154-3889-460e-8bfc-a37041eefe2b};1;K;3.2;KERF;{b8d7bdd3-4210-4dee-aafd-160554b8617d};315
#PIECES
{8e02558c-7e51-4721-89dc-cc57033dd060};{61fa74b3-32a3-4f2d-90e8-aceb6f288513};2532;NP-CZ-7016;314
{8e02558c-7e51-4721-89dc-cc57033dd060};{63be48b7-801e-456a-a72e-0eee4e33b14b};2087;NP-CZ-7016;315
{aa11ab37-836a-4a7c-9ecb-a7cbe03f5883};{9eeadc59-9427-48ac-9887-2d63650bed5a};2650;NP-TF-7016;314
{aa11ab37-836a-4a7c-9ecb-a7cbe03f5883};{1176f4f2-bd5a-4aaa-a730-983d87391cb5};2205;NP-TF-7016;315
{7499e00d-ac0c-42ab-a3a4-578a62e75327};{d748e25d-adb5-45cd-9c9a-e34f5c296bc7};897;NP-CL2+CLT2+CLB2-7016;314
{9cd48aac-d02d-4313-8f81-f64605b19c6f};{06bc020a-36ca-47ab-9e30-091d6273c05a};2545;NP-ROLL70-5000;314
{9cd48aac-d02d-4313-8f81-f64605b19c6f};{921c7a45-ee26-4ee8-a3cd-08ef304a296c};2100;NP-ROLL70-5000;315
{ed84f65a-8a22-402e-944b-8c2607d7a115};{48d06508-7e7b-44ca-a2ce-d4af2652deca};2480;NP-BAR20-6000;314
{ed84f65a-8a22-402e-944b-8c2607d7a115};{f966b495-f45f-45ea-b11c-8aabc9f989fe};2035;NP-BAR20-6000;315
{d07470db-7752-48c4-84f7-3aabd6fa5202};{17c6c1bf-7af6-4296-8d29-788879b6aad2};2625;NP-T-7016;314
{d07470db-7752-48c4-84f7-3aabd6fa5202};{bb26e8fd-d638-4178-80d0-9b6024430d07};2180;NP-T-7016;315
{42212898-aa75-4c13-bd24-95ed89fcf744};{f9711354-8261-4bcf-b4b1-b2dbc58c2fe2};897;NP-CL2+CLT2+CLB2-7016;315
{b7111bf2-5f9b-4533-b04a-9249e58e67a6};{d714ab04-46b8-4775-a5ee-cf0ff252034d};897;NP-CLB2;314
{d970e154-3889-460e-8bfc-a37041eefe2b};{b8d7bdd3-4210-4dee-aafd-160554b8617d};897;NP-CLB2;315
#LEFTOVERS
{8e02558c-7e51-4721-89dc-cc57033dd060};selejt;674.6
{aa11ab37-836a-4a7c-9ecb-a7cbe03f5883};RST-C-991;1120.4
{7499e00d-ac0c-42ab-a3a4-578a62e75327};RST-C-992;949.8
{9cd48aac-d02d-4313-8f81-f64605b19c6f};selejt;349
{ed84f65a-8a22-402e-944b-8c2607d7a115};RST-C-993;1629
{d07470db-7752-48c4-84f7-3aabd6fa5202};RST-C-994;1170.4
{42212898-aa75-4c13-bd24-95ed89fcf744};selejt;119.8
{b7111bf2-5f9b-4533-b04a-9249e58e67a6};RST-C-995;899.8
{d970e154-3889-460e-8bfc-a37041eefe2b};selejt;99.8
