#VERSION 2
#CUTPLANS
{7c0fa47c-6364-4b55-b8f9-e3b9216c141b};3;K;3.2;KERF;{952227b8-d8fc-474d-bb75-54cd81eec870};223
{7c0fa47c-6364-4b55-b8f9-e3b9216c141b};4;P;1325;MAT-CP-147;{38a78bf4-42c4-4347-afc9-2bf123886cb4};230
{7c0fa47c-6364-4b55-b8f9-e3b9216c141b};5;K;3.2;KERF;{38a78bf4-42c4-4347-afc9-2bf123886cb4};230
{7c0fa47c-6364-4b55-b8f9-e3b9216c141b};6;P;1275;MAT-CP-148;{932794b7-ffe0-44ea-af7e-9aea332436a5};231
{7c0fa47c-6364-4b55-b8f9-e3b9216c141b};7;K;3.2;KERF;{932794b7-ffe0-44ea-af7e-9aea332436a5};231
{56b67d9e-88ba-4978-89aa-2b099c97ac9e};0;P;1232;MAT-CP-150;{b1059085-4400-40e1-a10c-f1de2491ac56};230
{56b67d9e-88ba-4978-89aa-2b099c97ac9e};1;K;3.2;KERF;{b1059085-4400-40e1-a10c-f1de2491ac56};230
{56b67d9e-88ba-4978-89aa-2b099c97ac9e};2;P;1557;MAT-CP-151;{25ce9f35-c162-4f9c-9c67-a169fb301c06};232
{56b67d9e-88ba-4978-89aa-2b099c97ac9e};3;K;3.2;KERF;{25ce9f35-c162-4f9c-9c67-a169fb301c06};232
{da601da0-8b12-416a-8447-3b0617fd92e5};0;P;1647;MAT-CP-153;{07576a04-bd3f-48af-8292-09443bf5557c};223
{da601da0-8b12-416a-8447-3b0617fd92e5};1;K;3.2;KERF;{07576a04-bd3f-48af-8292-09443bf5557c};223
{7a600289-f767-43c5-8610-a89f14d90181};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{7a600289-f767-43c5-8610-a89f14d90181};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{7a600289-f767-43c5-8610-a89f14d90181};2;P;2462;MAT-CP-156;{eb337404-69b2-4635-a307-a64d40b46d2f};230
{7a600289-f767-43c5-8610-a89f14d90181};3;K;3.2;KERF;{eb337404-69b2-4635-a307-a64d40b46d2f};230
{7a600289-f767-43c5-8610-a89f14d90181};4;P;2462;MAT-CP-157;{3e707cc6-299b-4c43-afe2-0d2a11f6a813};231
{7a600289-f767-43c5-8610-a89f14d90181};5;K;3.2;KERF;{3e707cc6-299b-4c43-afe2-0d2a11f6a813};231
{99358698-533f-44ec-96b7-63d6a78a401b};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
