#VERSION 2
#CUTPLANS
{252363f7-1711-45c6-9c94-67a153f7da73};3;K;3.2;KERF;{c80eb22d-a616-4377-a38a-224d4736e871};223
{252363f7-1711-45c6-9c94-67a153f7da73};4;P;1350;MAT-CM-340;{866ada41-75d4-478d-b3ec-2804b5cf6b7a};230
{252363f7-1711-45c6-9c94-67a153f7da73};5;K;3.2;KERF;{866ada41-75d4-478d-b3ec-2804b5cf6b7a};230
{252363f7-1711-45c6-9c94-67a153f7da73};6;P;1300;MAT-CM-341;{969217e9-d9a9-4bae-bbbc-710ec41d4036};231
{252363f7-1711-45c6-9c94-67a153f7da73};7;K;3.2;KERF;{969217e9-d9a9-4bae-bbbc-710ec41d4036};231
{6a3d27e5-c12d-4f41-a86f-81952c8c4da9};0;P;1647;MAT-CM-343;{c14ca1a1-7c74-4922-8032-50bb4e05584d};223
{6a3d27e5-c12d-4f41-a86f-81952c8c4da9};1;K;3.2;KERF;{c14ca1a1-7c74-4922-8032-50bb4e05584d};223
{185351eb-046d-464d-a512-84fa91060e6f};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{185351eb-046d-464d-a512-84fa91060e6f};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{185351eb-046d-464d-a512-84fa91060e6f};2;P;2462;MAT-CM-346;{ab6fd8c3-1bda-4878-b75e-bec760e34da9};230
{185351eb-046d-464d-a512-84fa91060e6f};3;K;3.2;KERF;{ab6fd8c3-1bda-4878-b75e-bec760e34da9};230
{185351eb-046d-464d-a512-84fa91060e6f};4;P;2462;MAT-CM-347;{797ed88b-7f7d-45de-9098-809186085468};231
{185351eb-046d-464d-a512-84fa91060e6f};5;K;3.2;KERF;{797ed88b-7f7d-45de-9098-809186085468};231
{694b48b9-82c7-436f-b45e-1364978f9e1b};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{694b48b9-82c7-436f-b45e-1364978f9e1b};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{694b48b9-82c7-436f-b45e-1364978f9e1b};2;P;2462;MAT-CM-350;{1a06fe52-70fd-43cc-b06f-75c965bc8b00};230
{694b48b9-82c7-436f-b45e-1364978f9e1b};3;K;3.2;KERF;{1a06fe52-70fd-43cc-b06f-75c965bc8b00};230
{694b48b9-82c7-436f-b45e-1364978f9e1b};4;P;2462;MAT-CM-351;{1b515ffa-73d2-4d9c-91cd-cb8d59b5d610};231
{694b48b9-82c7-436f-b45e-1364978f9e1b};5;K;3.2;KERF;{1b515ffa-73d2-4d9c-91cd-cb8d59b5d610};231
{7240359a-af02-4385-9692-551e46899203};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{7240359a-af02-4385-9692-551e46899203};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{7240359a-af02-4385-9692-551e46899203};2;P;2462;MAT-CM-353;{c498aec0-8997-4d4e-9902-5ee3efef832c};232
{7240359a-af02-4385-9692-551e46899203};3;K;3.2;KERF;{c498aec0-8997-4d4e-9902-5ee3efef832c};232
{d531579f-e5dd-4dfd-a177-bdc401f49139};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{d531579f-e5dd-4dfd-a177-bdc401f49139};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{d531579f-e5dd-4dfd-a177-bdc401f49139};2;P;2462;MAT-CM-356;{a3d64637-b625-4531-9498-a1a9300a981e};230
{d531579f-e5dd-4dfd-a177-bdc401f49139};3;K;3.2;KERF;{a3d64637-b625-4531-9498-a1a9300a981e};230
{d531579f-e5dd-4dfd-a177-bdc401f49139};4;P;2462;MAT-CM-357;{11e7a894-9b9d-4643-b1b4-1d2fbbf6ff4b};231
{d531579f-e5dd-4dfd-a177-bdc401f49139};5;K;3.2;KERF;{11e7a894-9b9d-4643-b1b4-1d2fbbf6ff4b};231
{a0acecc0-4285-4050-8e1e-9ffabee6bd6a};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{a0acecc0-4285-4050-8e1e-9ffabee6bd6a};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{a0acecc0-4285-4050-8e1e-9ffabee6bd6a};2;P;2462;MAT-CM-359;{4dfb6673-856f-448f-875a-beef4b4e03fa};232
{a0acecc0-4285-4050-8e1e-9ffabee6bd6a};3;K;3.2;KERF;{4dfb6673-856f-448f-875a-beef4b4e03fa};232
{291ccde3-4c04-4a83-9849-a09d7f773360};0;P;1182;MAT-CM-361;{c7efb537-a357-49c9-8a2a-741b4d8486fb};231
{291ccde3-4c04-4a83-9849-a09d7f773360};1;K;3.2;KERF;{c7efb537-a357-49c9-8a2a-741b4d8486fb};231
{a776c56d-d58d-4ffb-9638-973f9b4e731c};0;P;1194;MAT-CM-363;{675aaa01-7030-4442-8bab-9504223f8750};231
{a776c56d-d58d-4ffb-9638-973f9b4e731c};1;K;2;KERF;{675aaa01-7030-4442-8bab-9504223f8750};231
{0a36cf71-31bd-408c-ba75-43b169826bfc};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{0a36cf71-31bd-408c-ba75-43b169826bfc};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{0a36cf71-31bd-408c-ba75-43b169826bfc};2;P;1650;MAT-CM-366;{a9cc96b8-ccb5-48fe-b18a-89acab512b94};232
{0a36cf71-31bd-408c-ba75-43b169826bfc};3;K;3.2;KERF;{a9cc96b8-ccb5-48fe-b18a-89acab512b94};232
{4bcee323-eb84-4c69-bf0c-0ac5fa7166e7};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
