#VERSION 2
#CUTPLANS
{579dfe61-6fbe-480a-a4d1-6eb1b4af2f97};1;K;2;KERF;{28128f09-a66e-4f33-b462-a6d22a17847f};230
{579dfe61-6fbe-480a-a4d1-6eb1b4af2f97};2;P;1569;MAT-CP-248;{9d9672eb-ed4b-4ff8-a96e-7805dbfa1be4};232
{579dfe61-6fbe-480a-a4d1-6eb1b4af2f97};3;K;2;KERF;{9d9672eb-ed4b-4ff8-a96e-7805dbfa1be4};232
{9ab0f51a-c964-4ad6-8582-c4b3aae8b66b};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{9ab0f51a-c964-4ad6-8582-c4b3aae8b66b};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{9ab0f51a-c964-4ad6-8582-c4b3aae8b66b};2;P;3215;MAT-CP-251;{173fd725-c8c4-4c46-865c-21c46aa72b2f};223
{9ab0f51a-c964-4ad6-8582-c4b3aae8b66b};3;K;3.2;KERF;{173fd725-c8c4-4c46-865c-21c46aa72b2f};223
{9ab0f51a-c964-4ad6-8582-c4b3aae8b66b};4;P;1350;MAT-CP-252;{1562b5bc-cb9e-4af4-97c6-ae905beca18e};230
{9ab0f51a-c964-4ad6-8582-c4b3aae8b66b};5;K;3.2;KERF;{1562b5bc-cb9e-4af4-97c6-ae905beca18e};230
{9ab0f51a-c964-4ad6-8582-c4b3aae8b66b};6;P;1300;MAT-CP-253;{deb51c16-41a2-4719-b9fa-ad4924575537};231
{9ab0f51a-c964-4ad6-8582-c4b3aae8b66b};7;K;3.2;KERF;{deb51c16-41a2-4719-b9fa-ad4924575537};231
{2eccabdf-64ff-4ba9-866c-612804ab5b21};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{2eccabdf-64ff-4ba9-866c-612804ab5b21};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{2eccabdf-64ff-4ba9-866c-612804ab5b21};2;P;2462;MAT-CP-256;{a3c1ac35-f160-498c-bafe-67342d6da80b};230
{2eccabdf-64ff-4ba9-866c-612804ab5b21};3;K;3.2;KERF;{a3c1ac35-f160-498c-bafe-67342d6da80b};230
