#VERSION 2
#CUTPLANS
{2e4ca75f-6c31-418a-9fa6-41b509236401};7;K;3.2;KERF;{a42fabcd-b4cb-4143-8459-5100c80c5b96};231
{31ce92f1-42d8-4013-89d0-0ed5fda54ff0};0;P;1647;MAT-CP-298;{40fadc3b-a10f-4b14-b740-6b3f090a1e66};223
{31ce92f1-42d8-4013-89d0-0ed5fda54ff0};1;K;3.2;KERF;{40fadc3b-a10f-4b14-b740-6b3f090a1e66};223
{5906f6a2-b9e3-47dc-9f3c-4bf457beef55};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{5906f6a2-b9e3-47dc-9f3c-4bf457beef55};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{5906f6a2-b9e3-47dc-9f3c-4bf457beef55};2;P;3190;MAT-CP-301;{0a44b95c-d139-4bdb-aa5b-f47a68dd7911};223
{5906f6a2-b9e3-47dc-9f3c-4bf457beef55};3;K;3.2;KERF;{0a44b95c-d139-4bdb-aa5b-f47a68dd7911};223
{5906f6a2-b9e3-47dc-9f3c-4bf457beef55};4;P;1325;MAT-CP-302;{9c2b5a36-22d1-4430-b48d-6a52f24894c8};230
{5906f6a2-b9e3-47dc-9f3c-4bf457beef55};5;K;3.2;KERF;{9c2b5a36-22d1-4430-b48d-6a52f24894c8};230
{5906f6a2-b9e3-47dc-9f3c-4bf457beef55};6;P;1275;MAT-CP-303;{2e11e3db-4ffc-46f7-a964-abefb121b1fa};231
{5906f6a2-b9e3-47dc-9f3c-4bf457beef55};7;K;3.2;KERF;{2e11e3db-4ffc-46f7-a964-abefb121b1fa};231
{b12c762c-e355-48f4-a819-87ce3c7b04fa};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{b12c762c-e355-48f4-a819-87ce3c7b04fa};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{b12c762c-e355-48f4-a819-87ce3c7b04fa};2;P;2462;MAT-CP-306;{f4dbd43b-de3d-4213-ad13-76cd50c42fc4};230
{b12c762c-e355-48f4-a819-87ce3c7b04fa};3;K;3.2;KERF;{f4dbd43b-de3d-4213-ad13-76cd50c42fc4};230
{b12c762c-e355-48f4-a819-87ce3c7b04fa};4;P;2462;MAT-CP-307;{5ca2ebe8-2c16-4779-a95f-1f497eec34a1};231
{b12c762c-e355-48f4-a819-87ce3c7b04fa};5;K;3.2;KERF;{5ca2ebe8-2c16-4779-a95f-1f497eec34a1};231
{a454c81c-ada4-4a63-aa2f-320f3cb4d20b};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{a454c81c-ada4-4a63-aa2f-320f3cb4d20b};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{a454c81c-ada4-4a63-aa2f-320f3cb4d20b};2;P;2462;MAT-CP-309;{c14ccac4-60f3-4a79-915a-e27975364a42};232
{a454c81c-ada4-4a63-aa2f-320f3cb4d20b};3;K;3.2;KERF;{c14ccac4-60f3-4a79-915a-e27975364a42};232
{2da2a54d-e95c-40a4-857a-78cdc260ca95};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{2da2a54d-e95c-40a4-857a-78cdc260ca95};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{2da2a54d-e95c-40a4-857a-78cdc260ca95};2;P;3097;MAT-CP-312;{9509734b-b919-40be-a482-b3162542e449};223
{2da2a54d-e95c-40a4-857a-78cdc260ca95};3;K;3.2;KERF;{9509734b-b919-40be-a482-b3162542e449};223
{2da2a54d-e95c-40a4-857a-78cdc260ca95};4;P;1182;MAT-CP-313;{3999b265-8e6e-4894-a0b8-026198c89a47};231
{2da2a54d-e95c-40a4-857a-78cdc260ca95};5;K;3.2;KERF;{3999b265-8e6e-4894-a0b8-026198c89a47};231
{8bab2b08-f688-4daf-ae21-d4367156cb4f};0;P;1194;MAT-CP-315;{1253dc0c-a570-46c5-8cc3-3607a83ffb60};231
{8bab2b08-f688-4daf-ae21-d4367156cb4f};1;K;2;KERF;{1253dc0c-a570-46c5-8cc3-3607a83ffb60};231
{cc11a300-2d70-458e-89d2-0d0aacb99b7a};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{cc11a300-2d70-458e-89d2-0d0aacb99b7a};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{cc11a300-2d70-458e-89d2-0d0aacb99b7a};2;P;3109;MAT-CP-318;{4990d987-46d2-43d5-82d5-d5ab78bd94ce};223
{cc11a300-2d70-458e-89d2-0d0aacb99b7a};3;K;2;KERF;{4990d987-46d2-43d5-82d5-d5ab78bd94ce};223
{93daa14a-755c-4ec2-8290-1b90629ca228};0;P;1180;MAT-CP-320;{cad3ea6b-5794-40a4-abfc-069d9178e966};230
{93daa14a-755c-4ec2-8290-1b90629ca228};1;K;2;KERF;{cad3ea6b-5794-40a4-abfc-069d9178e966};230
{cbf72a4b-ca79-4e4e-afec-e6aa47cae37e};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{cbf72a4b-ca79-4e4e-afec-e6aa47cae37e};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{cbf72a4b-ca79-4e4e-afec-e6aa47cae37e};2;P;1675;MAT-CP-323;{4d1c7ccc-cd07-4609-ad06-4a930ad54807};232
{cbf72a4b-ca79-4e4e-afec-e6aa47cae37e};3;K;3.2;KERF;{4d1c7ccc-cd07-4609-ad06-4a930ad54807};232
{aee9b43b-69a7-440c-98af-f3f18cb5a618};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{aee9b43b-69a7-440c-98af-f3f18cb5a618};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{aee9b43b-69a7-440c-98af-f3f18cb5a618};2;P;1650;MAT-CP-326;{63c23390-a148-48b0-959f-49625edef5cc};232
{aee9b43b-69a7-440c-98af-f3f18cb5a618};3;K;3.2;KERF;{63c23390-a148-48b0-959f-49625edef5cc};232
#PIECES
{db93a6db-6def-4630-b2b8-dbf8f1721f4d};{4ddc97d5-b8bd-4244-9346-354dc68a9a80};3000;NP-BAR22-3000;223
{9643fdcb-ff27-4833-a0c5-2825991447fb};{f0a5d0fb-d0a8-4487-9427-bd37b604c789};1000;NP-BAR22-3000;231
{f70f3413-6e4f-4fd7-b8d9-907ce51ac1fa};{f111cae7-c737-4afb-9bcc-165e82c8c7ab};1330;NP-BAR22-3000;232
{5d02b035-2546-45d0-946a-551f04c01053};{8110dadb-c885-4e11-94af-398b18479537};1232;NP-CZ;230
{5d02b035-2546-45d0-946a-551f04c01053};{c1a19bad-e2cb-41b8-abbc-414c7fc8c44d};1557;NP-CZ;232
{5914c431-ef02-4122-8775-042a80ba5b59};{585b46aa-dcda-41b6-8519-ed12c68693ec};1244;NP-ROLL70-5000;230
{5914c431-ef02-4122-8775-042a80ba5b59};{599b38e1-0d22-4825-b48f-a0d4581f8828};1569;NP-ROLL70-5000;232
{84cb29c7-1492-4767-8ba4-702a780e0eb1};{7777a3e3-8511-485b-adfe-c08ff93c64d4};45;NP-BAR22-3000;223
{84cb29c7-1492-4767-8ba4-702a780e0eb1};{86eecb02-2183-4ea8-a882-81e37fc685e3};100;NP-BAR22-3000;231
{84cb29c7-1492-4767-8ba4-702a780e0eb1};{409f6aa3-8551-45fc-b6df-8d0118143554};145;NP-BAR22-3000;232
{2e4ca75f-6c31-418a-9fa6-41b509236401};{3c07670e-b1ca-4d32-9f53-ac56bf074980};3215;NP-TF;223
{2e4ca75f-6c31-418a-9fa6-41b509236401};{e15903ff-da1b-4df6-af19-f8bcb716139d};1350;NP-TF;230
{2e4ca75f-6c31-418a-9fa6-41b509236401};{a42fabcd-b4cb-4143-8459-5100c80c5b96};1300;NP-TF;231
{31ce92f1-42d8-4013-89d0-0ed5fda54ff0};{40fadc3b-a10f-4b14-b740-6b3f090a1e66};1647;NP-CL2+CLT2+CLB2;223
{5906f6a2-b9e3-47dc-9f3c-4bf457beef55};{0a44b95c-d139-4bdb-aa5b-f47a68dd7911};3190;NP-T;223
{5906f6a2-b9e3-47dc-9f3c-4bf457beef55};{9c2b5a36-22d1-4430-b48d-6a52f24894c8};1325;NP-T;230
{5906f6a2-b9e3-47dc-9f3c-4bf457beef55};{2e11e3db-4ffc-46f7-a964-abefb121b1fa};1275;NP-T;231
{b12c762c-e355-48f4-a819-87ce3c7b04fa};{f4dbd43b-de3d-4213-ad13-76cd50c42fc4};2462;NP-CL2+CLT2+CLB2;230
{b12c762c-e355-48f4-a819-87ce3c7b04fa};{5ca2ebe8-2c16-4779-a95f-1f497eec34a1};2462;NP-CL2+CLT2+CLB2;231
{a454c81c-ada4-4a63-aa2f-320f3cb4d20b};{c14ccac4-60f3-4a79-915a-e27975364a42};2462;NP-CL2+CLT2+CLB2;232
{2da2a54d-e95c-40a4-857a-78cdc260ca95};{9509734b-b919-40be-a482-b3162542e449};3097;NP-CZ;223
{2da2a54d-e95c-40a4-857a-78cdc260ca95};{3999b265-8e6e-4894-a0b8-026198c89a47};1182;NP-CZ;231
{8bab2b08-f688-4daf-ae21-d4367156cb4f};{1253dc0c-a570-46c5-8cc3-3607a83ffb60};1194;NP-ROLL70-5000;231
{cc11a300-2d70-458e-89d2-0d0aacb99b7a};{4990d987-46d2-43d5-82d5-d5ab78bd94ce};3109;NP-ROLL70-5000;223
{93daa14a-755c-4ec2-8290-1b90629ca228};{cad3ea6b-5794-40a4-abfc-069d9178e966};1180;NP-BAR22-3000;230
{cbf72a4b-ca79-4e4e-afec-e6aa47cae37e};{4d1c7ccc-cd07-4609-ad06-4a930ad54807};1675;NP-TF;232
{aee9b43b-69a7-440c-98af-f3f18cb5a618};{63c23390-a148-48b0-959f-49625edef5cc};1650;NP-T;232
#LEFTOVERS
{db93a6db-6def-4630-b2b8-dbf8f1721f4d};selejt;0
{9643fdcb-ff27-4833-a0c5-2825991447fb};selejt;0
{f70f3413-6e4f-4fd7-b8d9-907ce51ac1fa};selejt;0
{5d02b035-2546-45d0-946a-551f04c01053};RST-J-615;1104.6
{5914c431-ef02-4122-8775-042a80ba5b59};RST-J-616;833
{84cb29c7-1492-4767-8ba4-702a780e0eb1};RST-J-617;754
{2e4ca75f-6c31-418a-9fa6-41b509236401};selejt;107.2
{31ce92f1-42d8-4013-89d0-0ed5fda54ff0};selejt;149.8
{5906f6a2-b9e3-47dc-9f3c-4bf457beef55};selejt;182.2
{b12c762c-e355-48f4-a819-87ce3c7b04fa};RST-J-618;2051.4
{a454c81c-ada4-4a63-aa2f-320f3cb4d20b};RST-J-619;4516.6
{2da2a54d-e95c-40a4-857a-78cdc260ca95};RST-J-620;2696.4
{8bab2b08-f688-4daf-ae21-d4367156cb4f};RST-J-621;824
{cc11a300-2d70-458e-89d2-0d0aacb99b7a};RST-J-622;1887
{93daa14a-755c-4ec2-8290-1b90629ca228};selejt;3
{cbf72a4b-ca79-4e4e-afec-e6aa47cae37e};RST-J-623;4303.6
{aee9b43b-69a7-440c-98af-f3f18cb5a618};RST-J-624;4328.6
