#VERSION 2
#CUTPLANS
{6923b71d-5d72-408a-98df-cda48a7cb9fc};2;P;1014;MAT-S-473;{2474e50b-575b-48c1-ab8c-802e73921f97};294
{6923b71d-5d72-408a-98df-cda48a7cb9fc};3;K;2;KERF;{2474e50b-575b-48c1-ab8c-802e73921f97};294
{2fc19f3f-8b78-43eb-8194-b249047f4af4};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{2fc19f3f-8b78-43eb-8194-b249047f4af4};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{2fc19f3f-8b78-43eb-8194-b249047f4af4};2;P;2420;MAT-S-476;{0b9299b0-0b6f-4058-a59b-a25dc58bb7dc};289
{2fc19f3f-8b78-43eb-8194-b249047f4af4};3;K;3.2;KERF;{0b9299b0-0b6f-4058-a59b-a25dc58bb7dc};289
{2fc19f3f-8b78-43eb-8194-b249047f4af4};4;P;970;MAT-S-477;{36627762-fadb-4b37-9ef8-a0942ec25ead};290
{2fc19f3f-8b78-43eb-8194-b249047f4af4};5;K;3.2;KERF;{36627762-fadb-4b37-9ef8-a0942ec25ead};290
{2fc19f3f-8b78-43eb-8194-b249047f4af4};6;P;2440;MAT-S-478;{4c0a5e0b-3544-428e-b9da-b9f42b772e03};293
{2fc19f3f-8b78-43eb-8194-b249047f4af4};7;K;3.2;KERF;{4c0a5e0b-3544-428e-b9da-b9f42b772e03};293
{4919502b-ccb6-4e92-b7e8-26a06100bd02};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{4919502b-ccb6-4e92-b7e8-26a06100bd02};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{4919502b-ccb6-4e92-b7e8-26a06100bd02};2;P;995;MAT-S-481;{5a596a15-f9a3-4471-8eef-aa76e8c46e0d};290
{4919502b-ccb6-4e92-b7e8-26a06100bd02};3;K;3.2;KERF;{5a596a15-f9a3-4471-8eef-aa76e8c46e0d};290
{4919502b-ccb6-4e92-b7e8-26a06100bd02};4;P;2430;MAT-S-482;{1a8df061-10f6-4f8f-83c2-44a566d821a3};291
{4919502b-ccb6-4e92-b7e8-26a06100bd02};5;K;3.2;KERF;{1a8df061-10f6-4f8f-83c2-44a566d821a3};291
{4919502b-ccb6-4e92-b7e8-26a06100bd02};6;P;2465;MAT-S-483;{14dacb1a-f801-470f-8302-f9ca3bceae01};293
{4919502b-ccb6-4e92-b7e8-26a06100bd02};7;K;3.2;KERF;{14dacb1a-f801-470f-8302-f9ca3bceae01};293
{bb75297b-e1d4-497c-8948-3344899cb931};0;P;1819;MAT-S-485;{e63bf058-3694-447a-b74a-2e6e9118047d};297
{bb75297b-e1d4-497c-8948-3344899cb931};1;K;2;KERF;{e63bf058-3694-447a-b74a-2e6e9118047d};297
{7e115bb1-a436-4d63-9364-8c1e0a0de16a};0;P;1807;MAT-S-487;{fec56687-7d1a-4d93-bb9f-4258fca5df71};297
{7e115bb1-a436-4d63-9364-8c1e0a0de16a};1;K;3.2;KERF;{fec56687-7d1a-4d93-bb9f-4258fca5df71};297
{68e68a67-6224-4a6e-924f-25b112635d17};0;P;2162;MAT-S-489;{d7411fc1-c8d2-4f21-9b7e-72726b9c8bce};292
{68e68a67-6224-4a6e-924f-25b112635d17};1;K;3.2;KERF;{d7411fc1-c8d2-4f21-9b7e-72726b9c8bce};292
{c0aea68c-5e60-4cca-849b-4acd1943dd4b};0;P;1119;MAT-S-491;{2b661a8a-c298-4179-a61c-b36f3ae24122};292
{c0aea68c-5e60-4cca-849b-4acd1943dd4b};1;K;2;KERF;{2b661a8a-c298-4179-a61c-b36f3ae24122};292
{0f23180c-fb89-4b6f-ac72-3fc8879cf8de};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
