#VERSION 2
#CUTPLANS
{425c3362-02ef-477d-b066-224fbd9833ca};0;P;1835;MAT-Q-811;{09468caf-9548-4bb3-b040-e87c978c6730};245
{425c3362-02ef-477d-b066-224fbd9833ca};1;K;2;KERF;{09468caf-9548-4bb3-b040-e87c978c6730};245
{cb33827b-86cc-4617-a00a-99827a415b31};0;P;1844;MAT-Q-813;{b1339c1b-36d6-4950-9bd9-3600e7b3f413};241
{cb33827b-86cc-4617-a00a-99827a415b31};1;K;2;KERF;{b1339c1b-36d6-4950-9bd9-3600e7b3f413};241
{b3efac22-fbcb-461d-8f21-2a878c58c858};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{b3efac22-fbcb-461d-8f21-2a878c58c858};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{b3efac22-fbcb-461d-8f21-2a878c58c858};2;P;2225;MAT-Q-816;{c6d09ec2-873a-4468-ab58-9d0d3cc9c116};236
{b3efac22-fbcb-461d-8f21-2a878c58c858};3;K;3.2;KERF;{c6d09ec2-873a-4468-ab58-9d0d3cc9c116};236
{b3efac22-fbcb-461d-8f21-2a878c58c858};4;P;1925;MAT-Q-817;{1bca0c70-3142-4332-ad68-f6d863670887};241
{b3efac22-fbcb-461d-8f21-2a878c58c858};5;K;3.2;KERF;{1bca0c70-3142-4332-ad68-f6d863670887};241
{c8e69cc7-56d4-4165-9e82-a6d47909f558};0;P;1980;MAT-Q-820;{41dda132-f14b-485a-8877-64e8bd6bb257};245
{c8e69cc7-56d4-4165-9e82-a6d47909f558};1;K;3.2;KERF;{41dda132-f14b-485a-8877-64e8bd6bb257};245
{63bbf3d5-6a1c-4661-8a24-29a42579f39f};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{63bbf3d5-6a1c-4661-8a24-29a42579f39f};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{63bbf3d5-6a1c-4661-8a24-29a42579f39f};2;P;2520;MAT-Q-823;{935db1bb-08dd-497e-b0b6-2fa5aad9e52d};237
{63bbf3d5-6a1c-4661-8a24-29a42579f39f};3;K;2;KERF;{935db1bb-08dd-497e-b0b6-2fa5aad9e52d};237
{35d4e3bb-3831-44a6-b0b1-f98719f281b3};0;P;1795;MAT-Q-825;{e1f84d54-0350-419a-a5de-ef17ee62d58e};244
{35d4e3bb-3831-44a6-b0b1-f98719f281b3};1;K;3.2;KERF;{e1f84d54-0350-419a-a5de-ef17ee62d58e};244
{33ada3cd-9699-4ca9-9d77-8ab0bb7d96a7};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{33ada3cd-9699-4ca9-9d77-8ab0bb7d96a7};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{33ada3cd-9699-4ca9-9d77-8ab0bb7d96a7};2;P;1795;MAT-Q-828;{d87024d2-c538-4a44-a737-a11e48003cbb};244
{33ada3cd-9699-4ca9-9d77-8ab0bb7d96a7};3;K;3.2;KERF;{d87024d2-c538-4a44-a737-a11e48003cbb};244
{33ada3cd-9699-4ca9-9d77-8ab0bb7d96a7};4;P;1887;MAT-Q-829;{32b57e9b-499e-45be-959d-467928ed3759};245
{33ada3cd-9699-4ca9-9d77-8ab0bb7d96a7};5;K;3.2;KERF;{32b57e9b-499e-45be-959d-467928ed3759};245
{e79a66c2-ae5d-4ec4-b70a-3e99b2bcc820};0;P;1913;MAT-Q-832;{544bba71-14dd-4ca4-a4a7-73123ac9528b};244
{e79a66c2-ae5d-4ec4-b70a-3e99b2bcc820};1;K;3.2;KERF;{544bba71-14dd-4ca4-a4a7-73123ac9528b};244
{8f040266-e0de-4700-98cf-9abcc3ef125c};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{8f040266-e0de-4700-98cf-9abcc3ef125c};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{8f040266-e0de-4700-98cf-9abcc3ef125c};2;P;1780;MAT-Q-835;{a0abe42b-b415-4948-9a01-018b22998bb5};241
{8f040266-e0de-4700-98cf-9abcc3ef125c};3;K;2;KERF;{a0abe42b-b415-4948-9a01-018b22998bb5};241
{8f040266-e0de-4700-98cf-9abcc3ef125c};4;P;1743;MAT-Q-836;{a0b83856-c67e-40cd-b682-0d34c706149c};244
{8f040266-e0de-4700-98cf-9abcc3ef125c};5;K;2;KERF;{a0b83856-c67e-40cd-b682-0d34c706149c};244
{d0cde28b-7448-4855-9ae4-41b9846ad7ce};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{d0cde28b-7448-4855-9ae4-41b9846ad7ce};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{d0cde28b-7448-4855-9ae4-41b9846ad7ce};2;P;2248;MAT-Q-839;{1a11c054-bc77-4657-a12c-c440b5d9e469};237
{d0cde28b-7448-4855-9ae4-41b9846ad7ce};3;K;3.2;KERF;{1a11c054-bc77-4657-a12c-c440b5d9e469};237
{d0cde28b-7448-4855-9ae4-41b9846ad7ce};4;P;2508;MAT-Q-840;{0cb92d23-fb5c-42c6-b2ae-80d78e847f51};238
{d0cde28b-7448-4855-9ae4-41b9846ad7ce};5;K;3.2;KERF;{0cb92d23-fb5c-42c6-b2ae-80d78e847f51};238
{4a2020cb-5301-41ab-bac5-510f562e1d1e};0;P;605;MAT-Q-842;{b17ce74e-f901-4c85-8cec-551cf1148940};238
{4a2020cb-5301-41ab-bac5-510f562e1d1e};1;K;3.2;KERF;{b17ce74e-f901-4c85-8cec-551cf1148940};238
{c8c9ac90-c2f9-44eb-b353-be8ce48d3fd7};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{c8c9ac90-c2f9-44eb-b353-be8ce48d3fd7};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{c8c9ac90-c2f9-44eb-b353-be8ce48d3fd7};2;P;2225;MAT-Q-845;{fbacc1f3-ed54-4a1d-8f68-4b1b5b300c8b};236
{c8c9ac90-c2f9-44eb-b353-be8ce48d3fd7};3;K;3.2;KERF;{fbacc1f3-ed54-4a1d-8f68-4b1b5b300c8b};236
{c8c9ac90-c2f9-44eb-b353-be8ce48d3fd7};4;P;1950;MAT-Q-846;{3959f544-5594-4a77-9314-a00faf84221c};241
{c8c9ac90-c2f9-44eb-b353-be8ce48d3fd7};5;K;3.2;KERF;{3959f544-5594-4a77-9314-a00faf84221c};241
{c62aa0f3-3e3e-4bb5-9418-77aec93587e3};0;P;1807;MAT-Q-848;{a10a0fa5-3a81-4211-947b-b2628d83919f};244
{c62aa0f3-3e3e-4bb5-9418-77aec93587e3};1;K;2;KERF;{a10a0fa5-3a81-4211-947b-b2628d83919f};244
{040b4f58-f8ad-42c6-b5da-8adb6e18dcc2};0;P;1832;MAT-Q-850;{4c809bc5-b4b5-40b2-8454-ced18531ecc9};241
{040b4f58-f8ad-42c6-b5da-8adb6e18dcc2};1;K;3.2;KERF;{4c809bc5-b4b5-40b2-8454-ced18531ecc9};241
{99bb86e4-d8da-435b-8d44-c1f8eb1f4da0};0;P;1888;MAT-Q-852;{1ff7a882-3cdd-4226-8803-2169cfeb81e8};244
{99bb86e4-d8da-435b-8d44-c1f8eb1f4da0};1;K;3.2;KERF;{1ff7a882-3cdd-4226-8803-2169cfeb81e8};244
{2a9d37b0-24c5-4313-9858-214fb919382e};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{2a9d37b0-24c5-4313-9858-214fb919382e};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{2a9d37b0-24c5-4313-9858-214fb919382e};2;P;2470;MAT-Q-855;{bc456f7f-85b9-4619-b7e2-17d9c2293da6};235
{2a9d37b0-24c5-4313-9858-214fb919382e};3;K;2;KERF;{bc456f7f-85b9-4619-b7e2-17d9c2293da6};235
{ab0ecd98-0770-4999-ba1c-da94b2e3e7b0};0;P;1887;MAT-Q-857;{481ca33a-5e4a-4a4b-9360-07c53ac65805};245
{ab0ecd98-0770-4999-ba1c-da94b2e3e7b0};1;K;3.2;KERF;{481ca33a-5e4a-4a4b-9360-07c53ac65805};245
{2cce5e4a-58aa-426c-8d53-177143a14668};0;P;2005;MAT-Q-859;{b7b86c2c-90d9-4fc1-8dd5-32792b3a6c4a};245
{2cce5e4a-58aa-426c-8d53-177143a14668};1;K;3.2;KERF;{b7b86c2c-90d9-4fc1-8dd5-32792b3a6c4a};245
{8c280d01-8435-44b8-82b2-1dcd3190d7ce};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{8c280d01-8435-44b8-82b2-1dcd3190d7ce};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{8c280d01-8435-44b8-82b2-1dcd3190d7ce};2;P;2515;MAT-Q-862;{a268e5ff-e52f-40c1-a4c6-105962d3d62c};235
{8c280d01-8435-44b8-82b2-1dcd3190d7ce};3;K;3.2;KERF;{a268e5ff-e52f-40c1-a4c6-105962d3d62c};235
{08263e58-1ac6-4a60-a2d2-1b582a77123e};0;P;1832;MAT-Q-865;{8d19658e-6342-4c1b-ad48-4e41febe0c88};241
{08263e58-1ac6-4a60-a2d2-1b582a77123e};1;K;3.2;KERF;{8d19658e-6342-4c1b-ad48-4e41febe0c88};241
#PIECES
{61691033-57fd-45ca-a618-774a48b0dad9};{4402b9e2-14c9-46cd-9b5a-dcab483ebe66};1730;NP-BAR12-4000;236
{df29338b-9d56-42dc-a096-ef05a4b38138};{a06b3b5d-64e5-4a4d-b7e1-e0fd785006c0};2591;NP-ROLL70-5000;237
{df29338b-9d56-42dc-a096-ef05a4b38138};{10f9d1a2-446e-46d3-940d-24ff99c588cd};621;NP-ROLL70-5000;238
{25db8166-3a54-4078-a2f4-713600c1eef0};{2ac9768a-0c6b-4cab-8bda-bef4aba5cb4a};1899;NP-ROLL70-5000;245
{ff29bdf4-2020-485a-85c8-1f143ac393df};{e7424488-a5bc-45ff-9b7c-ea079297f3a3};2585;NP-T-9010;235
{ff29bdf4-2020-485a-85c8-1f143ac393df};{2977c818-c62a-434f-a628-cc53de7e633e};2635;NP-T-9010;237
{ff29bdf4-2020-485a-85c8-1f143ac393df};{f4b65cf2-579c-4746-b814-14a3d6e2b526};675;NP-T-9010;238
{2318b7ce-af5f-4179-9835-5c2aa004f891};{918ae5e0-f9c8-4fac-8b3c-a5b940b5eea1};2585;NP-TF-9010;235
