#VERSION 2
#CUTPLANS
{321cebe0-8e44-4c40-9c2f-39b8f776f21d};0;P;1232;MAT-CN-355;{1448da23-3dd4-4892-9620-f58cd4127483};230
{321cebe0-8e44-4c40-9c2f-39b8f776f21d};1;K;3.2;KERF;{1448da23-3dd4-4892-9620-f58cd4127483};230
{321cebe0-8e44-4c40-9c2f-39b8f776f21d};2;P;1557;MAT-CN-356;{5a38b8af-33cd-46c5-a449-9b4c7182ae44};232
{321cebe0-8e44-4c40-9c2f-39b8f776f21d};3;K;3.2;KERF;{5a38b8af-33cd-46c5-a449-9b4c7182ae44};232
{3daf20be-0960-4b90-a9de-2de04fe0b867};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{3daf20be-0960-4b90-a9de-2de04fe0b867};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{3daf20be-0960-4b90-a9de-2de04fe0b867};2;P;3190;MAT-CN-359;{fd4a4c3e-5f7c-433f-aabd-e964251c58de};223
{3daf20be-0960-4b90-a9de-2de04fe0b867};3;K;3.2;KERF;{fd4a4c3e-5f7c-433f-aabd-e964251c58de};223
{3daf20be-0960-4b90-a9de-2de04fe0b867};4;P;1325;MAT-CN-360;{7ab08669-d1cc-42c4-80cb-a7a0d832be76};230
{3daf20be-0960-4b90-a9de-2de04fe0b867};5;K;3.2;KERF;{7ab08669-d1cc-42c4-80cb-a7a0d832be76};230
{3daf20be-0960-4b90-a9de-2de04fe0b867};6;P;1275;MAT-CN-361;{7a8d13c7-f696-49bf-b905-6e15eeb369d6};231
{3daf20be-0960-4b90-a9de-2de04fe0b867};7;K;3.2;KERF;{7a8d13c7-f696-49bf-b905-6e15eeb369d6};231
{8553e823-bfbb-4512-b7a9-61a618d3e295};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{8553e823-bfbb-4512-b7a9-61a618d3e295};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{8553e823-bfbb-4512-b7a9-61a618d3e295};2;P;2462;MAT-CN-364;{5604dfdc-d2fd-4c1f-b416-7af8c326c7d8};230
{8553e823-bfbb-4512-b7a9-61a618d3e295};3;K;3.2;KERF;{5604dfdc-d2fd-4c1f-b416-7af8c326c7d8};230
{8553e823-bfbb-4512-b7a9-61a618d3e295};4;P;2462;MAT-CN-365;{b0ae2d41-5db1-41da-ad18-8e367f380f88};231
{8553e823-bfbb-4512-b7a9-61a618d3e295};5;K;3.2;KERF;{b0ae2d41-5db1-41da-ad18-8e367f380f88};231
{0cf21541-f577-422a-924f-1a123c9f5252};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{0cf21541-f577-422a-924f-1a123c9f5252};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{0cf21541-f577-422a-924f-1a123c9f5252};2;P;2462;MAT-CN-367;{7ed38b39-6cde-4f6f-8863-fc1ead8a2690};232
{0cf21541-f577-422a-924f-1a123c9f5252};3;K;3.2;KERF;{7ed38b39-6cde-4f6f-8863-fc1ead8a2690};232
{59e3cbe4-3d4b-4af4-a585-734918080bbf};0;P;1194;MAT-CN-369;{0c1789d1-bd97-4f50-8f39-7e2b8777d970};231
{59e3cbe4-3d4b-4af4-a585-734918080bbf};1;K;2;KERF;{0c1789d1-bd97-4f50-8f39-7e2b8777d970};231
{455c3f56-374a-4b8b-8154-014fa63c71e9};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{455c3f56-374a-4b8b-8154-014fa63c71e9};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{455c3f56-374a-4b8b-8154-014fa63c71e9};2;P;3097;MAT-CN-372;{cc056574-2f93-4c0f-a0be-35306aab2ce0};223
{455c3f56-374a-4b8b-8154-014fa63c71e9};3;K;3.2;KERF;{cc056574-2f93-4c0f-a0be-35306aab2ce0};223
{455c3f56-374a-4b8b-8154-014fa63c71e9};4;P;1182;MAT-CN-373;{c81c6c7e-60a4-40ef-b0c7-6edfea047f79};231
{455c3f56-374a-4b8b-8154-014fa63c71e9};5;K;3.2;KERF;{c81c6c7e-60a4-40ef-b0c7-6edfea047f79};231
{85931d0f-7d0d-4cdb-9253-ef7c681fc02a};0;P;1180;MAT-CN-375;{9ac1b7f6-0313-45e9-9499-948cd9310845};230
{85931d0f-7d0d-4cdb-9253-ef7c681fc02a};1;K;2;KERF;{9ac1b7f6-0313-45e9-9499-948cd9310845};230
{2988fc3f-c208-49ef-81cb-c69017f066f0};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{2988fc3f-c208-49ef-81cb-c69017f066f0};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{2988fc3f-c208-49ef-81cb-c69017f066f0};2;P;3109;MAT-CN-378;{1e6d268a-1283-4b36-a1e1-1b3df3bc0a27};223
{2988fc3f-c208-49ef-81cb-c69017f066f0};3;K;2;KERF;{1e6d268a-1283-4b36-a1e1-1b3df3bc0a27};223
{184de2a8-ef21-4455-a4b4-cda383dda299};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{184de2a8-ef21-4455-a4b4-cda383dda299};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{184de2a8-ef21-4455-a4b4-cda383dda299};2;P;1675;MAT-CN-381;{595b8b22-1ead-4678-9334-2bd8e1c1aaf2};232
{184de2a8-ef21-4455-a4b4-cda383dda299};3;K;3.2;KERF;{595b8b22-1ead-4678-9334-2bd8e1c1aaf2};232
