#VERSION 2
#CUTPLANS
{a8378598-8446-4867-9ccc-0bedee3c7c09};5;K;3.2;KERF;{4d3f3c10-12f8-4322-b563-17223811fe45};230
{a8378598-8446-4867-9ccc-0bedee3c7c09};6;P;1275;MAT-CM-207;{12a7694f-9c53-49aa-9e1b-e1a18e438063};231
{a8378598-8446-4867-9ccc-0bedee3c7c09};7;K;3.2;KERF;{12a7694f-9c53-49aa-9e1b-e1a18e438063};231
{577def33-db59-4da8-b9e3-18157224e940};0;P;1647;MAT-CM-209;{21e5b2bf-cd82-42c3-9d8a-98633522d16d};223
{577def33-db59-4da8-b9e3-18157224e940};1;K;3.2;KERF;{21e5b2bf-cd82-42c3-9d8a-98633522d16d};223
{79787403-028d-46a2-90cc-51772ce5c2ca};0;P;1647;MAT-CM-211;{61f9632c-b07c-471c-8c84-77c2fdcc8404};223
{79787403-028d-46a2-90cc-51772ce5c2ca};1;K;3.2;KERF;{61f9632c-b07c-471c-8c84-77c2fdcc8404};223
{431cd1c6-5150-4b16-bb35-440338268860};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{431cd1c6-5150-4b16-bb35-440338268860};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{431cd1c6-5150-4b16-bb35-440338268860};2;P;2462;MAT-CM-214;{32c44cbc-e939-46ed-8021-388245b667cd};230
{431cd1c6-5150-4b16-bb35-440338268860};3;K;3.2;KERF;{32c44cbc-e939-46ed-8021-388245b667cd};230
{431cd1c6-5150-4b16-bb35-440338268860};4;P;2462;MAT-CM-215;{cc757d1f-9902-4c27-af86-05f296c20640};231
{431cd1c6-5150-4b16-bb35-440338268860};5;K;3.2;KERF;{cc757d1f-9902-4c27-af86-05f296c20640};231
{ae44ebed-8603-4251-90a1-8b39ab6a53d7};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{ae44ebed-8603-4251-90a1-8b39ab6a53d7};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{ae44ebed-8603-4251-90a1-8b39ab6a53d7};2;P;2462;MAT-CM-217;{d804f3c3-3cd4-4c76-8ab4-f87b2f8ffe19};232
{ae44ebed-8603-4251-90a1-8b39ab6a53d7};3;K;3.2;KERF;{d804f3c3-3cd4-4c76-8ab4-f87b2f8ffe19};232
{668031d6-c481-4a3c-bbc5-b46f73284353};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{668031d6-c481-4a3c-bbc5-b46f73284353};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{668031d6-c481-4a3c-bbc5-b46f73284353};2;P;2462;MAT-CM-220;{d0d423a5-a94a-451a-9de2-2927b5840c4a};230
{668031d6-c481-4a3c-bbc5-b46f73284353};3;K;3.2;KERF;{d0d423a5-a94a-451a-9de2-2927b5840c4a};230
{668031d6-c481-4a3c-bbc5-b46f73284353};4;P;2462;MAT-CM-221;{bf376cf8-567e-4620-a4fc-4ce1446682a5};231
{668031d6-c481-4a3c-bbc5-b46f73284353};5;K;3.2;KERF;{bf376cf8-567e-4620-a4fc-4ce1446682a5};231
{88e1a2b7-6599-4453-9b6a-9a1cc0be280b};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{88e1a2b7-6599-4453-9b6a-9a1cc0be280b};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{88e1a2b7-6599-4453-9b6a-9a1cc0be280b};2;P;2462;MAT-CM-223;{b82b9580-53a1-4e07-ad85-ae9b8de6224b};232
