#VERSION 2
#CUTPLANS
{6838ec02-b9c9-4cb4-aed8-958f26cfbe9f};2;P;1569;MAT-CM-801;{f7e2e97e-1c3e-426e-81f7-9cfc11603f97};232
{6838ec02-b9c9-4cb4-aed8-958f26cfbe9f};3;K;2;KERF;{f7e2e97e-1c3e-426e-81f7-9cfc11603f97};232
{54c6465f-2c55-444a-9750-b17cc8f7b7ee};0;P;45;MAT-CM-803;{bf58eace-2660-4d33-9150-851f9b521479};223
{54c6465f-2c55-444a-9750-b17cc8f7b7ee};1;K;2;KERF;{bf58eace-2660-4d33-9150-851f9b521479};223
{54c6465f-2c55-444a-9750-b17cc8f7b7ee};2;P;100;MAT-CM-804;{f25dc701-6e2f-4d9b-82f9-148be0efaf28};231
{54c6465f-2c55-444a-9750-b17cc8f7b7ee};3;K;2;KERF;{f25dc701-6e2f-4d9b-82f9-148be0efaf28};231
{54c6465f-2c55-444a-9750-b17cc8f7b7ee};4;P;145;MAT-CM-805;{304efef4-2957-4852-bf7c-e5e7ea422074};232
{54c6465f-2c55-444a-9750-b17cc8f7b7ee};5;K;2;KERF;{304efef4-2957-4852-bf7c-e5e7ea422074};232
{bb3844bb-5ae0-4628-9cb8-74951aa5d4ac};0;P;2462;MAT-CM-807;{9233c42d-890e-4a79-8ba0-2533dba33ba4};230
{bb3844bb-5ae0-4628-9cb8-74951aa5d4ac};1;K;3.2;KERF;{9233c42d-890e-4a79-8ba0-2533dba33ba4};230
{9b918cd0-66e2-4699-9655-975da72f3d3a};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{9b918cd0-66e2-4699-9655-975da72f3d3a};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{9b918cd0-66e2-4699-9655-975da72f3d3a};2;P;2462;MAT-CM-810;{2c53b4cf-4e8b-48d4-9a80-761343998432};230
{9b918cd0-66e2-4699-9655-975da72f3d3a};3;K;3.2;KERF;{2c53b4cf-4e8b-48d4-9a80-761343998432};230
{9b918cd0-66e2-4699-9655-975da72f3d3a};4;P;2462;MAT-CM-811;{0f69cf72-a4df-4637-83e1-90b71b6ed55f};231
{9b918cd0-66e2-4699-9655-975da72f3d3a};5;K;3.2;KERF;{0f69cf72-a4df-4637-83e1-90b71b6ed55f};231
{f7bac7d5-a013-412a-848b-4fa814acd8cb};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{f7bac7d5-a013-412a-848b-4fa814acd8cb};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{f7bac7d5-a013-412a-848b-4fa814acd8cb};2;P;2462;MAT-CM-813;{7946fd3a-423f-438f-8fd6-954d9b91ae88};232
{f7bac7d5-a013-412a-848b-4fa814acd8cb};3;K;3.2;KERF;{7946fd3a-423f-438f-8fd6-954d9b91ae88};232
{85b0cfbd-fb83-48e6-b44d-5656aa7d2391};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{85b0cfbd-fb83-48e6-b44d-5656aa7d2391};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{85b0cfbd-fb83-48e6-b44d-5656aa7d2391};2;P;2462;MAT-CM-816;{f750a616-8d55-420e-ba1a-21a285c580d8};230
{85b0cfbd-fb83-48e6-b44d-5656aa7d2391};3;K;3.2;KERF;{f750a616-8d55-420e-ba1a-21a285c580d8};230
{85b0cfbd-fb83-48e6-b44d-5656aa7d2391};4;P;2462;MAT-CM-817;{c02688ac-98e6-40b1-a91b-e8eb99bb415b};231
{85b0cfbd-fb83-48e6-b44d-5656aa7d2391};5;K;3.2;KERF;{c02688ac-98e6-40b1-a91b-e8eb99bb415b};231
{bacf5b7a-a04c-4b30-869b-7589d44bf79b};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{bacf5b7a-a04c-4b30-869b-7589d44bf79b};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{bacf5b7a-a04c-4b30-869b-7589d44bf79b};2;P;2462;MAT-CM-819;{fc214878-d491-4418-9e28-b05aec2f8ca9};232
{bacf5b7a-a04c-4b30-869b-7589d44bf79b};3;K;3.2;KERF;{fc214878-d491-4418-9e28-b05aec2f8ca9};232
{a95ebe24-f835-461e-9518-fde4dd4af4be};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{a95ebe24-f835-461e-9518-fde4dd4af4be};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{a95ebe24-f835-461e-9518-fde4dd4af4be};2;P;2462;MAT-CM-822;{23ee5ca3-d770-465c-a36d-c9bd957cbb54};231
{a95ebe24-f835-461e-9518-fde4dd4af4be};3;K;3.2;KERF;{23ee5ca3-d770-465c-a36d-c9bd957cbb54};231
{a95ebe24-f835-461e-9518-fde4dd4af4be};4;P;2462;MAT-CM-823;{9e1ad280-65e8-44d3-b046-fb8a2dde1e6e};232
{a95ebe24-f835-461e-9518-fde4dd4af4be};5;K;3.2;KERF;{9e1ad280-65e8-44d3-b046-fb8a2dde1e6e};232
{0b206638-6359-47e5-b721-9f0087068c4b};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{0b206638-6359-47e5-b721-9f0087068c4b};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{0b206638-6359-47e5-b721-9f0087068c4b};2;P;3097;MAT-CM-826;{78b9f513-a3c9-4ac3-bb95-5f8da71de7bb};223
{0b206638-6359-47e5-b721-9f0087068c4b};3;K;3.2;KERF;{78b9f513-a3c9-4ac3-bb95-5f8da71de7bb};223
{0b206638-6359-47e5-b721-9f0087068c4b};4;P;1182;MAT-CM-827;{f6a5fb08-4be2-4f6f-87c2-a4cd03e0791c};231
{0b206638-6359-47e5-b721-9f0087068c4b};5;K;3.2;KERF;{f6a5fb08-4be2-4f6f-87c2-a4cd03e0791c};231
{56706446-8796-4f7b-8547-a39c04dfb473};0;P;1194;MAT-CM-829;{179938d5-1d28-4b89-9431-076b9a1f523a};231
{56706446-8796-4f7b-8547-a39c04dfb473};1;K;2;KERF;{179938d5-1d28-4b89-9431-076b9a1f523a};231
{51a24b26-bf99-4cab-a424-df3d24498ae3};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{51a24b26-bf99-4cab-a424-df3d24498ae3};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{51a24b26-bf99-4cab-a424-df3d24498ae3};2;P;1650;MAT-CM-832;{50f73fb8-a871-4d6a-b72a-bac4d7cd8b76};232
{51a24b26-bf99-4cab-a424-df3d24498ae3};3;K;3.2;KERF;{50f73fb8-a871-4d6a-b72a-bac4d7cd8b76};232
{83c06448-e17b-46c8-8747-18374a4d96ab};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
