#VERSION 2
#CUTPLANS
{18c2103b-d951-47c1-87df-3b3c0ce0b420};25;NOT_STARTED;Rod-A;NP-TF-7016;CM2;3.2;REUSABLE;RSM-341;2;;RSM-341;2400
{1b671c3d-35a4-4453-b68d-8de7d19e7a0b};0;P;2597;MAT-CK-351;{a7c330b6-887c-4d26-b4df-400e9d9cf081};148
{1b671c3d-35a4-4453-b68d-8de7d19e7a0b};1;K;3.2;KERF;{a7c330b6-887c-4d26-b4df-400e9d9cf081};148
{00bf62ee-f45b-43bf-9f5f-d81e1e8a2def};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{00bf62ee-f45b-43bf-9f5f-d81e1e8a2def};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{00bf62ee-f45b-43bf-9f5f-d81e1e8a2def};2;P;2497;MAT-CK-353;{562b5cc5-5629-48a2-8d0a-ab2ded25b3dd};127
{00bf62ee-f45b-43bf-9f5f-d81e1e8a2def};3;K;3.2;KERF;{562b5cc5-5629-48a2-8d0a-ab2ded25b3dd};127
{00bf62ee-f45b-43bf-9f5f-d81e1e8a2def};4;P;2497;MAT-CK-354;{df3f3818-ed54-43c4-a67e-ce707f501372};139
{00bf62ee-f45b-43bf-9f5f-d81e1e8a2def};5;K;3.2;KERF;{df3f3818-ed54-43c4-a67e-ce707f501372};139
{7c216772-a1dd-4926-af3f-b5d7bc24b788};0;P;2177;MAT-CK-356;{a112326f-8326-47ed-9a9d-ae3860b6710e};148
{7c216772-a1dd-4926-af3f-b5d7bc24b788};1;K;3.2;KERF;{a112326f-8326-47ed-9a9d-ae3860b6710e};148
{0e6f49ec-fa8b-4632-ac85-8f3834a4c912};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{0e6f49ec-fa8b-4632-ac85-8f3834a4c912};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{0e6f49ec-fa8b-4632-ac85-8f3834a4c912};2;P;3845;MAT-CK-359;{f96972ec-92f1-4332-94d9-89ee0342e775};139
{0e6f49ec-fa8b-4632-ac85-8f3834a4c912};3;K;3.2;KERF;{f96972ec-92f1-4332-94d9-89ee0342e775};139
{b4f6df14-36ee-4fe1-9297-00888ee5a9b0};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{b4f6df14-36ee-4fe1-9297-00888ee5a9b0};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{b4f6df14-36ee-4fe1-9297-00888ee5a9b0};2;P;3675;MAT-CK-362;{0cda753a-ac4b-44e5-8c8f-a195465f7595};127
{b4f6df14-36ee-4fe1-9297-00888ee5a9b0};3;K;2;KERF;{0cda753a-ac4b-44e5-8c8f-a195465f7595};127
{bb42f2a8-bf6c-4007-a62f-3ba0ff239e57};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
