#VERSION 2
#CUTPLANS
{64d42ebf-566e-4d18-ae7d-968a2e76fc1b};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{64d42ebf-566e-4d18-ae7d-968a2e76fc1b};2;P;3215;MAT-CN-066;{3c51d8a1-44a6-4c07-b8d3-bcd581061d9a};223
{64d42ebf-566e-4d18-ae7d-968a2e76fc1b};3;K;3.2;KERF;{3c51d8a1-44a6-4c07-b8d3-bcd581061d9a};223
{64d42ebf-566e-4d18-ae7d-968a2e76fc1b};4;P;1350;MAT-CN-067;{18cce532-ae78-4211-aeac-73def36d13dc};230
{64d42ebf-566e-4d18-ae7d-968a2e76fc1b};5;K;3.2;KERF;{18cce532-ae78-4211-aeac-73def36d13dc};230
{64d42ebf-566e-4d18-ae7d-968a2e76fc1b};6;P;1300;MAT-CN-068;{84e71bbe-8939-440e-95c2-fe9405490417};231
{64d42ebf-566e-4d18-ae7d-968a2e76fc1b};7;K;3.2;KERF;{84e71bbe-8939-440e-95c2-fe9405490417};231
{9985db60-a233-4925-80c9-90e7dd655ea8};0;P;1232;MAT-CN-070;{a6c378f0-6dda-42f6-8b53-ba8eda1912b4};230
{9985db60-a233-4925-80c9-90e7dd655ea8};1;K;3.2;KERF;{a6c378f0-6dda-42f6-8b53-ba8eda1912b4};230
{9985db60-a233-4925-80c9-90e7dd655ea8};2;P;1557;MAT-CN-071;{1cc13ea6-6105-44cc-9209-9cf0ce3c4e12};232
{9985db60-a233-4925-80c9-90e7dd655ea8};3;K;3.2;KERF;{1cc13ea6-6105-44cc-9209-9cf0ce3c4e12};232
{07d22410-c569-4efa-8ee9-8097e7386600};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{07d22410-c569-4efa-8ee9-8097e7386600};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{07d22410-c569-4efa-8ee9-8097e7386600};2;P;3190;MAT-CN-074;{600c04fe-aa1e-43a7-ac43-1c185f66efa5};223
{07d22410-c569-4efa-8ee9-8097e7386600};3;K;3.2;KERF;{600c04fe-aa1e-43a7-ac43-1c185f66efa5};223
{07d22410-c569-4efa-8ee9-8097e7386600};4;P;1325;MAT-CN-075;{3e7e9ef3-5742-4a37-8929-ce6836e9c1ed};230
{07d22410-c569-4efa-8ee9-8097e7386600};5;K;3.2;KERF;{3e7e9ef3-5742-4a37-8929-ce6836e9c1ed};230
{07d22410-c569-4efa-8ee9-8097e7386600};6;P;1275;MAT-CN-076;{457e9ffe-747e-4cea-a554-1dbb496c40e3};231
{07d22410-c569-4efa-8ee9-8097e7386600};7;K;3.2;KERF;{457e9ffe-747e-4cea-a554-1dbb496c40e3};231
{0b88f778-41cd-4651-ba64-1a125945ee1c};0;P;1194;MAT-CN-078;{a79b089c-3564-452a-9b82-751f3f3a23f8};231
{0b88f778-41cd-4651-ba64-1a125945ee1c};1;K;2;KERF;{a79b089c-3564-452a-9b82-751f3f3a23f8};231
{313433c6-3e11-4f09-ae58-c97cae89f250};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
