#VERSION 2
#CUTPLANS
{382ab42b-a6cc-4071-8e20-20e512a008ca};5;K;3.2;KERF;{6e65eb09-47ff-4acd-aa42-ea46b4b7ca39};315
{cef8ff27-041d-4243-bef6-ef8079d344cc};0;P;897;MAT-X-000;{b2aec1a9-ff7f-45ee-bc83-bdaa3b7cb5ba};315
{cef8ff27-041d-4243-bef6-ef8079d344cc};1;K;3.2;KERF;{b2aec1a9-ff7f-45ee-bc83-bdaa3b7cb5ba};315
{3ae6491a-5c55-4d52-8b65-77e4bd0d3b48};0;P;897;MAT-X-002;{f345dc32-ae8a-432e-ab71-81aefa4d3e90};314
{3ae6491a-5c55-4d52-8b65-77e4bd0d3b48};1;K;3.2;KERF;{f345dc32-ae8a-432e-ab71-81aefa4d3e90};314
{2dd8f6a7-ffe1-47dd-87cf-6f90fe5e50b7};0;P;897;MAT-X-003;{b44b53c5-35b1-4aed-bfc8-706abf740e2f};315
{2dd8f6a7-ffe1-47dd-87cf-6f90fe5e50b7};1;K;3.2;KERF;{b44b53c5-35b1-4aed-bfc8-706abf740e2f};315
#PIECES
{4c4182ce-c2c0-42d2-9ed8-3a1ad7ca5f43};{ae1bebac-5c63-42cf-8803-74946e73c681};2532;NP-CZ-7016;314
{4c4182ce-c2c0-42d2-9ed8-3a1ad7ca5f43};{694c1aad-b5b5-431d-bbf8-f5eec46ba4db};2087;NP-CZ-7016;315
{262aa366-60f2-42a7-9dd3-1ceae3745370};{b9e301ec-d5be-47ae-bc58-c1ed68ec8830};2650;NP-TF-7016;314
{262aa366-60f2-42a7-9dd3-1ceae3745370};{ee4bdec2-6010-4551-9bc4-f24db96c8548};2205;NP-TF-7016;315
{c1cef79c-7a54-411f-8d61-83e989999749};{33a0f0f2-0110-4b05-95f2-417c5a0f6b0a};897;NP-CL2+CLT2+CLB2-7016;314
{08234e5e-27cd-4351-af7b-b57e790d7573};{721ce587-d5c8-43ac-bebe-85bda629cd91};2545;NP-ROLL70-5000;314
{08234e5e-27cd-4351-af7b-b57e790d7573};{d54acd86-37de-4c28-9db9-bcb9713cd6bc};2100;NP-ROLL70-5000;315
{e94277a8-a902-46da-b69f-8a14b0686417};{c1ee1432-1e33-4362-9e61-f64d7bb582b3};2480;NP-BAR20-6000;314
{e94277a8-a902-46da-b69f-8a14b0686417};{12337b31-be07-4637-86ca-2c0704b3f2e0};2035;NP-BAR20-6000;315
{382ab42b-a6cc-4071-8e20-20e512a008ca};{c6ab9bab-2935-4dc7-ba93-de793b34e5e0};2625;NP-T-7016;314
{382ab42b-a6cc-4071-8e20-20e512a008ca};{6e65eb09-47ff-4acd-aa42-ea46b4b7ca39};2180;NP-T-7016;315
{cef8ff27-041d-4243-bef6-ef8079d344cc};{b2aec1a9-ff7f-45ee-bc83-bdaa3b7cb5ba};897;NP-CL2+CLT2+CLB2-7016;315
{3ae6491a-5c55-4d52-8b65-77e4bd0d3b48};{f345dc32-ae8a-432e-ab71-81aefa4d3e90};897;NP-CLB2;314
{2dd8f6a7-ffe1-47dd-87cf-6f90fe5e50b7};{b44b53c5-35b1-4aed-bfc8-706abf740e2f};897;NP-CLB2;315
#LEFTOVERS
{4c4182ce-c2c0-42d2-9ed8-3a1ad7ca5f43};selejt;674.6
{262aa366-60f2-42a7-9dd3-1ceae3745370};RST-D-001;1120.4
{c1cef79c-7a54-411f-8d61-83e989999749};RST-D-002;949.8
{08234e5e-27cd-4351-af7b-b57e790d7573};selejt;349
{e94277a8-a902-46da-b69f-8a14b0686417};RST-D-003;1629
{382ab42b-a6cc-4071-8e20-20e512a008ca};RST-D-004;1170.4
{cef8ff27-041d-4243-bef6-ef8079d344cc};selejt;119.8
{3ae6491a-5c55-4d52-8b65-77e4bd0d3b48};RST-D-005;899.8
{2dd8f6a7-ffe1-47dd-87cf-6f90fe5e50b7};selejt;99.8
