#VERSION 2
#CUTPLANS
{bc540606-77c4-494c-ac51-0c7ed94d56eb};0;NOT_STARTED;Rod-B;NP-BAR22-3000;CM1;0;REUSABLE;RSM-471;-1302150224;;RSM-471;1330
{ac71ad68-bb0d-46cb-95eb-9434d84493cd};1;NOT_STARTED;Rod-C;NP-CZ-7016;CM2;3.2;STOCK;MAT-U-692;2;;MAT-U-692;7000
{b0de8b50-83b4-4515-9f63-4a0c7ca3914e};2;NOT_STARTED;Rod-D;NP-BAR22-3000;CM1;2;REUSABLE;RSM-623;2;TOLDAS_TOLDAT;RSM-623;1000
{4b3ddedc-3b57-41fc-a1db-7bc8f7189d26};3;NOT_STARTED;Rod-E;NP-T-7016;CM2;3.2;REUSABLE;RSM-503;2;;RSM-503;1925
{16f29202-920b-4340-be36-99acc52b105a};4;NOT_STARTED;Rod-G;NP-CL2+CLT2+CLB2;CM2;3.2;REUSABLE;RSM-747;2;;RSM-747;1800
{fd83d69f-4f87-4827-80c0-ece80a4e625c};5;NOT_STARTED;Rod-H;NP-ROLL70-5000;CM1;2;REUSABLE;RSM-793;2;;RSM-793;2020
{71496828-58dc-4993-9ff0-0549da1a7c51};6;NOT_STARTED;Rod-J;NP-TF-7016;CM2;3.2;REUSABLE;RSM-513;2;;RSM-513;1950
{c5c2b64b-5d94-401e-9f1d-972d7f0ce229};7;NOT_STARTED;Rod-K;NP-CLB2;CM2;3.2;REUSABLE;RST-B-640;1;;RST-B-640;1575
#SEGMENTS
{bc540606-77c4-494c-ac51-0c7ed94d56eb};0;P;1330;MAT-U-691;{8b352e45-005b-4473-a83b-a983a7de8add};336
{ac71ad68-bb0d-46cb-95eb-9434d84493cd};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{ac71ad68-bb0d-46cb-95eb-9434d84493cd};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{ac71ad68-bb0d-46cb-95eb-9434d84493cd};2;P;1655;MAT-U-693;{127c6649-5db1-4bb4-aa05-b8edd18f59ef};336
{ac71ad68-bb0d-46cb-95eb-9434d84493cd};3;K;3.2;KERF;{127c6649-5db1-4bb4-aa05-b8edd18f59ef};336
{b0de8b50-83b4-4515-9f63-4a0c7ca3914e};0;P;248;MAT-U-695;{a956adfd-7f6d-4c94-ad80-b192466dda57};336
{b0de8b50-83b4-4515-9f63-4a0c7ca3914e};1;K;2;KERF;{a956adfd-7f6d-4c94-ad80-b192466dda57};336
{4b3ddedc-3b57-41fc-a1db-7bc8f7189d26};0;P;1748;MAT-U-697;{1c85aa23-08f6-456f-86d5-b52bf780308b};336
{4b3ddedc-3b57-41fc-a1db-7bc8f7189d26};1;K;3.2;KERF;{1c85aa23-08f6-456f-86d5-b52bf780308b};336
{16f29202-920b-4340-be36-99acc52b105a};0;P;1477;MAT-U-700;{0e06988c-1677-416f-a6fd-6d503f7888c7};336
{16f29202-920b-4340-be36-99acc52b105a};1;K;3.2;KERF;{0e06988c-1677-416f-a6fd-6d503f7888c7};336
{fd83d69f-4f87-4827-80c0-ece80a4e625c};0;P;1667;MAT-U-702;{561350ce-9da8-45ef-9519-22e8072c6cbd};336
{fd83d69f-4f87-4827-80c0-ece80a4e625c};1;K;2;KERF;{561350ce-9da8-45ef-9519-22e8072c6cbd};336
{71496828-58dc-4993-9ff0-0549da1a7c51};0;P;1773;MAT-U-704;{3abdee5d-d150-4a26-94cc-256ad2bba409};336
{71496828-58dc-4993-9ff0-0549da1a7c51};1;K;3.2;KERF;{3abdee5d-d150-4a26-94cc-256ad2bba409};336
{c5c2b64b-5d94-401e-9f1d-972d7f0ce229};0;P;1477;MAT-U-706;{639bae88-7075-4496-a74e-1882b555dbdb};336
{c5c2b64b-5d94-401e-9f1d-972d7f0ce229};1;K;3.2;KERF;{639bae88-7075-4496-a74e-1882b555dbdb};336
#PIECES
{bc540606-77c4-494c-ac51-0c7ed94d56eb};{8b352e45-005b-4473-a83b-a983a7de8add};1330;NP-BAR22-3000;336
{ac71ad68-bb0d-46cb-95eb-9434d84493cd};{127c6649-5db1-4bb4-aa05-b8edd18f59ef};1655;NP-CZ-7016;336
{b0de8b50-83b4-4515-9f63-4a0c7ca3914e};{a956adfd-7f6d-4c94-ad80-b192466dda57};248;NP-BAR22-3000;336
{4b3ddedc-3b57-41fc-a1db-7bc8f7189d26};{1c85aa23-08f6-456f-86d5-b52bf780308b};1748;NP-T-7016;336
{16f29202-920b-4340-be36-99acc52b105a};{0e06988c-1677-416f-a6fd-6d503f7888c7};1477;NP-CL2+CLT2+CLB2;336
{fd83d69f-4f87-4827-80c0-ece80a4e625c};{561350ce-9da8-45ef-9519-22e8072c6cbd};1667;NP-ROLL70-5000;336
{71496828-58dc-4993-9ff0-0549da1a7c51};{3abdee5d-d150-4a26-94cc-256ad2bba409};1773;NP-TF-7016;336
{c5c2b64b-5d94-401e-9f1d-972d7f0ce229};{639bae88-7075-4496-a74e-1882b555dbdb};1477;NP-CLB2;336
#LEFTOVERS
{bc540606-77c4-494c-ac51-0c7ed94d56eb};selejt;0
{ac71ad68-bb0d-46cb-95eb-9434d84493cd};RST-C-582;5323.6
{b0de8b50-83b4-4515-9f63-4a0c7ca3914e};RST-C-583;750
{4b3ddedc-3b57-41fc-a1db-7bc8f7189d26};selejt;173.8
{16f29202-920b-4340-be36-99acc52b105a};selejt;319.8
{fd83d69f-4f87-4827-80c0-ece80a4e625c};selejt;351
{71496828-58dc-4993-9ff0-0549da1a7c51};selejt;173.8
{c5c2b64b-5d94-401e-9f1d-972d7f0ce229};selejt;94.8
